사업장명칭,주사육업종,사업장소재지
수*목장,한우,경상북도 경산시 와촌면 계전리
와*목장,한우,경상북도 경산시 와촌면 용천리
대*농장,한우,경상북도 경산시 와촌면 대한리
신*목장,한우,경상북도 경산시 압량읍 신대리
수*목장,젖소,경상북도 경산시 압량읍 당리
무*농장,한우,경상북도 경산시 자인면 계남리
태*농장,한우,경상북도 경산시 자인면 계남리
동*농장,한우,경상북도 경산시 하양읍 한사리
진*농장,한우,경상북도 경산시 여천동
은*농장,한우,경상북도 경산시 남천면 금곡리
환*목장,"한우, 젖소",경상북도 경산시 남천면 신방리
현*목장,한우,경상북도 경산시 압량읍 현흥리
성*농장,한우,경상북도 경산시 와촌면 대한리
해*목장,젖소,경상북도 경산시 용성면 내촌리
수*농장,한우,경상북도 경산시 용성면 고죽리
금*농장,한우,경상북도 경산시 압량읍 금구리
성*목장,한우,경상북도 경산시 용성면 송림리
경*농장,한우,경상북도 경산시 진량읍 안촌리
영*농장,한우,경상북도 경산시 내동
해*이 농장,육우,경상북도 경산시 남산면 전지리
청*농장,돼지,경상북도 경산시 하양읍 청천리
정*준목장,한우,경상북도 경산시 남천면 대명리
연*농장,한우,경상북도 경산시 와촌면 상암리
의*농장,육계,경상북도 경산시 압량읍 의송리
대*농장,한우,경상북도 경산시 남천면 금곡리
장*석농장,젖소,경상북도 경산시 용성면 송림리
희*목장,한우,경상북도 경산시 자인면 북사리
대*농장,한우,경상북도 경산시 용성면 가척리
세*농장,한우,경상북도 경산시 용성면 부제리
초*봉농장,종계/산란계,경상북도 경산시 하양읍 환상리
대*산농장1,한우,경상북도 경산시 남산면 송내리
현*축산,한우,경상북도 경산시 하양읍 동
대*농장,한우,경상북도 경산시 용성면 대종리
미*축산,"한우, 육우",경상북도 경산시 자인면 북사리
흥*농장,한우,경상북도 경산시 남산면 흥정리
청*원 한우농장,한우,경상북도 경산시 남천면 흥산리
반*목장,한우,경상북도 경산시 용성면 용전리
대*농장,한우,경상북도 경산시 남천면 송백리
흥*농장,한우,경상북도 경산시 남천면 흥산리
일*농장,한우,경상북도 경산시 진량읍 다문리
현*농장,한우,경상북도 경산시 남천면 송백리
유*농장,한우,경상북도 경산시 용성면 송림리
세*농장,한우,경상북도 경산시 용성면 송림리
대*농장,한우,경상북도 경산시 남천면 송백리
삼*농장,한우,경상북도 경산시 용성면 미산리
평*농장,한우,경상북도 경산시 용성면 송림리
세*농장,한우,경상북도 경산시 압량읍 신월리
미*농장,한우,경상북도 경산시 용성면 당리
장*농장,한우,경상북도 경산시 용성면 용천리
길*농장,한우,경상북도 경산시 남천면 신방리
대*농장,한우,경상북도 경산시 용성면 대종리
승*농장,한우,경상북도 경산시 남천면 흥산리
돈*미농장,한우,경상북도 경산시 용성면 곡란리
대*농장,한우,경상북도 경산시 용성면 대종리
대*농장,한우,경상북도 경산시 용성면 대종리
길*농장,한우,경상북도 경산시 용성면 부제리
성*농장,한우,경상북도 경산시 용성면 용전리
금*농장,한우,경상북도 경산시 남천면 금곡리
남*농장,한우,경상북도 경산시 남천면 송백리
신*농장,한우,경상북도 경산시 남천면 흥산리
명*축산,한우,경상북도 경산시 와촌면 용천리
용*농장,한우,경상북도 경산시 용성면 덕천리
금*농장,한우,경상북도 경산시 남천면 송백리
경*농장(2),한우,경상북도 경산시 남천면 신방리
온*리농장,한우,경상북도 경산시 용성면 부제리
유*농장,한우,경상북도 경산시 남천면 금곡리
대*목장,한우,경상북도 경산시 용성면 곡신리
성*목장,한우,경상북도 경산시 남산면 평기리
울*농장,한우,경상북도 경산시 자인면 울옥리
송*농장,한우,경상북도 경산시 용성면 송림리
