사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
동**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
봉**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
부**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
박**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
준**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
에**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
박**농장,한우,경상북도 청도군 금천면 박곡리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 금천면 방지리 ,20,2026-05-11
상**농장,한우,경상북도 청도군 금천면 방지리 ,40,2026-05-11
최**농장,한우,경상북도 청도군 금천면 방지리 ,5,2026-05-11
이**농장,한우,경상북도 청도군 금천면 방지리 ,6,2026-05-11
이**농장,한우,경상북도 청도군 금천면 방지리 ,3,2026-05-11
탑**농장,한우,경상북도 청도군 금천면 방지리 ,76,2026-05-11
이**농장,한우,경상북도 청도군 금천면 사전리 ,6,2026-05-11
정**농장,한우,경상북도 청도군 금천면 사전리 ,3,2026-05-11
최**농장,한우,경상북도 청도군 금천면 사전리 ,6,2026-05-11
김**농장,한우,경상북도 청도군 금천면 사전리 ,5,2026-05-11
김**농장,한우,경상북도 청도군 금천면 사전리 ,3,2026-05-11
종**농장,한우,경상북도 청도군 금천면 소천리 ,33,2026-05-11
주**농장,한우,경상북도 청도군 금천면 소천리 ,35,2026-05-11
신**농장,한우,경상북도 청도군 금천면 소천리 ,19,2026-05-11
대**농장,한우,경상북도 청도군 금천면 소천리 ,5,2026-05-11
이**농장,한우,경상북도 청도군 금천면 소천리 ,150,2026-05-11
유**농장,한우,경상북도 청도군 금천면 소천리 ,34,2026-05-11
박**농장,한우,경상북도 청도군 금천면 소천리 ,7,2026-05-11
정**농장,한우,경상북도 청도군 금천면 소천리 ,20,2026-05-11
안**농장,한우,경상북도 청도군 금천면 소천리 ,3,2026-05-11
박**농장,한우,경상북도 청도군 금천면 소천리 ,3,2026-05-11
김**농장,한우,경상북도 청도군 금천면 소천리 ,11,2026-05-11
박**농장,한우,경상북도 청도군 금천면 소천리 ,1,2026-05-11
김**농장,한우,경상북도 청도군 금천면 소천리 ,5,2026-05-11
황**농장,한우,경상북도 청도군 금천면 소천리 ,5,2026-05-11
한**농장,한우,경상북도 청도군 금천면 소천리 ,12,2026-05-11
안**농장,한우,경상북도 청도군 금천면 소천리 ,5,2026-05-11
준**농장,한우,경상북도 청도군 금천면 소천리 ,0,2026-05-11
소**농장,한우,경상북도 청도군 금천면 소천리 ,0,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,30,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,100,2026-05-11
태**농장,한우,경상북도 청도군 금천면 신지리 ,15,2026-05-11
영**농장,한우,경상북도 청도군 금천면 신지리 ,30,2026-05-11
성**농장,한우,경상북도 청도군 금천면 신지리 ,40,2026-05-11
주**농장,한우,경상북도 청도군 금천면 신지리 ,12,2026-05-11
군**농장,한우,경상북도 청도군 금천면 신지리 ,10,2026-05-11
명**농장,한우,경상북도 청도군 금천면 신지리 ,10,2026-05-11
참**목장,한우,경상북도 청도군 금천면 신지리 ,30,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,15,2026-05-11
이**농장,한우,경상북도 청도군 금천면 신지리 ,3,2026-05-11
윤**농장,한우,경상북도 청도군 금천면 신지리 ,1,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,2,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,1,2026-05-11
김**농장,한우,경상북도 청도군 금천면 신지리 ,15,2026-05-11
이**농장,한우,경상북도 청도군 금천면 신지리 ,1,2026-05-11
박**농장,한우,경상북도 청도군 금천면 신지리 ,39,2026-05-11
동**농장,한우,경상북도 청도군 금천면 신지리 ,19,2026-05-11
준**농장,한우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
상**농장,한우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
해**농장,한우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
신**농장,한우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
종**농장,한우,경상북도 청도군 금천면 신지리 ,0,2026-05-11
원**농장,한우,경상북도 청도군 금천면 오봉리 ,4,2026-05-11
안**농장,한우,경상북도 청도군 금천면 오봉리 ,10,2026-05-11
종**농장,한우,경상북도 청도군 금천면 오봉리 ,19,2026-05-11
동**농장,한우,경상북도 청도군 금천면 오봉리 ,0,2026-05-11
