사업장명칭,주사육업종,사업장소재지,적정사육두수
김선균농장,한우,전라남도 보성군 웅치면 ,8
안홍섭농장,한우,전라남도 보성군 웅치면 ,4
박형량농장,한우,전라남도 보성군 웅치면 ,7
전종래농장,한우,전라남도 보성군 웅치면 ,3
안정식농장,한우,전라남도 보성군 웅치면 ,3
선정자농장,한우,전라남도 보성군 웅치면 ,16
이기만농장,한우,전라남도 보성군 웅치면 ,2
강진식농장,돼지,전라남도 보성군 웅치면 ,100
선은식농장,한우,전라남도 보성군 웅치면 ,6
백상선농장,한우,전라남도 보성군 웅치면 ,8
수현축산,한우,전라남도 보성군 겸백면 ,7
염남룡농장,한우,전라남도 보성군 겸백면 ,20
박형환농장,한우,전라남도 보성군 겸백면 ,21
영달농장,한우,전라남도 보성군 겸백면 ,3
김상열농장,한우,전라남도 보성군 겸백면 ,5
김성호농장,한우,전라남도 보성군 겸백면 ,16
손현호농장,한우,전라남도 보성군 겸백면 ,8
이재옥농장,한우,전라남도 보성군 겸백면 ,16
이용식농장,한우,전라남도 보성군 겸백면 ,10
양진열농장,한우,전라남도 보성군 겸백면 ,6
정기래농장,한우,전라남도 보성군 겸백면 ,2
조병천농장,한우,전라남도 보성군 겸백면 ,5
양동민농장,한우,전라남도 보성군 겸백면 ,4
신형순농장,한우,전라남도 보성군 겸백면 ,4
김용칠농장,한우,전라남도 보성군 겸백면 ,9
박봉환농장,한우,전라남도 보성군 겸백면 ,3
정형옥농장,한우,전라남도 보성군 겸백면 ,6
김남순농장,한우,전라남도 보성군 겸백면 ,56
조생환농장,한우,전라남도 보성군 겸백면 ,16
김사기농장,한우,전라남도 보성군 겸백면 ,24
김무웅농장,한우,전라남도 보성군 겸백면 ,3
박상윤농장,한우,전라남도 보성군 겸백면 ,5
김선회농장,한우,전라남도 보성군 겸백면 ,32
아지네농장,한우,전라남도 보성군 벌교읍 ,16
오영규농장,한우,전라남도 보성군 벌교읍 ,10
오만옥농장,한우,전라남도 보성군 벌교읍 ,12
손한수농장,한우,    ,3
장진호농장,한우,전라남도 보성군 미력면 ,16
수농장,오리,전라남도 보성군 겸백면 ,10967
안재농장,한우,전라남도 보성군 보성읍 ,192
강승용농장,한우,전라남도 보성군 회천면 ,9
서상진 농장,한우,전라남도 보성군 벌교읍 ,25
자담농장,종계/산란계,전라남도 보성군 노동면 ,70
형은농장,한우,전라남도 보성군 복내면 ,51
김순옥농장,한우,전라남도 보성군 득량면 ,150
장주식농장,산양,전라남도 보성군 벌교읍 ,0
감동축산,산양,전라남도 보성군 조성면 ,0
황추산제2농장,한우,전라남도 보성군 노동면 ,40
이경섭농장,한우,전라남도 보성군 문덕면 ,38
대광농장(2농장),한우,전라남도 보성군 미력면 ,27
충의목장,젖소,전라남도 보성군 득량면 ,153
가든팜,종계/산란계,전라남도 보성군 노동면 ,24
진보흑염소,산양,    ,0
박방윤농장,한우,전라남도 보성군 겸백면 ,4
정형문농장,한우,전라남도 보성군 겸백면 ,6
이영재농장,한우,전라남도 보성군 겸백면 ,1
회령농장,한우,전라남도 보성군 회천면 ,83
늘푸른흑염소3농장,산양,전라남도 보성군 노동면 ,0
율어농장,산양,전라남도 보성군 율어면 ,0
부성농장,한우,전라남도 보성군 보성읍 ,57
제1보영목장,산양,전라남도 보성군 조성면 ,0
바다가 보이는 농장,한우,전라남도 보성군 조성면 ,16
승준농장(3),돼지,전라남도 보성군 보성읍 ,909
조영만농장,한우,전라남도 보성군 노동면 ,63
양호철농장,산양,전라남도 보성군 보성읍 ,0
장창주농장,한우,전라남도 보성군 벌교읍 ,10
준호목장,젖소,전라남도 보성군 득량면 ,149
박상수농장,한우,전라남도 보성군 노동면 ,6
팔공사슴농장,사슴,전라남도 보성군 득량면 ,0
청춘농장,한우,전라남도 보성군 조성면 ,19
위병열농장,한우,전라남도 보성군 벌교읍 ,154
기남축산,한우,전라남도 보성군 득량면 ,141
김영옥농장,한우,전라남도 보성군 미력면 ,123
문형복농장,한우,전라남도 보성군 미력면 ,24
하늘농장1,육계,전라남도 보성군 복내면 ,231084
하늘농장2,육계,전라남도 보성군 복내면 ,160416
봉능가축,염소,전라남도 보성군 조성면 ,0
구경수농장,종계/산란계,전라남도 보성군 미력면 ,371
할렐루야,한우,전라남도 보성군 조성면 ,20
홍욱농장,한우,전라남도 보성군 득량면 ,194
홍욱농장2,한우,전라남도 보성군 득량면 ,100
효당축산,한우,전라남도 보성군 보성읍 ,91
건호농장,오리,전라남도 보성군 웅치면 ,19075
세신농장,한우,전라남도 보성군 득량면 ,99
김행안농장,한우,전라남도 보성군 미력면 ,20
보성달빛염소농장,염소,전라남도 보성군 노동면 ,0
동성농장,한우,전라남도 보성군 겸백면 ,396
최금호농장,한우,전라남도 보성군 보성읍 ,81
순희네농장,염소,전라남도 보성군 문덕면 ,0
순희네농장,한우,전라남도 보성군 문덕면 ,59
우리농장,한우,전라남도 보성군 노동면 ,65
소담농장,오리,전라남도 보성군 노동면 ,30325
염돌이농장,염소,전라남도 보성군 득량면 ,0
박해천농장,한우,전라남도 보성군 복내면 ,25
조은농장,염소,전라남도 보성군 벌교읍 ,0
오영호농장,한우,전라남도 보성군 조성면 ,72
보성흑염소(가야농장),염소,전라남도 보성군 회천면 ,0
개암농장,한우,전라남도 보성군 노동면 ,200
유진농장,한우,전라남도 보성군 보성읍 ,182
골든카우농장,한우,전라남도 보성군 보성읍 ,151
산마루농장,한우,전라남도 보성군 노동면 ,26
심광자농장,한우,전라남도 보성군 겸백면 ,2
부부농장,한우,전라남도 보성군 벌교읍 ,25
엘림목장,젖소,전라남도 보성군 보성읍 ,192
새뜸흑염소농장,염소,전라남도 보성군 미력면 ,0
봉록원,한우,전라남도 보성군 보성읍 ,18
동승목장,한우,전라남도 보성군 득량면 ,45
금천농장,염소,전라남도 보성군 보성읍 ,0
쭈쭈농장,한우,전라남도 보성군 보성읍 ,9
성현농장,한우,전라남도 보성군 벌교읍 ,72
봉산농장,한우,전라남도 보성군 웅치면 ,105
안재훈 농장,한우,전라남도 보성군 웅치면 ,144
데메테르B,종계/산란계,전라남도 보성군 미력면 ,520
박은경농장,육계,전라남도 보성군 보성읍 ,227700
임마누엘 농장,한우,전라남도 보성군 득량면 ,55
정석호농장,한우,전라남도 보성군 미력면 ,29
만복축산,한우,전라남도 보성군 득량면 ,32
주열농장,한우,전라남도 보성군 웅치면 ,60
형재농장,한우,전라남도 보성군 득량면 ,38
미력 농장,한우,전라남도 보성군 미력면 ,39
한아름 농장2,한우,전라남도 보성군 회천면 ,110
이기원농장,한우,전라남도 보성군 복내면 ,18
김병문 농장,한우,전라남도 보성군 조성면 ,30
용암농장,한우,전라남도 보성군 문덕면 ,38
김형수 농장,염소,전라남도 보성군 득량면 ,0
케이피농장,한우,전라남도 보성군 노동면 ,46
혁이농장,한우,전라남도 보성군 미력면 ,64
백옥농장,한우,전라남도 보성군 미력면 ,41
숙이농장,염소,전라남도 보성군 미력면 ,0
배치뱅이농장,한우,전라남도 보성군 노동면 ,90
양해열농장,한우,전라남도 보성군 득량면 ,120
성원농장,한우,전라남도 보성군 벌교읍 ,43
안근수농장,한우,전라남도 보성군 보성읍 ,44
광호농장,한우,전라남도 보성군 율어면 ,45
성주농장,한우,전라남도 보성군 보성읍 ,182
이동건농장,한우,전라남도 보성군 보성읍 ,182
오광록농장,한우,전라남도 보성군 벌교읍 ,72
감동한우농장,한우,전라남도 보성군 조성면 ,80
초지축산,한우,전라남도 보성군 벌교읍 ,89
대흥농장,한우,전라남도 보성군 보성읍 ,80
김행안농장,한우,전라남도 보성군 미력면 ,60
한림농장,한우,전라남도 보성군 보성읍 ,57
김동구농장,한우,전라남도 보성군 웅치면 ,7
라근영농장,한우,전라남도 보성군 벌교읍 ,110
화성목장,젖소,전라남도 보성군 벌교읍 ,130
신성농장,한우,전라남도 보성군 득량면 ,180
설하농장,한우,전라남도 보성군 회천면 ,196
오동농장,한우,전라남도 보성군 노동면 ,63
조옥순농장,한우,전라남도 보성군 득량면 ,52
아빠농장,한우,전라남도 보성군 득량면 ,100
주삼축산,한우,전라남도 보성군 득량면 ,57
장성농장,한우,전라남도 보성군 조성면 ,375
엄지농장,한우,전라남도 보성군 조성면 ,60
내래농장,한우,전라남도 보성군 회천면 ,78
동인농장,한우,전라남도 보성군 벌교읍 ,130
동인농장,한우,전라남도 보성군 벌교읍 ,32
최씨농장,한우,전라남도 보성군 미력면 ,56
김용순농장,한우,전라남도 보성군 벌교읍 ,25
다원한우농장,한우,전라남도 보성군 득량면 ,79
일광농장,한우,전라남도 보성군 겸백면 ,82
옹골축산,한우,전라남도 보성군 조성면 ,99
대명농장,한우,전라남도 보성군 득량면 ,105
대한우농장,한우,전라남도 보성군 조성면 ,175
주은희농장,한우,전라남도 보성군 조성면 ,16
우영농장,한우,전라남도 보성군 노동면 ,64
준환농장,한우,전라남도 보성군 득량면 ,16
나현농장,한우,전라남도 보성군 노동면 ,70
신정균농장,한우,전라남도 보성군 미력면 ,12
다경농장,한우,전라남도 보성군 노동면 ,34
해림농장,한우,전라남도 보성군 미력면 ,120
박경지농장,한우,전라남도 보성군 노동면 ,46
최미석농장,한우,전라남도 보성군 미력면 ,16
현아축산,한우,전라남도 보성군 겸백면 ,120
남양농장,한우,전라남도 보성군 겸백면 ,59
봉기축산,한우,전라남도 보성군 조성면 ,149
수풍농장,한우,전라남도 보성군 조성면 ,124
최재근농장,한우,전라남도 보성군 조성면 ,122
다정농장,한우,전라남도 보성군 복내면 ,180
부흥농장,한우,전라남도 보성군 조성면 ,161
정병진농장,한우,전라남도 보성군 겸백면 ,4
선채현농장,한우,전라남도 보성군 득량면 ,110
안성군농장,한우,전라남도 보성군 득량면 ,15
푸르메농장,오리,전라남도 보성군 득량면 ,49199
칠동농장,한우,전라남도 보성군 벌교읍 ,19
고인돌농장,한우,전라남도 보성군 율어면 ,28
창대축산,한우,전라남도 보성군 득량면 ,20
진봉농장,한우,전라남도 보성군 복내면 ,3
아성팜스,한우,전라남도 보성군 문덕면 ,101
푸른꿈농장,한우,전라남도 보성군 조성면 ,16
태희네 농장,한우,전라남도 보성군 벌교읍 ,138
임화자농장,한우,전라남도 보성군 복내면 ,35
이종춘농장,한우,전라남도 보성군 회천면 ,24
영등2농장,한우,전라남도 보성군 벌교읍 ,110
장수농장,한우,전라남도 보성군 율어면 ,60
윤석봉농장,한우,전라남도 보성군 득량면 ,176
유정농장,한우,전라남도 보성군 복내면 ,120
동율한우축사,한우,전라남도 보성군 회천면 ,52
정빈농장,한우,전라남도 보성군 보성읍 ,125
청우농장,한우,전라남도 보성군 웅치면 ,165
양리농장,한우,전라남도 보성군 웅치면 ,40
훈이농장,한우,전라남도 보성군 웅치면 ,20
산골농장,한우,전라남도 보성군 웅치면 ,60
월평축사,한우,전라남도 보성군 득량면 ,147
의현농장,한우,전라남도 보성군 득량면 ,123
태봉농장,한우,전라남도 보성군 벌교읍 ,72
모령축산,한우,전라남도 보성군 보성읍 ,260
비봉 한우 농장,한우,전라남도 보성군 득량면 ,83
다온농장,한우,전라남도 보성군 벌교읍 ,142
승지농장,한우,전라남도 보성군 보성읍 ,158
보성녹우영농조합,한우,전라남도 보성군 보성읍 ,17
정원농장,한우,전라남도 보성군 율어면 ,140
임병철농장,한우,전라남도 보성군 복내면 ,9
정다운농장,한우,전라남도 보성군 조성면 ,169
이전덕 농장,한우,전라남도 보성군 조성면 ,115
이성자농장,한우,전라남도 보성군 웅치면 ,48
김현호 농장,한우,전라남도 보성군 보성읍 ,10
형인농장,한우,전라남도 보성군 노동면 ,5
이화숙 농장,한우,전라남도 보성군 득량면 ,30
성호 농장,한우,전라남도 보성군 보성읍 ,129
풍년 농장,한우,전라남도 보성군 득량면 ,148
풍년 농장,한우,전라남도 보성군 득량면 ,112
으뜸한우 농장,한우,전라남도 보성군 회천면 ,130
모모농장,한우,전라남도 보성군 보성읍 ,5
형은농장2,한우,전라남도 보성군 복내면 ,120
유준농장,한우,전라남도 보성군 조성면 ,112
마천 2 농장,한우,전라남도 보성군 득량면 ,164
우림농장,한우,전라남도 보성군 복내면 ,100
임준모농장,한우,전라남도 보성군 보성읍 ,16
김형순농장,한우,전라남도 보성군 보성읍 ,19
영빈 축산,한우,전라남도 보성군 조성면 ,108
에브라임농장,한우,전라남도 보성군 조성면 ,108
기쁨축산,한우,전라남도 보성군 율어면 ,164
이형열 농장,염소,전라남도 보성군 회천면 ,0
김현미농장,한우,전라남도 보성군 벌교읍 ,120
류경록 농장,한우,전라남도 보성군 벌교읍 ,145
한밭농장,한우,전라남도 보성군 조성면 ,243
군농 농장,한우,전라남도 보성군 회천면 ,25
진농장,한우,전라남도 보성군 조성면 ,60
석현농장,한우,전라남도 보성군 회천면 ,32
최재근 농장,한우,전라남도 보성군 조성면 ,30
혁이농장 2,한우,전라남도 보성군 노동면 ,129
태평골 농장,한우,전라남도 보성군 보성읍 ,72
박형순 농장,한우,전라남도 보성군 조성면 ,13
양지농장,한우,전라남도 보성군 문덕면 ,60
규영농장,한우,전라남도 보성군 복내면 ,60
보금농장,한우,전라남도 보성군 득량면 ,72
들녘 농장,한우,전라남도 보성군 노동면 ,64
최정식 농장,한우,전라남도 보성군 벌교읍 ,35
현진목장,한우,전라남도 보성군 율어면 ,108
전효순농장,한우,전라남도 보성군 율어면 ,20
임병량농장,한우,전라남도 보성군 조성면 ,15
안심농장,한우,전라남도 보성군 득량면 ,141
이상진농장,한우,전라남도 보성군 보성읍 ,98
장종만 농장,한우,전라남도 보성군 웅치면 ,65
장경한농장,한우,전라남도 보성군 미력면 ,9
혜란농장,한우,전라남도 보성군 복내면 ,90
온누리 축산,한우,전라남도 보성군 보성읍 ,140
월평농장,한우,전라남도 보성군 득량면 ,1
김기두농장,한우,전라남도 보성군 겸백면 ,24
박경철농장,한우,전라남도 보성군 벌교읍 ,115
선공엽축사,한우,전라남도 보성군 득량면 ,14
우공농장,한우,전라남도 보성군 노동면 ,110
미력축산,한우,전라남도 보성군 미력면 ,171
양진열 농장,한우,전라남도 보성군 겸백면 ,16
상장농장,한우,전라남도 보성군 벌교읍 ,20
강골농장,한우,전라남도 보성군 득량면 ,17
상율우사 농장,한우,전라남도 보성군 율어면 ,4
제일 축산,한우,전라남도 보성군 조성면 ,90
일림산 흑염소 목장,염소,전라남도 보성군 회천면 ,0
만복축산,한우,전라남도 보성군 득량면 ,152
하주호 농장,한우,전라남도 보성군 노동면 ,100
우주농장,한우,전라남도 보성군 득량면 ,19
송곡농장,한우,전라남도 보성군 득량면 ,108
윤기형농장,한우,전라남도 보성군 복내면 ,135
용지농장,한우,전라남도 보성군 미력면 ,100
송태연 농장,한우,전라남도 보성군 율어면 ,65
낙원농장,육용오리,전라남도 보성군 겸백면 ,20625
망골농장,한우,전라남도 보성군 보성읍 ,108
형제농장,한우,전라남도 보성군 조성면 ,120
천우농장,한우,전라남도 보성군 노동면 ,80
선진,한우,전라남도 보성군 미력면 ,100
정재원농장,한우,전라남도 보성군 미력면 ,110
안세환농장,한우,전라남도 보성군 웅치면 ,57
양지은농장,한우,전라남도 보성군 보성읍 ,187
하늘소 농장,한우,전라남도 보성군 웅치면 ,110
활천농장,젖소,전라남도 보성군 보성읍 ,33
지승연축사,한우,전라남도 보성군 조성면 ,105
하람농장,한우,전라남도 보성군 조성면 ,108
문경식농장,한우,전라남도 보성군 노동면 ,143
손치근 농장,한우,전라남도 보성군 노동면 ,30
해성농장,한우,전라남도 보성군 문덕면 ,70
시온농장,한우,전라남도 보성군 노동면 ,90
서우 농장,한우,전라남도 보성군 벌교읍 ,100
참진농장,한우,전라남도 보성군 득량면 ,140
태영축산,한우,전라남도 보성군 조성면 ,135
박성환농장,한우,전라남도 보성군 벌교읍 ,80
삼혁농장,한우,전라남도 보성군 겸백면 ,6
히태겔농장,한우,전라남도 보성군 웅치면 ,156
채기임농장,한우,전라남도 보성군 복내면 ,100
선가네 행복농장,한우,전라남도 보성군 웅치면 ,110
예당한우농장,한우,전라남도 보성군 득량면 ,130
들샘농장,한우,전라남도 보성군 벌교읍 ,59
손춘호농장,한우,전라남도 보성군 노동면 ,14
문형석 제2축사,한우,전라남도 보성군 득량면 ,75
강소농장,한우,전라남도 보성군 웅치면 ,183
건영축산,한우,전라남도 보성군 미력면 ,97
현진축산2,한우,전라남도 보성군 율어면 ,130
감동한우농장,한우,전라남도 보성군 조성면 ,81
장원농장,한우,전라남도 보성군 벌교읍 ,4
조양농장,한우,전라남도 보성군 율어면 ,137
박순호농장,한우,전라남도 보성군 조성면 ,135
서화원농장,한우,전라남도 보성군 득량면 ,59
장수축산,한우,전라남도 보성군 율어면 ,210
산들한우농장,한우,전라남도 보성군 보성읍 ,240
이필수 농장,한우,전라남도 보성군 벌교읍 ,80
해룡농장,한우,전라남도 보성군 웅치면 ,6
흑비원염소농장,염소,전라남도 보성군 웅치면 ,0
유림농장,한우,전라남도 보성군 득량면 ,96
이봉완농장,한우,전라남도 보성군 득량면 ,16
김병식농장,한우,전라남도 보성군 복내면 ,30
초지한우,한우,전라남도 보성군 벌교읍 ,113
박흥환농장,한우,전라남도 보성군 득량면 ,11
용호농장,한우,전라남도 보성군 득량면 ,41
노강산 한우,한우,전라남도 보성군 벌교읍 ,226
박수열농장,한우,전라남도 보성군 벌교읍 ,89
이상록농장,한우,전라남도 보성군 미력면 ,80
김정숙농장,한우,전라남도 보성군 복내면 ,41
박장근농장,한우,전라남도 보성군 미력면 ,140
형제축산,한우,전라남도 보성군 득량면 ,8
선종진농장,한우,전라남도 보성군 미력면 ,120
아버님농장,한우,전라남도 보성군 벌교읍 ,64
중앙농장,한우,전라남도 보성군 복내면 ,90
정인농장,한우,전라남도 보성군 웅치면 ,6
정승채농장,한우,전라남도 보성군 득량면 ,20
창대농장,한우,전라남도 보성군 겸백면 ,109
전라도농장,한우,전라남도 보성군 보성읍 ,78
박정도 농장,한우,전라남도 보성군 벌교읍 ,63
한치재 방목농장,한우,전라남도 보성군 복내면 ,237
늘푸른농장,한우,전라남도 보성군 벌교읍 ,97
백이농장,한우,전라남도 보성군 벌교읍 ,102
맹꽁이농장,한우,전라남도 보성군 득량면 ,110
안재농장,한우,전라남도 보성군 보성읍 ,50
채기섭농장,한우,전라남도 보성군 복내면 ,25
금곡농장,한우,전라남도 보성군 겸백면 ,44
소득영 농장,한우,전라남도 보성군 복내면 ,9
엄지축사2호,한우,전라남도 보성군 조성면 ,220
김현화농장,한우,전라남도 보성군 보성읍 ,94
박해평 농장,한우,전라남도 보성군 미력면 ,78
박해천농장,한우,전라남도 보성군 복내면 ,80
이인자 농장,한우,전라남도 보성군 조성면 ,103
백순경 농장,한우,전라남도 보성군 웅치면 ,149
제2 학성농장,한우,전라남도 보성군 웅치면 ,161
가족축사,한우,전라남도 보성군 조성면 ,97
성화농장,한우,전라남도 보성군 득량면 ,70
칠동농장,한우,전라남도 보성군 벌교읍 ,170
영화농장,한우,전라남도 보성군 벌교읍 ,86
김병식농장,한우,전라남도 보성군 복내면 ,110
보흥농장,한우,전라남도 보성군 보성읍 ,120
늘봄농장,한우,전라남도 보성군 득량면 ,189
경인농장,한우,전라남도 보성군 율어면 ,1
제석농장,한우,전라남도 보성군 벌교읍 ,20
홍욱농장(조성),한우,전라남도 보성군 조성면 ,120
연랑산농장,한우,전라남도 보성군 미력면 ,80
태화농장,한우,전라남도 보성군 복내면 ,32
세실농장,한우,전라남도 보성군 보성읍 ,61
정현축사,한우,전라남도 보성군 율어면 ,7
선종보농장,산양,전라남도 보성군 문덕면 ,0
동호농장,한우,전라남도 보성군 벌교읍 ,110
신의한수농장,한우,전라남도 보성군 보성읍 ,36
홍,한우,전라남도 보성군 노동면 ,70
원촌농장,한우,전라남도 보성군 문덕면 ,50
자가농장,한우,전라남도 보성군 웅치면 ,5
다산축산,한우,전라남도 보성군 벌교읍 ,10
대삿골농장,한우,전라남도 보성군 노동면 ,55
이영애농장,한우,전라남도 보성군 율어면 ,70
오수득농장,한우,전라남도 보성군 보성읍 ,3
김현소농장,한우,전라남도 보성군 율어면 ,4
대평로농장,한우,전라남도 보성군 율어면 ,4
문병채농장,한우,전라남도 보성군 율어면 ,4
남중농장,한우,전라남도 보성군 율어면 ,17
윤정희농장,한우,전라남도 보성군 복내면 ,22
안재훈농장,한우,전라남도 보성군 웅치면 ,101
강진옥농장,한우,전라남도 보성군 득량면 ,3
배윤철농장,한우,전라남도 보성군 벌교읍 ,5
라인순 한우농장,한우,전라남도 보성군 득량면 ,32
선학래농장,한우,전라남도 보성군 보성읍 ,52
김영규농장,한우,전라남도 보성군 보성읍 ,150
용반농장,한우,전라남도 보성군 복내면 ,72
종신축사,한우,전라남도 보성군 복내면 ,8
이영화농장,한우,전라남도 보성군 율어면 ,12
최경현농장,한우,전라남도 보성군 벌교읍 ,5
관주산농장,한우,전라남도 보성군 보성읍 ,13
유니농장,한우,전라남도 보성군 율어면 ,110
보람농장,한우,전라남도 보성군 율어면 ,19
대광농장,한우,전라남도 보성군 복내면 ,33
병준농장,한우,전라남도 보성군 조성면 ,24
박영만농장,한우,전라남도 보성군 조성면 ,11
석문농장,한우,전라남도 보성군 득량면 ,150
서문농장,한우,전라남도 보성군 벌교읍 ,120
이진규농장,한우,전라남도 보성군 웅치면 ,90
안종례농장,한우,전라남도 보성군 율어면 ,15
봉록원 농장,한우,전라남도 보성군 보성읍 ,44
우리집농장,한우,전라남도 보성군 득량면 ,6
화령농장,한우,전라남도 보성군 복내면 ,5
김양식농장,한우,전라남도 보성군 벌교읍 ,6
정순기농장,한우,전라남도 보성군 웅치면 ,3
쌍둥이농장,한우,전라남도 보성군 보성읍 ,4
박순단농장,한우,전라남도 보성군 율어면 ,4
이종현농장,한우,전라남도 보성군 율어면 ,8
신흥농장,한우,전라남도 보성군 조성면 ,9
김흥수농장,한우,전라남도 보성군 득량면 ,6
일광농원,한우,전라남도 보성군 득량면 ,13
정우성농장,한우,전라남도 보성군 득량면 ,32
수호농장,한우,전라남도 보성군 보성읍 ,25
비봉농장,한우,전라남도 보성군 복내면 ,80
송학석농장,한우,전라남도 보성군 율어면 ,2
임병모농장,한우,전라남도 보성군 율어면 ,2
남점재농장,한우,전라남도 보성군 벌교읍 ,90
조양축산,한우,전라남도 보성군 득량면 ,237
서성목장,한우,전라남도 보성군 득량면 ,129
주광식농장,한우,전라남도 보성군 득량면 ,27
박재주농장,한우,전라남도 보성군 조성면 ,3
윤정오농장,한우,전라남도 보성군 벌교읍 ,4
이순길농장,한우,전라남도 보성군 벌교읍 ,7
전권일농장,한우,전라남도 보성군 벌교읍 ,3
문영기농장,한우,전라남도 보성군 득량면 ,3
위준복농장,한우,전라남도 보성군 득량면 ,5
김길용농장,한우,전라남도 보성군 벌교읍 ,9
조민환농장,한우,전라남도 보성군 득량면 ,39
신봉식농장,한우,전라남도 보성군 벌교읍 ,9
정형록농장,한우,전라남도 보성군 벌교읍 ,9
정도현농장,한우,전라남도 보성군 율어면 ,2
안준현농장,한우,전라남도 보성군 보성읍 ,81
심문식농장,한우,전라남도 보성군 복내면 ,3
임영환 농장,한우,전라남도 보성군 보성읍 ,7
김호석농장,한우,전라남도 보성군 벌교읍 ,6
이재성농장,한우,전라남도 보성군 겸백면 ,7
정평균농장,한우,전라남도 보성군 보성읍 ,3
감동농장,한우,전라남도 보성군 조성면 ,2
임경환농장,한우,전라남도 보성군 득량면 ,2
최삼열농장,한우,전라남도 보성군 복내면 ,100
소병율농장,한우,전라남도 보성군 복내면 ,7
김창현농장,한우,전라남도 보성군 득량면 ,6
이종백농장,한우,전라남도 보성군 득량면 ,7
야베스목장,한우,전라남도 보성군 복내면 ,25
소홍영농장,한우,전라남도 보성군 복내면 ,3
원봉농장,한우,전라남도 보성군 복내면 ,6
조규영농장,한우,전라남도 보성군 율어면 ,1
이종길농장,한우,전라남도 보성군 벌교읍 ,4
서정호농장,한우,전라남도 보성군 득량면 ,8
안용식농장,한우,전라남도 보성군 웅치면 ,3
선영환농장,한우,전라남도 보성군 득량면 ,6
원등농장,한우,전라남도 보성군 벌교읍 ,4
임병옥농장,한우,전라남도 보성군 겸백면 ,30
안만순농장,한우,전라남도 보성군 복내면 ,6
솔매농원,한우,전라남도 보성군 미력면 ,3
김성문농장,한우,전라남도 보성군 겸백면 ,16
우리민농원,한우,전라남도 보성군 미력면 ,90
안규홍농장,한우,전라남도 보성군 복내면 ,22
종길목장,한우,전라남도 보성군 복내면 ,25
능묵농장,한우,전라남도 보성군 겸백면 ,2
케이비농장,기타,전라남도 보성군 웅치면 ,0
윤주영농장,한우,전라남도 보성군 득량면 ,9
이석진농장,한우,전라남도 보성군 득량면 ,20
양지영농장,한우,전라남도 보성군 득량면 ,7
대선축산,한우,전라남도 보성군 조성면 ,152
함초농장,한우,전라남도 보성군 미력면 ,22
송태성농장,한우,전라남도 보성군 벌교읍 ,4
지성한우농장,한우,전라남도 보성군 복내면 ,100
문경임농장,한우,전라남도 보성군 미력면 ,13
재혁축산,한우,전라남도 보성군 겸백면 ,43
김윤식농장,한우,전라남도 보성군 득량면 ,25
해뜰농장,한우,전라남도 보성군 벌교읍 ,97
국순식농장,한우,전라남도 보성군 득량면 ,18
신우림농장,한우,전라남도 보성군 복내면 ,70
이동농장,한우,전라남도 보성군 율어면 ,100
푸른꿈농장,한우,전라남도 보성군 조성면 ,19
안터우농장,한우,전라남도 보성군 율어면 ,89
서당골농장,한우,전라남도 보성군 벌교읍 ,81
선경,한우,전라남도 보성군 보성읍 ,1
김명표농장,한우,전라남도 보성군 조성면 ,60
이일재농장,한우,전라남도 보성군 율어면 ,19
송현농장,한우,전라남도 보성군 보성읍 ,56
염일선농장,한우,전라남도 보성군 율어면 ,105
강산플러스팜,한우,전라남도 보성군 웅치면 ,180
황금농장,한우,전라남도 보성군 조성면 ,97
매실한우농장,한우,전라남도 보성군 보성읍 ,115
태영농장,한우,전라남도 보성군 노동면 ,180
루디네 염소농장,염소,전라남도 보성군 노동면 ,0
이서농장,한우,전라남도 보성군 보성읍 ,50
신천농장,한우,전라남도 보성군 노동면 ,60
송연준농장,한우,전라남도 보성군 조성면 ,140
죽산농장,육우,전라남도 보성군 보성읍 ,70
위즈팜,한우,전라남도 보성군 복내면 ,120
힘찬농장,한우,전라남도 보성군 복내면 ,147
가람농장,한우,전라남도 보성군 보성읍 ,80
팔공농장,염소,전라남도 보성군 득량면 ,0
백년농장,한우,전라남도 보성군 노동면 ,257
숙골농장,염소,전라남도 보성군 복내면 ,0
화성목장,육우,전라남도 보성군 벌교읍 ,167
두문골농장,염소,전라남도 보성군 문덕면 ,0
보성농장,염소,전라남도 보성군 노동면 ,0
별빛찬란한,한우,전라남도 보성군 문덕면 ,94
도개축사,한우,전라남도 보성군 미력면 ,16
노아홍수농장,한우,전라남도 보성군 조성면 ,72
최기환농장,한우,전라남도 보성군 보성읍 ,39
수빈농장,한우,전라남도 보성군 조성면 ,64
아브라함 목장 B,젖소,전라남도 보성군 벌교읍 ,60
광곡농장,한우,전라남도 보성군 노동면 ,81
성림축산,한우,전라남도 보성군 율어면 ,132
박몽재,한우,전라남도 보성군 조성면 ,6
마천3농장,한우,전라남도 보성군 득량면 ,85
