사업장명칭,주사육업종,사업장소재지,적정사육두수
형제농장,한우,전라남도 보성군 겸백면 ,159
윤석봉농장,한우,전라남도 보성군 보성읍 ,54
박정란농장,한우,전라남도 보성군 벌교읍 ,34
창근농장,한우,전라남도 보성군 복내면 ,132
죽동농장,한우,전라남도 보성군 복내면 ,47
선송오농장,염소,전라남도 보성군 겸백면 ,0
문형석농장,한우,전라남도 보성군 득량면 ,35
이하영농장,한우,전라남도 보성군 득량면 ,96
김행수농장,한우,전라남도 보성군 벌교읍 ,43
수촌농장,한우,전라남도 보성군 조성면 ,29
채용백농장,한우,전라남도 보성군 복내면 ,33
늘푸른농장,돼지,전라남도 보성군 회천면 ,3083
양덕수농장,한우,전라남도 보성군 회천면 ,88
유한립농장,한우,전라남도 보성군 율어면 ,78
대광농장,한우,전라남도 보성군 미력면 ,99
번영목장,한우,전라남도 보성군 득량면 ,201
신행농장,한우,전라남도 보성군 보성읍 ,67
부평농장,한우,전라남도 보성군 보성읍 ,40
염규옥농장,한우,전라남도 보성군 문덕면 ,34
박월래농장,한우,전라남도 보성군 미력면 ,68
양찬열농장,한우,전라남도 보성군 득량면 ,49
윤종태농장,한우,전라남도 보성군 복내면 ,46
오연석 농장,한우,전라남도 보성군 득량면 ,32
대전축산,한우,전라남도 보성군 조성면 ,38
만평농장,한우,전라남도 보성군 보성읍 ,166
부흥농장,한우,전라남도 보성군 보성읍 ,30
천하농장,한우,전라남도 보성군 보성읍 ,82
태영농장,한우,전라남도 보성군 보성읍 ,38
주경농장,한우,전라남도 보성군 보성읍 ,47
삼거리농장,한우,전라남도 보성군 노동면 ,19
이상록농장,한우,전라남도 보성군 미력면 ,36
임광현농장,한우,전라남도 보성군 율어면 ,56
대승농장,한우,전라남도 보성군 율어면 ,88
선우농장,한우,전라남도 보성군 문덕면 ,16
동산농장,한우,전라남도 보성군 문덕면 ,14
오근호농장,한우,전라남도 보성군 조성면 ,6
손순심농장,한우,전라남도 보성군 득량면 ,19
박삼수농장,한우,전라남도 보성군 득량면 ,131
임병관농장,한우,전라남도 보성군 회천면 ,20
