연번,사업장명칭,주사육업종,사육두수,데이터기준일자
232,도화리농장,한우,29,2026-01-26
233,학산리농장,한우,28,2026-01-26
234,현성농장,한우,23,2026-01-26
235,차오름농장,한우,20,2026-01-26
236,남규농장,한우,150,2026-01-26
237,희망농장,한우,34,2026-01-26
238,미래로농장,한우,36,2026-01-26
239,수원농장,한우,43,2026-01-26
240,은하목장,한우,98,2026-01-26
241,우럭농장,한우,28,2026-01-26
242,정영호농장,한우,2,2026-01-26
243,명도축산,한우,8,2026-01-26
244,우리농장,한우,15,2026-01-26
245,중앙축산,한우,8,2026-01-26
246,신선목장,한우,24,2026-01-26
247,형농장,한우,13,2026-01-26
248,진성농장,한우,20,2026-01-26
249,동골농장,한우,4,2026-01-26
250,나랭이농장,한우,8,2026-01-26
251,선바우농장,한우,15,2026-01-26
252,인호농장,한우,28,2026-01-26
253,흑석농장,한우,8,2026-01-26
254,골말농장,한우,16,2026-01-26
255,이연농장,한우,12,2026-01-26
256,해찬농원,한우,40,2026-01-26
257,유창열농장,한우,14,2026-01-26
258,서현농장,한우,27,2026-01-26
259,대구농장,한우,38,2026-01-26
260,그린농원,한우,8,2026-01-26
261,자연한우농장,한우,11,2026-01-26
262,원주농장,한우,1,2026-01-26
263,환희농장,한우,25,2026-01-26
264,이상철농장,한우,13,2026-01-26
265,신흥목장,한우,36,2026-01-26
266,종철농장,한우,27,2026-01-26
267,미당농장,한우,7,2026-01-26
268,적덕농장,한우,8,2026-01-26
269,정한농장,한우,16,2026-01-26
270,재봉농장,한우,4,2026-01-26
271,청풍명월농장,한우,5,2026-01-26
272,준농장,한우,5,2026-01-26
273,성진농장,한우,21,2026-01-26
274,복수농장,한우,2,2026-01-26
275,청전농장,한우,7,2026-01-26
276,배론농장,한우,15,2026-01-26
277,장승농장,한우,3,2026-01-26
278,우리농장,한우,2,2026-01-26
279,덕재농장,한우,23,2026-01-26
280,성희농장,한우,30,2026-01-26
281,영구농장,한우,5,2026-01-26
282,한진농장,한우,4,2026-01-26
283,송한농장,한우,14,2026-01-26
284,하은농원,한우,19,2026-01-26
285,금송농장,한우,20,2026-01-26
286,다온농장,한우,30,2026-01-26
287,서문농장,한우,3,2026-01-26
288,산곡농장,한우,11,2026-01-26
289,주현농장,한우,3,2026-01-26
290,토토농장,한우,6,2026-01-26
291,태한농장,한우,7,2026-01-26
292,고모농장,한우,5,2026-01-26
293,현미농장,한우,16,2026-01-26
294,안골농장,한우,8,2026-01-26
295,개화농장,한우,10,2026-01-26
296,성일농장,한우,23,2026-01-26
297,옥천농장,한우,29,2026-01-26
298,상천농장,한우,9,2026-01-26
299,영규농장,한우,12,2026-01-26
300,대우축산,한우,7,2026-01-26
301,완식농장,한우,11,2026-01-26
302,덕원농장,한우,2,2026-01-26
303,금실농장,한우,21,2026-01-26
304,부산농장,한우,7,2026-01-26
305,월악로농장,한우,2,2026-01-26
306,다락골농장,한우,105,2026-01-26
307,신동농장,한우,2,2026-01-26
308,경상농장,한우,2,2026-01-26
309,명보네농장,한우,7,2026-01-26
310,삼부자농장,한우,8,2026-01-26
311,홍규농장,한우,5,2026-01-26
312,홍운표농장,한우,17,2026-01-26
313,대성농장,한우,15,2026-01-26
314,고산축산,한우,16,2026-01-26
315,영미농장,한우,3,2026-01-26
316,이길수농장,한우,50,2026-01-26
317,재성농장,한우,16,2026-01-26
318,우리농장,한우,9,2026-01-26
319,북로농장,한우,1,2026-01-26
