연번,사업장명칭,주사육업종,등록축종,사업장소재지
930,은정축사,한우,,전라남도 영광군 홍농읍
931,정원농장,한우,,전라남도 영광군 불갑면
932,지은농장,한우,,전라남도 영광군 불갑면
933,아린농장,한우,,전라남도 영광군 염산면
934,축복농장,한우,,전라남도 영광군 백수읍
935,희빈농장,한우,,전라남도 영광군 백수읍
936,호우농장,한우,,전라남도 영광군 염산면
937,우리농장,한우,,전라남도 영광군 군남면
938,태현농장2,한우,,전라남도 영광군 염산면
939,무명농장,염소,,전라남도 영광군 대마면
940,한우농장,한우,,전라남도 영광군 대마면
941,시등목장,육우,,전라남도 영광군 대마면
942,현두농장,한우,,전라남도 영광군 묘량면
943,민형축사,한우,,전라남도 영광군 백수읍
944,아들딸농장,한우,,전라남도 영광군 군서면
945,서영농장,한우,,전라남도 영광군 영광읍
946,홍곡농장,한우,,전라남도 영광군 백수읍
947,빛고을농장,육계,,전라남도 영광군 법성면
948,소통농장2,한우,,전라남도 영광군 영광읍
949,귀현농장,한우,,전라남도 영광군 염산면
950,온고개목장,한우,,전라남도 영광군 불갑면
951,장파농장,염소,,전라남도 영광군 홍농읍
952,한울농장2,한우,,전라남도 영광군 군남면
953,선우농장2,한우,,전라남도 영광군 군남면
954,하라한우농장,한우,,전라남도 영광군 군서면
955,민들레2농장,한우,,전라남도 영광군 영광읍
956,청정한우,한우,,전라남도 영광군 법성면
957,노을축산2,한우,,전라남도 영광군 백수읍
958,누리축산,육우,,전라남도 영광군 영광읍
959,시티농장,한우,,전라남도 영광군 백수읍
