가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 삼동면 금송리 1037번지 1호 외 1필지 ,경상남도 남해군 삼동면 금송로 227-43 (외 1필지),9 ,220 ,2022-11-07
한우,경상남도 남해군 남해읍 남변리 78번지 2호  ,경상남도 남해군 남해읍 에코파크길 56-13,38 ,404 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 982번지  ,경상남도 남해군 고현면 화방로211번길 15,10 ,501 ,2022-11-07
한우,경상남도 남해군 서면 서상리 1469번지 2호  ,경상남도 남해군 서면 남서대로1668번길 77-12,8 ,869 ,2022-11-07
한우,경상남도 남해군 서면 서호리 513번지 1호  ,경상남도 남해군 서면 스포츠로542번길 35-57,32 ,1876 ,2022-11-07
한우,경상남도 남해군 남면 상가리 298번지  ,경상남도 남해군 남면 고실로2번길 22-6,3 ,99 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 149번지 3호  ,경상남도 남해군 고현면 화방로 81-3,23 ,210 ,2022-11-07
한우,경상남도 남해군 고현면 이어리 55번지 5호  ,,140 ,2135 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 584번지 1호  ,경상남도 남해군 설천면 창남로283번길 10-4,27 ,252 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 1165번지  ,경상남도 남해군 설천면 설천로 577-8,3 ,360 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 131번지  ,,2 ,78 ,2022-11-07
한우,경상남도 남해군 남면 덕월리 980번지 2호  ,경상남도 남해군 남면 남서대로1268번길 14-31,6 ,325 ,2022-11-07
한우,경상남도 남해군 고현면 포상리 268번지 1호  ,경상남도 남해군 고현면 삼봉로209번길 17-105,40 ,525 ,2022-11-07
한우,경상남도 남해군 서면 남상리 696번지  ,경상남도 남해군 서면 남서대로 2272-54,6 ,287 ,2022-11-07
한우,경상남도 남해군 남면 당항리 660번지  ,경상남도 남해군 남면 두양로 148-37,23 ,351 ,2022-11-07
한우,경상남도 남해군 서면 작장리 1389번지  ,경상남도 남해군 서면 남서대로2197번길 109,38 ,624 ,2022-11-07
한우,경상남도 남해군 서면 남상리 95번지  ,경상남도 남해군 서면 남서대로 2138-8,39 ,388 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1182번지  ,경상남도 남해군 서면 남서대로 2179-32,39 ,913 ,2022-11-07
한우,경상남도 남해군 서면 서호리 498번지  ,경상남도 남해군 서면 스포츠로542번길 35-23,8 ,380 ,2022-11-07
한우,경상남도 남해군 남면 당항리 837번지 1호  ,경상남도 남해군 남면 두양로150번길 7-15,25 ,306 ,2022-11-07
한우,경상남도 남해군 남면 덕월리 380번지  ,경상남도 남해군 남면 남서대로 1236-10,30 ,288 ,2022-11-07
한우,경상남도 남해군 남면 상가리 656번지 0002호  ,,37 ,295 ,2022-11-07
한우,경상남도 남해군 미조면 송정리 773번지 1호  ,경상남도 남해군 미조면 미송로 252-25,12 ,83 ,2022-11-07
한우,경상남도 남해군 이동면 난음리 206번지  ,경상남도 남해군 이동면 난음로 251-4,27 ,275 ,2022-11-07
한우,경상남도 남해군 서면 대정리 730번지  ,경상남도 남해군 서면 스포츠로 424-41,5 ,27 ,2022-11-07
한우,경상남도 남해군 고현면 오곡리 542번지 2호  ,경상남도 남해군 고현면 고설로83번길 43-22,30 ,384 ,2022-11-07
한우,경상남도 남해군 남면 당항리 218번지  ,경상남도 남해군 남면 두양로150번길 59,5 ,53 ,2022-11-07
"한우, 염소",경상남도 남해군 남면 당항리 246번지  ,경상남도 남해군 남면 두양로150번길 56-7,15 ,251 ,2022-11-07
