시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,-,돼지,500,,경기도 포천시 영중면 금주리 788번지  ,,,2025-01-13
포천시,형제농장,돼지,500,경기도 포천시 일동면 수입로280번길 20-32,경기도 포천시 일동면 수입리 567번지  ,,,2025-01-13
포천시,베다니농장,돼지,690,경기도 포천시 영북면 영북로118번길 15-19,경기도 포천시 영북면 운천리  ,,,2025-01-13
포천시,진호농장,돼지,1400,경기도 포천시 영북면 호국로4350번길 148,경기도 포천시 영북면 자일리 78번지 5호  ,,,2025-01-13
포천시,종배농장,돼지,950,경기도 포천시 영북면 호국로3552번길 67,경기도 포천시 영북면 야미리 116번지 1호  ,,,2025-01-13
포천시,미성농장2,돼지,450,"경기도 포천시 일동면 수입로280번길 20-36, (수입리 560-1,-6)",경기도 포천시 일동면 수입리 560번지 1호 등 2필지(560-6) ,,,2025-01-13
포천시,현대축산,돼지,3500,경기도 포천시 관인면 창동로1071번길 89,경기도 포천시 관인면 중리 176번지 4호  ,,,2025-01-13
포천시,수희농장,돼지,1100,경기도 포천시 이동면 새낭로 430,경기도 포천시 이동면 노곡리 746번지 6호  ,,,2025-01-13
포천시,양특의농장,돼지,300,경기도 포천시 소흘읍 죽엽산로237번길 27-28,경기도 포천시 소흘읍 고모리 475번지 5호  ,,,2025-01-13
포천시,정상농장,돼지,670,경기도 포천시 이동면 새낭로420번길 10,경기도 포천시 이동면 노곡리 746번지 8호  ,,,2025-01-13
포천시,일광농장,돼지,560,경기도 포천시 일동면 인곡1길 44-38,경기도 포천시 일동면 사직리 351번지 10호  ,,,2025-01-13
포천시,서원농장,돼지,1300,경기도 포천시 영북면 문암길 32-23,경기도 포천시 영북면 문암리 250번지 1호  ,,,2025-01-13
포천시,영북축산,돼지,900,경기도 포천시 영북면 금곡동로 34-20,경기도 포천시 영북면 야미리 386번지  ,,,2025-01-13
포천시,양지농장,돼지,1500,경기도 포천시 관인면 창동로1754번길 83,경기도 포천시 관인면 초과리 145번지 5호  ,,,2025-01-13
포천시,대산농장,돼지,600,경기도 포천시 영북면 대회산길 79-65,경기도 포천시 영북면 대회산리 133번지  ,,,2025-01-13
포천시,지혜농장,돼지,400,경기도 포천시 영북면 금곡동로 34-10,경기도 포천시 영북면 야미리 358번지  ,,,2025-01-13
포천시,준농장,돼지,980,경기도 포천시 창수면 옥수로298번길 44,경기도 포천시 창수면 주원리 100번지  ,,,2025-01-13
포천시,-,돼지,769,경기도 포천시 관인면 창동로1173번길 61,경기도 포천시 관인면 삼율리 323번지 7호  ,,,2025-01-13
포천시,승환농장,돼지,25,경기도 포천시 내촌면 음고개길 82,경기도 포천시 내촌면 음현리 244번지 1호  ,,,2025-01-13
포천시,탱크농장,돼지,2379,경기도 포천시 화현면 봉화로 679-60,"경기도 포천시 화현면 지현리 149번지 3호 ,-1,-2, 150-1, 152-9 ",,,2025-01-13
포천시,양구농장,돼지,388,경기도 포천시 이동면 화동로1929번길 13-48,경기도 포천시 이동면 연곡리 921번지  ,,,2025-01-13
포천시,흙돼지농장,돼지,400,경기도 포천시 이동면 화동로1877번길 68,경기도 포천시 이동면 연곡리 953번지  ,,,2025-01-13
포천시,-,돼지,400,경기도 포천시 이동면 성장로1100번길 40,경기도 포천시 이동면 노곡리 69번지 7호  ,,,2025-01-13
포천시,성태농장,돼지,4000,"경기도 포천시 신북면 신평로16번길 12, 등 3필지(341-1,-6,-2)","경기도 포천시 신북면 만세교리 341번지 2호 등 3필지(341-1,-6) ",,,2025-01-13
포천시,최씨농장,돼지,400,경기도 포천시 영북면 비둘기낭길 55,경기도 포천시 영북면 대회산리 298번지  ,,,2025-01-13
포천시,한비축산,돼지,800,경기도 포천시 관인면 찬우물길 290,경기도 포천시 관인면 냉정리  ,,,2025-01-13
포천시,한비축산,돼지,600,경기도 포천시 관인면 창동로1586번길 41,경기도 포천시 관인면 초과리 524번지  ,,,2025-01-13
포천시,동경농장,돼지,3428,경기도 포천시 영중면 은잿말길 31,"경기도 포천시 영중면 거사리 412번지 , 413-4, 414-5, 415-3, -4, -8, 416-1, -10 ",,,2025-01-13
포천시,신화농장,돼지,5130,경기도 포천시 관인면 창동로1071번길 97 (외1필지(178)),경기도 포천시 관인면 중리 181번지 외1필지(178) ,,,2025-01-13
포천시,자일농장,돼지,2000,경기도 포천시 영북면 북원로 194-18,"경기도 포천시 영북면 자일리 1164번지 ,694-12 ",,,2025-01-13
포천시,진원농장,돼지,2000,경기도 포천시 호병골길 119-13 (신읍동),경기도 포천시 신읍동 460번지  ,,,2025-01-13
포천시,경주농장,돼지,350,경기도 포천시 일동면 인곡길 20,경기도 포천시 일동면 사직리 399번지  ,,,2025-01-13
포천시,YD농장,돼지,500,경기도 포천시 일동면 사기막1길 56,경기도 포천시 일동면 화대리 344번지  ,,,2025-01-13
포천시,수성농장,돼지,800,경기도 포천시 화현면 문암동길 138-15,경기도 포천시 화현면 지현리 335번지 6호  ,,,2025-01-13
포천시,정상농장,돼지,214,,경기도 포천시 일동면 화대리 16번지 1호  ,,,2025-01-13
포천시,일동농장,돼지,500,경기도 포천시 일동면 무리울길 237,경기도 포천시 일동면 화대리 22번지  ,,,2025-01-13
포천시,농업법인(주)골드바이오텍,돼지,500,경기도 포천시 일동면 무리울길 213-29,"경기도 포천시 일동면 화대리 42번지 , 43, 44 ",,,2025-01-13
포천시,용선농장,돼지,462,경기도 포천시 영북면 호국로3539번길 55-18,경기도 포천시 영북면 야미리 544번지  ,,,2025-01-13
