농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
태광농장,돼지,1900,"경기도 안성시 대덕면 선인장길 35-7, (외3필지)",경기도 안성시 대덕면 명당리 199번지 (외3필지) 
정현농장,돼지,0,경기도 안성시 대덕면 능말길 43-65,경기도 안성시 대덕면 무능리 310번지 1호  
신촌양돈영농조합법인,돼지,2500,경기도 안성시 대덕면 신촌길 4-210,경기도 안성시 대덕면 신령리 485번지  
기찬축산,돼지,1500,경기도 안성시 보개면 복평리 84번지 1호 외1필지 ,경기도 안성시 보개면 복평리 84번지 1호 외1필지 
해동축산,돼지,4000,경기도 안성시 보개면 보개산로 100,경기도 안성시 보개면 복평리 107번지 2호 외 6필지 
우석농장,돼지,3100,경기도 안성시 삼죽면 서동대로 6188-14,경기도 안성시 삼죽면 미장리 280번지  
화성농장,돼지,1663,경기도 안성시 삼죽면 삼백로 189-17,경기도 안성시 삼죽면 율곡리 526번지 7호  
유나농장,돼지,5000,경기도 안성시 삼죽면 서동대로 6172-107,경기도 안성시 삼죽면 미장리 27번지  
윤선농장,돼지,1280,경기도 안성시 삼죽면 국사봉로 212-9,경기도 안성시 삼죽면 기솔리 441번지  
삼죽영농조합법인,돼지,2787,"경기도 안성시 삼죽면 삼죽초교길 112, (외3필지)",경기도 안성시 삼죽면 덕산리 788번지 (외3필지) 
비봉농장,돼지,2700,경기도 안성시 삼죽면 상삼로 236-11,"경기도 안성시 삼죽면 내장리 58번지 1호 , 58-3, 59-2 "
선유농장,돼지,1500,경기도 안성시 일죽면 신흥리 451번지 3호  ,경기도 안성시 일죽면 신흥리 451번지 3호  
달우물농장,돼지,2104,경기도 안성시 일죽면 일죽신동길 128,"경기도 안성시 일죽면 월정리 44번지 3호 , 44-2 "
여울목영농조합법인,돼지,2719,경기도 안성시 일죽면 주래본죽로 276-83 (외7필지),경기도 안성시 일죽면 산북리 531번지 외7필지 
바우농장,돼지,1200,"경기도 안성시 보개면 내방상삼로 216-67 (, 335번지)","경기도 안성시 보개면 상삼리 331번지 , 335번지 "
신흥농장,돼지,0,경기도 안성시 일죽면 덕현길 13-51,경기도 안성시 일죽면 신흥리 320번지 1호  
유일농장,돼지,4200,경기도 안성시 일죽면 장암로 24-73,"경기도 안성시 일죽면 장암리 60번지 1호 , -3, 61-3, 62-1, -3, 63-1, 413-1 "
한샘농장,돼지,1071,경기도 안성시 고삼면 사동길 64,경기도 안성시 고삼면 쌍지리 795번지  
광무농장,돼지,1900,"경기도 안성시 일죽면 고목남길 86-14 (, -3, 423)","경기도 안성시 일죽면 고은리 1169번지 2호 , -3, 423 "
고은농장,돼지,900,경기도 안성시 일죽면 죽화로 110-51,경기도 안성시 일죽면 고은리 814번지  
동부농장,돼지,1200,경기도 안성시 삼죽면 꺽지길 74,경기도 안성시 삼죽면 덕산리 582번지  
동산농장,돼지,3000,경기도 안성시 대덕면 동산말길 80-12,경기도 안성시 대덕면 삼한리 236번지  
