농장명,농장주,축종명,사육두수(두),농장소재지
송곡농장,박*호,한우,23,전라남도 순천시 외서면 월암리
양지농원,김*섭,육계,20000,전라남도 순천시 서면 판교리
한우농장,곽*택,한우,15,전라남도 순천시 황전면 회룡리
준혁이농장,곽*영,한우,10,전라남도 순천시 황전면 회룡리
보연농장,한*연,한우,35,전라남도 순천시 황전면 덕림리
태양농장,윤*근,한우,108,전라남도 순천시 황전면 죽청리
용헌농장,이*헌,한우,23,전라남도 순천시 황전면 회룡리
상민농장,박*민,한우,50,전라남도 순천시 월등면 송천리
상형농장,이*미,한우,500,전라남도 순천시 월등면 갈평리
금천농장,김*균,한우,50,전라남도 순천시 대룡동
월암농장,조*숙,한우,20,전라남도 순천시 외서면 장산리
재현농장,이*현,한우,5,전라남도 순천시 외서면 쌍율리
운동농장,김*흥,한우,24,전라남도 순천시 낙안면 용능리
경원농장,배*원,한우,10,전라남도 순천시 낙안면 창녕리
한성농장,최*성,한우,20,전라남도 순천시 낙안면 창녕리
금희농장,최*희,한우,10,전라남도 순천시 낙안면 창녕리
한태농장,최*은,한우,20,전라남도 순천시 낙안면 창녕리
토담축산,김*현,한우,20,전라남도 순천시 낙안면 창녕리
순흥목장,안*호,한우,13,전라남도 순천시 낙안면 이곡리
병태농장,정*태,한우,15,전라남도 순천시 낙안면 용능리
박*구 농장,박*구,한우,40,전라남도 순천시 낙안면 용능리
동림축산,이*식,한우,20,전라남도 순천시 낙안면 신기리
멧돼지촌,신*석,돼지,200,전라남도 순천시 별량면 동송리
원죽제1농장,유*식,한우,160,전라남도 순천시 황전면 죽청리
미림축산,이*기,한우,15,전라남도 순천시 황전면 덕림리
홍근농장,윤*근,한우,20,전라남도 순천시 황전면 죽청리
동언농장,한*언,한우,20,전라남도 순천시 황전면 비촌리
송사골농장,김*중,한우,110,전라남도 순천시 황전면 죽청리
신촌농장,음*형,한우,15,전라남도 순천시 외서면 금성리
신*자농장,신*자,한우,50,전라남도 순천시 황전면 대치리
병설농장,최*설,한우,20,전라남도 순천시 월등면 월용리
홍*표농장,홍*표,한우,23,전라남도 순천시 외서면 쌍율리
강*관농장,강*관,한우,12,전라남도 순천시 외서면 쌍율리
왕*석 농장,왕*석,한우,14,전라남도 순천시 황전면 대치리
만전농장,박*전,한우,95,전라남도 순천시 황전면 내구리
삼주농장,박*희,한우,41,전라남도 순천시 월등면 월용리
