농장명,농장주,축종명,사육두수(두),농장소재지
덕동농장,김*기,한우,8,전라남도 순천시 송광면 덕산리
덕성농장,조*규,한우,20,전라남도 순천시 황전면 덕림리
남선농장,오*선,한우,60,전라남도 순천시 황전면 비촌리
학산농장,박*수,한우,23,전라남도 순천시 황전면 비촌리
약초 흑염소,박*석,산양,80,전라남도 순천시 외서면 송곡길
김*훈 농장,김*훈,돼지,1,전라남도 순천시 왕지로
우리들 농장,조*현,육계,100000,전라남도 순천시 주암면 대구리
복호농장,김*춘,한우,31,전라남도 순천시 황전면 비촌리
우리축산,하*성,한우,9,전라남도 순천시 상사면 쌍지리
각문농장,이*태,한우,7,전라남도 순천시 황전면 회룡리
주식회사 대길농업회사법인(으뜸흑염소농장),주식회사대길농업회사법인,염소,300,전라남도 순천시 승주읍 도정리
주석농장,농업회사법인 유한회사 주석농장,육계,217000,전라남도 순천시 주암면 궁각리
한우주주농장,조*기,한우,11,전라남도 순천시 황전면 월산리
복만축사,박*만,한우,44,전라남도 순천시 송광면 이읍리
병길축사,정*길,한우,12,전라남도 순천시 별량면 서동길
풍덕농장,조*수,육계,1500,전라남도 순천시 서면 지본리
갑이농장,최*옥,한우,80,전라남도 순천시 승주읍 도정리
옥산축산,김*채,한우,7,전라남도 순천시 낙안면 옥산리
호끼팜,김*섭,종계/산란계,400,전라남도 순천시 상사면 쌍지리
농업회사법인(주)천사농장1,농업회사법인(주) 천사농장,돼지,1700,전라남도 순천시 월등면 대평리
임채일농장,임*일,한우,2,전라남도 순천시 승주읍 신성리
정양덕농장,정*덕,한우,10,전라남도 순천시 별량면 두고리
장뜰농장,김*호,염소,3,전라남도 순천시 주암면 문길리
팜스토리 대구농장,농업회사팜스토리주식회사,종계/산란계,15000,전라남도 순천시 주암면 대구리
선학축산,문*열,한우,30,전라남도 순천시 해룡면 선학리
창민농장,김*중,한우,90,전라남도 순천시 황전면 죽청리
현대농장,장*원,한우,123,전라남도 순천시 월등면 농선리
태영목장2,조*순,젖소,35,전라남도 순천시 상사면 쌍지리
매봉청계농장,신*자,종계/산란계,2000,전라남도 순천시 낙안면 창녕리
이정농장,임*애,한우,35,전라남도 순천시 주암면 궁각리
신기축사,이*기,한우,20,전라남도 순천시 황전면 회룡리
송곡한우,박*표,한우,4,전라남도 순천시 외서면 월암리
복심목장,양*열,젖소,46,전라남도 순천시 상사면 초곡리
부성농장,정*훈,한우,50,전라남도 순천시 황전면 비촌리
명품돼지,농업회사법인(주)특허사료명품돼지,돼지,0,전라남도 순천시 별량면 동송리
광연축산,정*화,한우,15,전라남도 순천시 황전면 금평리
영도농장,김*용,한우,185,전라남도 순천시 황전면 죽청리
진주2농장,김*식,한우,93,전라남도 순천시 황전면 죽청리
조광농장,조*익,한우,30,전라남도 순천시 별량면 운천리
형제농장,최*민,한우,122,전라남도 순천시 낙안면 교촌리
한마음 축산,최*석,한우,87,전라남도 순천시 낙안면 교촌리
청계농장,유*직,한우,33,전라남도 순천시 서면 판교리
선월축산,김*수,한우,10,전라남도 순천시 해룡면 선월리
갓바위농장,임*택,한우,20,전라남도 순천시 황전면 수평리
최*봉 농장,최*봉,한우,36,전라남도 순천시 외서면 신덕리
평촌농장,김*영,한우,30,전라남도 순천시 황전면 평촌리
우리농장,김*문,한우,90,전라남도 순천시 황전면 죽청리
영봉농장,이*재,한우,10,전라남도 순천시 송광면 구룡리
신우2농장,임*우,한우,10,전라남도 순천시 승주읍 유흥리
지산농장,문*,육계,1000,전라남도 순천시 서면 압곡리
햇빛농장,윤*양,한우,61,전라남도 순천시 황전면 죽청리
대상농장,유*구,한우,36,전라남도 순천시 황전면 회룡리
도시 농부 농원,김*순,한우,20,전라남도 순천시 황전면 비촌리
도리재농장,박*호,한우,30,전라남도 순천시 외서면 반용리
원죽제2농장,정*순,한우,135,전라남도 순천시 황전면 죽청리
승우농장,정*주,한우,37,전라남도 순천시 승주읍 유흥리
산골농장,염*태,한우,37,전라남도 순천시 낙안면 검암리
대영축산,공*택,한우,70,전라남도 순천시 황전면 내구리
두지목장,김*석,한우,70,전라남도 순천시 외서면 신덕리
수영농장 비육장,김*경,돼지,853,전라남도 순천시 서면 대구리
하연농장,장*문,한우,50,전라남도 순천시 월등면 농선리
옥천농장,조*규,한우,5,전라남도 순천시 상사면 용암리
제일농장,장*주,한우,150,전라남도 순천시 황전면 죽청리
복경농장,황*연,한우,50,전라남도 순천시 황전면 내구리
까치농장,반*자,한우,30,전라남도 순천시 해룡면 호두리
대덕농장,김*철,한우,143,전라남도 순천시 월등면 송천리
주헌농장,이*헌,한우,250,전라남도 순천시 월등면 농선리
신성축산,이*현,한우,40,전라남도 순천시 해룡면 신성리
박*성농장,박*성,한우,13,전라남도 순천시 서면 운평리
서*석농장,서*석,한우,20,전라남도 순천시 대룡동
김*희농장,김*희,한우,15,전라남도 순천시 상사면 쌍지리
대호축산,김*복,한우,8,전라남도 순천시 별량면 운천리
세왕농장,최*준,한우,18,전라남도 순천시 별량면 구룡리
초원농원2,문*일,한우,91,전라남도 순천시 낙안면 평촌리
영선목장,강*선,한우,26,전라남도 순천시 월등면 월용리
머들축산,김*심,한우,2,전라남도 순천시 외서면 장산리
봉두농장,김*환,육계,"130,000",전라남도 순천시 주암면 어왕리
승광축산,신*식,한우,8,전라남도 순천시 낙안면 창녕리
순이농장,이*진,한우,52,전라남도 순천시 별량면 금치리
석택축산,공*자,한우,40,전라남도 순천시 황전면 내구리
황학농장,전*환,한우,11,전라남도 순천시 황전면 황학리
채영농장,김*현,한우,40,전라남도 순천시 황전면 죽청리
경원농장,배*원,한우,12,전라남도 순천시 승주읍 남강리
건목농장,조*준,한우,20,전라남도 순천시 황전면 봉덕리
승대농장,강*수,한우,13,전라남도 순천시 황전면 비촌리
몽실농장,황*식,한우,10,전라남도 순천시 황전면 비촌리
강왕기농장,강*기,한우,6,전라남도 순천시 낙안면 검암리
수진이네축산,김*태,한우,4,전라남도 순천시 상사면 용암리
에이치농장,차*창,한우,,전라남도 순천시 서면 운평리
