사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
상당농장,육계,충청북도 음성군 원남면 상당리 475번지 외 4필지 ,충청북도 음성군 원남면 충청대로1007번길 75-30,40000 ,6 ,2322 ,2024-08-24
설피한우,한우,충청북도 음성군 소이면 중동리 327번지 외 1필지 ,"충청북도 음성군 소이면 한불로 778-47, 778-48",50 ,2 ,868 ,2024-08-24
민들레농장,육계,충청북도 음성군 소이면 중동리 122번지 외 4필지 ,,148000 ,6 ,6156 ,2024-08-24
비산농장,돼지,충청북도 음성군 소이면 비산리 459번지 6호  ,충청북도 음성군 소이면 충청대로 2051-36,1000 ,3 ,1501 ,2024-08-24
정가네,한우,충청북도 음성군 삼성면 용성리 114번지 3호  ,,12 ,1 ,301 ,2024-08-24
성림축산,,"충청북도 음성군 삼성면 선정리 605번지 , 선정리 626 나동 ",충청북도 음성군 삼성면 선정로 18,0 ,2 ,1004 ,2024-08-24
솔뫼비농장,종계/산란계,충청북도 음성군 삼성면 청용리 49번지 1호  ,충청북도 음성군 삼성면 삼양로249번길 48-32,5000 ,4 ,2024 ,2024-08-24
장수농장,오리,"충청북도 음성군 삼성면 천평리 355번지 외 4(357, 358, 359, 937) ",충청북도 음성군 삼성면 천평길 181-39,20000 ,12 ,5424 ,2024-08-24
원준목장,한우,충청북도 음성군 삼성면 상곡리 316번지 64호  ,충청북도 음성군 삼성면 상곡로 131-15,30 ,4 ,904 ,2024-08-24
진영농장,종계/산란계,충청북도 음성군 삼성면 상곡리 7번지 1호  ,충청북도 음성군 삼성면 하이텍산단로 36-38,48600 ,3 ,2430 ,2024-08-24
뿌리축산,한우,충청북도 음성군 삼성면 상곡리 327번지 6호  ,충청북도 음성군 삼성면 상곡로 131-26,50 ,2 ,449 ,2024-08-24
차원목장,육우,충청북도 음성군 금왕읍 호산리 285번지  ,충청북도 음성군 금왕읍 금율로 494-3,60 ,2 ,906 ,2024-08-24
송계농장,종계/산란계,충청북도 음성군 삼성면 상곡리 2번지  ,충청북도 음성군 삼성면 하이텍산단로 36-49,110592 ,1 ,5530 ,2024-08-24
이원선목장,한우,충청북도 음성군 삼성면 상곡리 34번지 9호  ,충청북도 음성군 삼성면 청용로127번길 19-28,30 ,4 ,368 ,2024-08-24
삼용농장,오리,충청북도 음성군 원남면 삼용리 284번지  ,,12000 ,7 ,3871 ,2024-08-24
해건농장,육계,충청북도 음성군 음성읍 삼생리 799번지 1호 외 2필지 ,,35000 ,5 ,1974 ,2024-08-24
청송목장,한우,충청북도 음성군 금왕읍 오선리 24번지 6호  ,충청북도 음성군 금왕읍 무극로 54-19,130 ,7 ,1914 ,2024-08-24
한울,육계,"충청북도 음성군 대소면 부윤리 260번지 240, 240-1, 238-4 ",충청북도 음성군 대소면 대동로428번길 21-3,105000 ,4 ,5008 ,2024-08-24
형제농장,오리,충청북도 음성군 맹동면 봉현리 397번지  ,,18000 ,16 ,5670 ,2024-08-24
류봉농장,오리,충청북도 음성군 맹동면 봉현리 463번지 5호  ,충청북도 음성군 맹동면 초금로 309,7000 ,8 ,2270 ,2024-08-24
향촌농장,한우,충청북도 음성군 맹동면 봉현리 109번지 1호 외 2필지 ,충청북도 음성군 맹동면 삼봉길 177-17 (외 2필지),97 ,3 ,1088 ,2024-08-24
백두목장,한우,충청북도 음성군 금왕읍 삼봉리 591번지  ,충청북도 음성군 금왕읍 삼봉길 72,100 ,1 ,1177 ,2024-08-24
삼봉농장,오리,충청북도 음성군 금왕읍 삼봉리 601번지  ,충청북도 음성군 금왕읍 삼봉길90번길 41,12000 ,5 ,1530 ,2024-08-24
늘샘목장,육우,충청북도 음성군 금왕읍 삼봉리 122번지 1호  ,충청북도 음성군 금왕읍 삼봉길150번길 69,6 ,1 ,49 ,2024-08-24
대금 유정란 농장,육계,충청북도 음성군 금왕읍 본대리 29번지  ,충청북도 음성군 금왕읍 신내로563번길 72-20,50000 ,2 ,2392 ,2024-08-24
농업회사법인(주)동일농장 대소3지점,종계/산란계,충청북도 음성군 대소면 부윤리 248번지  ,충청북도 음성군 대소면 대동로428번길 21-32,17550 ,3 ,1950 ,2024-08-24
영진제2농장,돼지,충청북도 음성군 맹동면 쌍정리 459번지  ,충청북도 음성군 맹동면 덕금로 267,2500 ,6 ,4355 ,2024-08-24
황새농장,육계,충청북도 음성군 금왕읍 구계리 429번지 3호 외 1필지 ,충청북도 음성군 금왕읍 금율로269번길 79-11,78000 ,9 ,3020 ,2024-08-24
태영농장,한우,충청북도 음성군 금왕읍 봉곡리 190번지 1호  ,충청북도 음성군 금왕읍 구개천길116번길 39-11,92 ,2 ,941 ,2024-08-24
마산농장,육계,충청북도 음성군 맹동면 마산리 406번지 7호 외 5필지 ,충청북도 음성군 맹동면 대동로 213-6,154000 ,19 ,8593 ,2024-08-24
삼정농장,돼지,충청북도 음성군 대소면 삼정리 680번지  ,충청북도 음성군 대소면 오태로116번길 83-11,500 ,1 ,916 ,2024-08-24
수정농장,한우,충청북도 음성군 대소면 오류리 468번지 1호  ,충청북도 음성군 대소면 삼양로 418-7,60 ,2 ,1166 ,2024-08-24
수인목장,젖소,충청북도 음성군 대소면 수태리 산 49번지 1호  ,,36 ,4 ,787 ,2024-08-24
대성농장,한우,충청북도 음성군 대소면 오류리 435번지  ,,120 ,2 ,776 ,2024-08-24
장군농장,종계/산란계,충청북도 음성군 대소면 수태리 153번지  ,충청북도 음성군 대소면 수태로 206,28000 ,3 ,3204 ,2024-08-24
