순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
102,우덕농장,한우,한우,20,경상남도 함양군 안의면 월림길 63-1,2025-09-08
103,무,한우,한우,15,경상남도 함양군 휴천면 휴천로 405,2025-09-08
104,무,한우,한우,15,경상남도 함양군 유림면 안평길 42,2025-09-08
105,무,한우,한우,12,경상남도 함양군 안의면 두항길 88,2025-09-08
106,무,한우,한우,0,경상남도 함양군 백전면 구산대안로 213,2025-09-08
107,무,한우,한우,7,경상남도 함양군 지곡면 덕암길 26-36,2025-09-08
108,무,한우,한우,12,경상남도 함양군 함양읍 학동1길 1-10,2025-09-08
109,무,한우,한우,30,경상남도 함양군 함양읍 거면들길 95,2025-09-08
110,무,한우,한우,38,경상남도 함양군 함양읍 구룡리 912번지  ,2025-09-08
111,무,한우,한우,8,경상남도 함양군 안의면 도림리 806번지  ,2025-09-08
112,무,한우,한우,26,경상남도 함양군 안의면 안의도장골길 252,2025-09-08
113,무,한우,한우,11,경상남도 함양군 안의면 석반길 52,2025-09-08
114,무,한우,한우,55,경상남도 함양군 안의면 성동로 155,2025-09-08
115,무,한우,한우,15,경상남도 함양군 병곡면 덕평길 35,2025-09-08
116,무,한우,한우,13,경상남도 함양군 함양읍 원구길 53-5,2025-09-08
117,무,오리,오리,20000,경상남도 함양군 휴천면 목현옥매로 101-85,2025-09-08
118,무,한우,한우,13,경상남도 함양군 유림면 안평길 1-2,2025-09-08
119,무,한우,한우,36,경상남도 함양군 유림면 안평길 14-75,2025-09-08
120,무,한우,한우,3,경상남도 함양군 유림면 서주길 2-7,2025-09-08
121,무,한우,한우,6,경상남도 함양군 함양읍 유림북로 113-2,2025-09-08
122,무,한우,한우,9,경상남도 함양군 유림면 국계리 357번지  ,2025-09-08
123,무,한우,한우,23,경상남도 함양군 유림면 천왕봉로 3165-2,2025-09-08
124,무,한우,한우,94,경상남도 함양군 지곡면 함양로 1542-2,2025-09-08
125,무,한우,한우,20,경상남도 함양군 병곡면 병곡신기길 18,2025-09-08
126,무,한우,한우,15,경상남도 함양군 함양읍 곰실2길 32-2,2025-09-08
127,무,한우,한우,3,경상남도 함양군 휴천면 세동안길 10-11,2025-09-08
128,무,한우,한우,8,경상남도 함양군 유림면 대치길 70,2025-09-08
