사업장명칭,주사육업종,사업장소재지(지번), 사육두수 
장복농장,돼지,"충청남도 예산군 대술면 장복리 533번지 1호 외 7필지(5341, 2, 4, 5, 60618, 39, 화산리 5221) ",2600
동방목장,젖소,충청남도 예산군 광시면 가덕리 108번지 1호 외3필지 ,130
덕창목장,한우,충청남도 예산군 신양면 연리 152번지 3호 외1필지(1524) ,76
자매농장,한우,충청남도 예산군 신양면 하천리 487번지 1호  ,30
덕영목장,한우,충청남도 예산군 신양면 서계양리 241번지 1호 외 1필지(2412) ,50
신양목장,한우,충청남도 예산군 신양면 신양리 879번지 2호  ,30
선창목장,젖소,충청남도 예산군 신양면 귀곡리 658번지 6호 외 1필지(664) ,88
은현농장,돼지,충청남도 예산군 오가면 분천리 3번지 55호  ,122
농업회사법인(주)웃는돼지,돼지,충청남도 예산군 오가면 내량리 150번지 1호 외 14필지 ,7500
푸른농장,한우,충청남도 예산군 오가면 양막리 42번지 5호  ,78
가야농장,육계,충청남도 예산군 덕산면 옥계리 113번지  ,2500
현우농장,젖소,충청남도 예산군 고덕면 석곡리 7번지 2호  ,  
농업회사법인 연수농장(주),돼지,충청남도 예산군 고덕면 몽곡리 763번지 2호 외 18필지 ,14800
맛사돈농장,돼지,"충청남도 예산군 신암면 신택리 13번지 외3필지(111,123,10) ",2500
완성농장,한우,충청남도 예산군 삽교읍 상하리 15번지 1호  ,231
시골농장,한우,"충청남도 예산군 덕산면 둔리 403번지 2호 외 3필지(4036,40310,40312) ",90
진주목장,젖소,"충청남도 예산군 삽교읍 상성리 101번지 4호 외 6필지(10111,102,1021,1022,1023,1024) ",  
수훈목장,젖소,"충청남도 예산군 삽교읍 신가리 531번지 외 5필지(474, 533, 5341, 5345, 8783) ",135
가야농장,육계,충청남도 예산군 삽교읍 상하리 150번지 7호  ,50000
간양농장,한우,충청남도 예산군 예산읍 간양리 540번지  ,7
문정농장,한우,충청남도 예산군 고덕면 석곡리 515번지  ,70
용토목장,육우,"충청남도 예산군 고덕면 상몽리 482번지 외 5필지(4821,4822,4826,4827,4828) ",343
대천양계장,육계,"충청남도 예산군 고덕면 대천리 747번지 9호 외3필지(1,2,10) ",20000
오가원,한우,충청남도 예산군 오가면 원천리 867번지 3호 외1필지(86736) ,45
보경농장,한우,"충청남도 예산군 대술면 화산리 263번지 외 4필지(2291,265,272,3944) ",477
청해목장,한우,충청남도 예산군 고덕면 석곡리 397번지 1호  ,50
영신농장,한우,"충청남도 예산군 고덕면 지곡리 75번지 1호 외 3필지(763, 765, 78) ",160
민수농장,젖소,충청남도 예산군 고덕면 몽곡리 191번지 1호 외1필지 ,165
아림농장,육우,충청남도 예산군 고덕면 석곡리 109번지 15호  ,250
황금농장,한우,충청남도 예산군 고덕면 석곡리 548번지 2호  ,27
창신농장,돼지,"충청남도 예산군 고덕면 상궁리 647번지 4호 외 3필지(6472, 64711, 64712) ",1083
봉림농장,한우,충청남도 예산군 봉산면 봉림리 423번지 5호 외 2필지 ,80
장수농장,육계,"충청남도 예산군 고덕면 몽곡리 805번지 5호 ,  806,  80613,  824 ",80000
주화농장,한우,충청남도 예산군 대술면 방산리 195번지 7호 외3필지 ,120
승진농장,육계,충청남도 예산군 오가면 내량리 169번지 34호 외2필지 ,80000
농업회사법인 주식회사 웃는돼지,돼지,"충청남도 예산군 광시면 구례리 271번지 외5(2173,297,2974,299,4935) ",3000
지영목장,젖소,"충청남도 예산군 광시면 신대리 61번지 1호 외 4필지(58, 581, 583, 61) ",57
대하농장,육계,충청남도 예산군 고덕면 대천리 13번지 29호 외1필지(1330) ,80000
서부농장,한우,"충청남도 예산군 삽교읍 상하리 150번지 10호 외 15011, 15013 ",  
남수축산,한우,충청남도 예산군 삽교읍 이리  ,100
대정목장,한우,충청남도 예산군 대술면 장복리 452번지 1호  ,30
대광농장,염소,"충청남도 예산군 대술면 상항리 32번지 외 2필지(31,311) ",  
길림농장,젖소,충청남도 예산군 대술면 장복리 69번지 외2필지 ,150
덕산목장,한우,충청남도 예산군 오가면 원천리 947번지 35호  ,200
현광목장,한우,"충청남도 예산군 오가면 원평리 714번지 외2필지(7141,7148) ",45
금덕농장,종계/산란계,"충청남도 예산군 덕산면 낙상리 134번지 1호 외9필지(1342,6,7,9,11,13,14,16,1649) ",  
형제농장,한우,충청남도 예산군 고덕면 석곡리 377번지  ,40
