사업장명칭,주사육업종,사업장소재지(지번), 사육두수 
용주목장,한우,충청남도 예산군 고덕면 호음리 407번지 1호  ,28
새싹목장,젖소,"충청남도 예산군 대술면 송석리 359번지 외 7필지(3232, 3233, 3591, 3741, 3745, 3745, 4658) ",150
병환농장,한우,충청남도 예산군 대술면 화산리 564번지 외4필지(571.572.573.574) ,80
지현목장,한우,"충청남도 예산군 광시면 신대리 146번지 외 3필지(1341, 1354, 2737) ",19
솔미농원,한우,"충청남도 예산군 삽교읍 안치리 71번지 6호 외 7필지(65, 66, 672, 7122, 1056, 1057, 3183) ",320
기원목장,한우,충청남도 예산군 광시면 노전리 38번지  ,75
주란목장,한우,"충청남도 예산군 고덕면 몽곡리 73번지 3호 외2필지(5,7) ",80
수연농장,한우,충청남도 예산군 대술면 산정리 460번지  ,40
광명축사,한우,충청남도 예산군 고덕면 사리 654번지 3호  ,50
농은목장,젖소,충청남도 예산군 대술면 화산리 567번지 1호  ,85
백양목장,젖소,충청남도 예산군 봉산면 마교리 282번지 외2필지 ,63
상진2목장,젖소,"충청남도 예산군 고덕면 호음리 387번지 12호 외 6필지( 38713, 3887, 39310, 7512, 752, 7526) ",150
예찬농장,한우,"충청남도 예산군 오가면 신장리 472번지 18호 외 2필지(47220, 47229) ",115
덕숭목장,한우,충청남도 예산군 덕산면 둔리 408번지  ,45
유림농장,한우,"충청남도 예산군 오가면 분천리 389번지 2호 외 2필지(3899,734) ",77
유한목장,한우,충청남도 예산군 오가면 분천리 14번지 12호 외 1필지(1463) ,100
송이목장,한우,충청남도 예산군 오가면 원평리 769번지  ,36
재성농장,한우,충청남도 예산군 신암면 오산리 245번지  ,73
유일목장,젖소,"충청남도 예산군 삽교읍 가리 294번지 1호 외 4필지(291,29412,29413.29415) ",500
수현농장,한우,충청남도 예산군 오가면 양막리 35번지 7호 외 1필지(양막리 358) ,110
신광농장,한우,충청남도 예산군 오가면 오촌리 307번지 1호  ,48
농업회사법인주식회사 태신목장,육우,"충청남도 예산군 고덕면 상몽리 824번지 1호 외8필지(2,7,8,10,12,13,8223,9005) ",1350
선진목장,젖소,"충청남도 예산군 봉산면 마교리 67번지 2호 외3필지(673, 676, 682) ",150
대신농장,한우,충청남도 예산군 봉산면 화전리 105번지 1호  ,30
대길농장,한우,"충청남도 예산군 봉산면 고도리 289번지 1호 외3필지(2892,2951,2952) ",130
진달래농장,한우,"충청남도 예산군 고덕면 몽곡리 347번지 1호 외 2필지(3475, 3476) ",120
수원목장,한우,충청남도 예산군 고덕면 상몽리 60번지 18호 외3필지 ,100
지열목장,한우,충청남도 예산군 대술면 산정리 71번지 2호  ,40
창성농장,한우,"충청남도 예산군 신양면 귀곡리 54번지 외3필지(531,671,88929) ",70
중상골농장,한우,"충청남도 예산군 봉산면 봉림리 589번지 외3필지(5892, 58727, 5878) ",65
춘수농장,한우,충청남도 예산군 봉산면 대지리 521번지  ,21
가나안농장,육계,충청남도 예산군 봉산면 대지리 794번지 7호 외15필지 ,75000
영흥농장,한우,충청남도 예산군 봉산면 대지리 553번지 1호 외 1필지(5532) ,50
봉림양계장,육계,"충청남도 예산군 봉산면 봉림리 595번지 외2(59526,59527) ",20000
아리랑농장,한우,충청남도 예산군 봉산면 봉림리  ,41
순호농장,한우,충청남도 예산군 오가면 원천리 554번지 3호 외 1필지(6005) ,49
한축농장,한우,충청남도 예산군 오가면 좌방리 5번지 44호 외 1필지(519) ,54
하늘목장,젖소,충청남도 예산군 신암면 예림리 355번지 2호  ,10
좌방농원,한우,충청남도 예산군 오가면 분천리 55번지 84호 좌방리8439외 3필지 ,14
하나농장,한우,충청남도 예산군 오가면 좌방리 691번지 외1필지(692) ,18
자립농장,돼지,"충청남도 예산군 오가면 신원리 120번지 2호 외6필지(1201,1203,557116,557118,557156,557157) ",3657
오가원농장,한우,충청남도 예산군 오가면 원천리 893번지  ,40
혜성목장,한우,"충청남도 예산군 신암면 예림리 165번지 외3필지(1652,3,5614) ",10
은현농장,돼지,충청남도 예산군 오가면 내량리 1번지 361호  ,1000
대중목장,한우,"충청남도 예산군 고덕면 몽곡리 174번지 외 2필지(1771, 178) ",50
이가농장,한우,충청남도 예산군 고덕면 상몽리 88번지  ,29
이가농장,돼지,충청남도 예산군 고덕면 몽곡리 440번지  ,700
성호농장,한우,충청남도 예산군 고덕면 몽곡리 332번지 1호  ,890
아람농장,한우,충청남도 예산군 고덕면 지곡리 6번지 7호  ,20
준호목장,젖소,충청남도 예산군 고덕면 호음리 325번지  ,40
형제목장,한우,충청남도 예산군 고덕면 상몽리 417번지 34호  ,90
상진목장,젖소,"충청남도 예산군 고덕면 호음리 734번지 1호 외 6필지(7342, 7343, 7344, 7345, 736, 8441) ",150
두원목장,한우,"충청남도 예산군 고덕면 호음리 94번지 2호 외2필지(3,4) ",20
아지농장,한우,"충청남도 예산군 대흥면 금곡리 15번지 외 5필지(151,131,132,133,17) ",348
성미목장,젖소,"충청남도 예산군 고덕면 호음리 95번지 3호 외 5필지(9412, 4, 8, 9, 산7019) ",300
이학로농장,한우,충청남도 예산군 덕산면 복당리 455번지  ,8
윤기농장,한우,"충청남도 예산군 삽교읍 용동리 630번지 5호 외 3필지(6304, 6316, 93852) ",50
희망목장,육우,"충청남도 예산군 삽교읍 삽교리 6번지 6호 외 3필지(64, 619, 726) ",180
동원농장,한우,충청남도 예산군 삽교읍 하포리 152번지  ,30
김윤태농장,육계,충청남도 예산군 오가면 원평리 61번지 외3필지 ,40000
환성축산,돼지,충청남도 예산군 오가면 역탑리 359번지 18호  ,1200
강훈농장,육계,충청남도 예산군 오가면 원천리 955번지 32호  ,1100
길농원,돼지,"충청남도 예산군 오가면 분천리 121번지 45호 외 3필지(12146, 12147, 12173) ",3000
명대농장,한우,충청남도 예산군 고덕면 호음리 488번지 12호 외1필지 ,100
세림목장,젖소,충청남도 예산군 고덕면 용리 1059번지  ,110
영신목장,젖소,충청남도 예산군 고덕면 오추리 764번지 2호  ,35
병희목장,젖소,충청남도 예산군 고덕면 호음리 272번지 5호 외 6필지 ,60
한밭목장,젖소,"충청남도 예산군 고덕면 호음리 158번지 1호 외5필지(3,2041,4,8851,9041) ",105
유성목장,젖소,"충청남도 예산군 고덕면 상장리 490번지 외 5필지(476, 477, 4871, 4879, 4899) ",70
금석농장,한우,충청남도 예산군 신암면 조곡리 2번지  ,50
예산농장,종계/산란계,충청남도 예산군 오가면 좌방리 84번지 84호 외10필지 ,  
강인관농장,한우,충청남도 예산군 오가면 원천리 837번지 3호 외 1필지(837) ,15
성웅목장,한우,충청남도 예산군 오가면 원평리 60번지  ,30
수지농장,한우,충청남도 예산군 신암면 용궁리 19번지 18호  ,210
예산 지명영농법인,돼지,충청남도 예산군 오가면 신장리 450번지 19호  ,7000
해신농장,돼지,"충청남도 예산군 오가면 원천리 422번지 7호 외 2(4222, 4223) ",1500
시량목장,한우,충청남도 예산군 덕산면 시량리 160번지 3호  ,11
영훈목장,젖소,"충청남도 예산군 고덕면 용리 755번지 10호 외 8필지(1071, 1294, 11, 75511, 13, 14, 76225, 76742) ",180
용궁목장,육우,충청남도 예산군 고덕면 호음리 469번지  ,44
미래목장,젖소,"충청남도 예산군 고덕면 용리 193번지 1호 외3필지(1602,3,76234) ",80
지명한우농장,한우,충청남도 예산군 고덕면 석곡리 10번지 9호  ,24
축복농장,한우,충청남도 예산군 고덕면 호음리 351번지 1호  ,23
덕풍농장,돼지,"충청남도 예산군 오가면 원천리 961번지 외 4필지(965,967,9642,96412) ",6569
낙원목장,한우,"충청남도 예산군 삽교읍 삽교리 9번지 9호 외6필지(81,811,91,717,7182,719) ",193
성신목장,젖소,"충청남도 예산군 삽교읍 목리 21번지 24호 외 3필지(2117, 27, 28) ",93
양수촌목장(2),젖소,"충청남도 예산군 삽교읍 이리 575번지 1호 외6필지(575,57518,5762,5766,5768,5769) ",85
선진농장,한우,"충청남도 예산군 삽교읍 수촌리 309번지 외5필지(수촌리3102, 10, 5, 이리5866, 5953) ",89
이화목장,젖소,충청남도 예산군 고덕면 용리 1268번지 외1필지(1267) ,50
호은농장,돼지,충청남도 예산군 대술면 이티리 610번지 외2필지 ,1300
에덴농장,한우,충청남도 예산군 삽교읍 두리 287번지 4호  ,12
혜전목장,젖소,충청남도 예산군 신암면 조곡리 20번지 3호 외1필지 ,319
농업회사법인 대한에프에스(주),한우,"충청남도 예산군 덕산면 둔리 525번지 20호 외10(5253,10,11,18,22,23,47,62,63,64) ",718
선숙목장,젖소,충청남도 예산군 삽교읍 가리 296번지 1호 외3필지 ,50
낙원농장,한우,"충청남도 예산군 봉산면 마교리 302번지 2호 외 2필지(3023, 3112) ",200
대도농장,한우,"충청남도 예산군 봉산면 옹안리 67번지 1호 외 2필지(661, 682) ",100
우성농장,한우,충청남도 예산군 고덕면 구만리 1165번지 1호  ,65
영돌농장,돼지,충청남도 예산군 대술면 궐곡리 498번지  ,3000
다둥이 축산,한우,충청남도 예산군 신양면 불원리 316번지 1호  ,63
순섭농장,한우,충청남도 예산군 봉산면 봉림리 575번지 2호 외2필지 ,60
모우목장,젖소,충청남도 예산군 봉산면 금치리 318번지 3호  ,60
전원목장,한우,충청남도 예산군 삽교읍 창정리 221번지 2호  ,86
현대축산,한우,"충청남도 예산군 삽교읍 창정리 321번지 620호 외2필지(321573, 321621) ",25
송이농장,한우,충청남도 예산군 덕산면 복당리 134번지 2호  ,63
풀잎농장,한우,충청남도 예산군 봉산면 대지리  ,25
가람목장,젖소,충청남도 예산군 삽교읍 이리 395번지 3호  ,70
영성축산,돼지,"충청남도 예산군 삽교읍 성리 351번지 외4필지(352,1122,6,7) ",600
현모목장,한우,"충청남도 예산군 신암면 신택리 195번지 15호 외4필지(1951, 19514, 19517, 19522), ",220
기러기농장,한우,충청남도 예산군 삽교읍 신리 133번지 9호  ,40
선우농장,돼지,"충청남도 예산군 대흥면 지곡리 107번지 외8필지(97, 971,972, 1001, 103, 104, 105, 1081) ",7500
일화농장,한우,"충청남도 예산군 오가면 신장리 882번지 1호 외5필지(88212, 13, 8843, 7, 17) ",250
현아목장,한우,충청남도 예산군 고덕면 호음리 83번지  ,50
지구농장,돼지,충청남도 예산군 삽교읍 가리 3번지 7호 외1필지 (323) ,719
효성농장,한우,충청남도 예산군 대흥면 손지리 157번지 1호  ,120
주은농장,한우,충청남도 예산군 응봉면 송석리 85번지 2호  ,50
용궁농장,육계,충청남도 예산군 신암면 용궁리 364번지 5호 외2필지 ,30000
시온농장,한우,충청남도 예산군 광시면 서초정리 672번지 외1필지(6721) ,130
현대농장,한우,"충청남도 예산군 오가면 분천리 284번지 3호 외4필지(8,9,1,76410 ",100
한솔농장,한우,충청남도 예산군 덕산면 둔리 525번지 34호  ,100
명우농장,한우,충청남도 예산군 대술면 산정리 443번지  ,21
하나농장,돼지,충청남도 예산군 덕산면 복당리 147번지 2호  ,2000
광월농장,한우,충청남도 예산군 광시면 월송리 664번지  ,26
백월농장,한우,충청남도 예산군 광시면 대리 427번지  ,11
우리손 예산농장,한우,충청남도 예산군 대술면 화산리 380번지 외11필지 ,1331
대박농장,한우,충청남도 예산군 오가면 역탑리 489번지 8호 외4필지 ,60
화수농장,한우,충청남도 예산군 신양면 신양리 966번지  ,70
미소농장,한우,"충청남도 예산군 신양면 가지리 425번지 1호 외2필지(4225,424) ",35
정수농장,한우,충청남도 예산군 신양면 귀곡리 450번지 외1필지(4501) ,30
승일농장,한우,충청남도 예산군 오가면 분천리 185번지 7호 외1필지 ,50
청원농장,한우,충청남도 예산군 삽교읍 평촌리 89번지 7호 외 4필지 ,50
궁말농장,한우,충청남도 예산군 덕산면 둔리 425번지 1호 외1필지(4252) ,56
궁촌목장,한우,충청남도 예산군 덕산면 둔리 269번지  ,62
준목장,젖소,"충청남도 예산군 고덕면 상몽리 483번지 1호 외 3필지(4832, 48219, 48220) ",60
상궁목장,한우,충청남도 예산군 고덕면 상궁리 542번지 6호  ,21
대성농장,한우,"충청남도 예산군 대술면 방산리 192번지 1호 외 2필지(192,1911) ",201
지강농장1,육계,"충청남도 예산군 대술면 화천리 215번지 외 3필지(216,2502,2504) ",  
미래농장,한우,충청남도 예산군 삽교읍 상성리 95번지 29호 외 1필지(9530) ,30
금성농장,육계,충청남도 예산군 광시면 구례리 235번지 1호  ,75000
미니농장,육계,충청남도 예산군 오가면 신석리  ,60000
밀알농장,한우,충청남도 예산군 삽교읍 창정리 321번지 59호  ,50
선희농장,한우,충청남도 예산군 삽교읍 창정리 73번지 1호 외 1필지(7337) ,50
교훈농장,한우,충청남도 예산군 대술면 화천리 519번지 6호 외 1필지(5195) ,51
우형농장,한우,충청남도 예산군 응봉면 건지화리 198번지 2호 외 1필지 ,400
이리농장,한우,충청남도 예산군 삽교읍 이리 502번지 4호  ,40
상아농장,한우,충청남도 예산군 삽교읍 창정리 321번지 165호  ,40
아버지농장,한우,충청남도 예산군 신양면 연리 43번지 1호  ,22
형제농장,한우,충청남도 예산군 응봉면 건지화리 180번지 1호 외1필지(179) ,150
신장축산,한우,충청남도 예산군 오가면 신장리 415번지 2호  ,65
향농원,한우,"충청남도 예산군 신양면 귀곡리 634번지 1호 외2(6342,635) ",80
종혁농장,한우,"충청남도 예산군 오가면 오촌리 105번지 5호 외2필지( 1051, 1067) ",26
원천농장,한우,충청남도 예산군 오가면 원천리 922번지  ,26
영일농장,한우,충청남도 예산군 덕산면 사천리 258번지 1호  ,2
천수농장,한우,충청남도 예산군 예산읍 신례원리 산 52번지  ,20
빈농장,한우,충청남도 예산군 대술면 마전리 200번지 3호  ,15
청우농장,한우,충청남도 예산군 대술면 궐곡리 448번지 4호  ,15
박환영농장,한우,충청남도 예산군 대술면 산정리 413번지 1호  ,25
준환농장,한우,충청남도 예산군 대술면 마전리 19번지  ,14
시산농장,한우,충청남도 예산군 대술면 시산리 323번지 21호  ,18
세샘농장,한우,충청남도 예산군 대술면 산정리 267번지  ,18
효섭농장,한우,충청남도 예산군 오가면 좌방리 310번지 4호 외 1필지(삽교읍 성리 3375) ,1960
순수농장,한우,충청남도 예산군 삽교읍 수촌리 9번지 4호  ,16
우리농장,한우,충청남도 예산군 삽교읍 월산리 30번지 1호 외1필지(3014) ,9
평촌농장,한우,충청남도 예산군 삽교읍 평촌리 198번지  ,20
초심농장,한우,"충청남도 예산군 삽교읍 삽교리 516번지 2호 외 7필지(5161, 5163, 평촌리 164, 161, 32511, 163, 1651) ",180
태선농장,한우,충청남도 예산군 삽교읍 용동리 305번지 2호 외 1필지(3004) ,58
희진농장,한우,충청남도 예산군 삽교읍 상하리 271번지 4호  ,160
진영농장,한우,"충청남도 예산군 광시면 신흥리 311번지 외2필지(309, 327) ",25
종필목장,한우,충청남도 예산군 광시면 운산리 318번지 1호 외1필지(3271) ,30
한솔농장,한우,충청남도 예산군 신양면 시왕리 297번지 1호  ,40
금성목장,한우,충청남도 예산군 대흥면 갈신리 502번지 1호  ,100
민혁농장,한우,충청남도 예산군 대흥면 대률리 373번지  ,4
상중농장,한우,충청남도 예산군 대흥면 상중리 306번지 4호  ,21
밤이농장,한우,충청남도 예산군 대흥면 대률리 223번지 외 1필지(226) ,28
삼박골농장,한우,충청남도 예산군 대흥면 갈신리  ,17
동서농장,한우,충청남도 예산군 대흥면 동서리 229번지 1호  ,35
샛별농장,한우,충청남도 예산군 대흥면 갈신리 389번지 외1필지(390) ,13
의영농장,한우,충청남도 예산군 덕산면 읍내리 4번지 74호  ,25
부부농장,한우,충청남도 예산군 덕산면 낙상리 31번지 2호  ,16
형제농장,한우,충청남도 예산군 덕산면 내라리 319번지 1호  ,13
나바식농장,한우,충청남도 예산군 덕산면 외라리 196번지  ,8
기웅축산,한우,충청남도 예산군 봉산면 효교리 405번지 56호  ,3
자동축산,한우,충청남도 예산군 봉산면 금치리 242번지  ,23
양금농장,한우,충청남도 예산군 고덕면 몽곡리 546번지 10호 외 1필지 ,50
동주농장,한우,충청남도 예산군 고덕면 구만리 72번지 외 1필지(733) ,15
규신농장,한우,"충청남도 예산군 신암면 중예리 70번지 외2필지(682, 3322) ",10
별리한우목장,한우,"충청남도 예산군 신암면 별리 424번지 외 2필지(4222, 4223) ",25
두원목장,한우,"충청남도 예산군 신암면 예림리 366번지 3호 외 2필지(3645, 3662) ",100
진농장,한우,충청남도 예산군 고덕면 석곡리 120번지 3호 외 1필지(1185) ,98
병훈목장,한우,충청남도 예산군 광시면 구례리 6번지 외 1필지 ,32
탐라목장,한우,충청남도 예산군 고덕면 상장리 466번지 4호  ,150
홍천목장,한우,"충청남도 예산군 덕산면 낙상리 34번지 3호 외2필지(344,347) ",34
원천목장,한우,"충청남도 예산군 오가면 원천리 909번지 1호 외 2필지(9092,9151) ",129
수호일농장,한우,충청남도 예산군 삽교읍 상성리 115번지 1호  ,10
영진농장,한우,충청남도 예산군 광시면 가덕리 536번지  ,18
성우농장,한우,충청남도 예산군 대흥면 갈신리 119번지 외 1필지(12030) ,19
새한농장,한우,충청남도 예산군 응봉면 입침리 443번지  ,60
지곡농장,한우,충청남도 예산군 고덕면 지곡리 53번지 3호  ,10
유상농장,한우,"충청남도 예산군 대술면 송석리 137번지 외 3필지(1362, 1372, 1374) ",14
예산응봉축산,한우,충청남도 예산군 응봉면 송석리 164번지 4호  ,15
이삭농장,한우,충청남도 예산군 삽교읍 상하리 28번지  ,38
동선농장,한우,충청남도 예산군 삽교읍 이리 332번지 1호 외 1필지(33313) ,17
한솔농장,한우,충청남도 예산군 고덕면 석곡리 522번지 3호  ,50
OK한우목장,한우,"충청남도 예산군 대술면 산정리 433번지 6호 외 2필지(4337,43312) ",109
효훈농장,한우,충청남도 예산군 응봉면 송석리 33번지 2호  ,9
새힘농장,한우,충청남도 예산군 고덕면 사리 784번지  ,50
구학농장,한우,충청남도 예산군 광시면 노전리 27번지  ,40
송이목장,한우,충청남도 예산군 오가면 원평리 603번지 1호 외 1필지(6032) ,140
용광목장,한우,충청남도 예산군 덕산면 외라리 177번지  ,15
갈신농장,한우,충청남도 예산군 대흥면 갈신리 702번지  ,20
하늘농장,한우,"충청남도 예산군 대술면 화천리 966번지 46호 외4필지(7612,9664,48,134) ",30
감나무골농장,한우,충청남도 예산군 신양면 귀곡리 13번지 1호  ,70
덕곡농장,한우,충청남도 예산군 신양면 귀곡리 969번지  ,34
남준농장,한우,"충청남도 예산군 삽교읍 상하리 26번지 외2필지(261, 149) ",33
장관목장,한우,"충청남도 예산군 고덕면 지곡리 247번지 1호 외4필지(245, 247, 248, 2481) ",40
병준농장,한우,충청남도 예산군 삽교읍 이리 67번지 1호  ,25
승리목장,한우,"충청남도 예산군 신양면 만사리 152번지 6호 외 2필지(1527, 215) ",16
대기농장,한우,충청남도 예산군 덕산면 둔리 459번지  ,20
용현농장,한우,충청남도 예산군 신양면 만사리 122번지 외 1필지(1241) ,40
효성농장,한우,충청남도 예산군 삽교읍 용동리 155번지 10호 외 2필지 ,20
중천농장,한우,충청남도 예산군 신양면 하천리 583번지 2호  ,70
동굴목장,한우,"충청남도 예산군 고덕면 오추리 14번지 7호 외 2필지(1410,1412) ",35
금종농장,한우,충청남도 예산군 신양면 만사리 129번지 1호  ,23
성복농장,한우,충청남도 예산군 오가면 원천리 462번지  ,11
믿음농장,한우,충청남도 예산군 오가면 신장리 435번지 3호  ,35
석환농장,한우,충청남도 예산군 오가면 분천리 산 23번지 6호  ,15
부흥농장,한우,"충청남도 예산군 오가면 분천리 173번지 외 2필지(7441, 7451) ",60
세권농장,한우,충청남도 예산군 삽교읍 목리 21번지 13호  ,24
선택목장,한우,"충청남도 예산군 삽교읍 수촌리 150번지 1호 외2필지(1502, 1503) ",50
금영농장,한우,충청남도 예산군 삽교읍 효림리 89번지 4호 외 1필지(895) ,28
명환농장,한우,충청남도 예산군 삽교읍 이리 492번지 3호  ,9
대양농장,한우,충청남도 예산군 신양면 신양리 48번지 15호 외 1필지(4813) ,100
병직농장,한우,충청남도 예산군 신양면 신양리 130번지  ,22
재상농장,한우,충청남도 예산군 신양면 죽천리 380번지  ,17
모롱골농장,한우,충청남도 예산군 신양면 죽천리 495번지  ,15
천선농장,한우,충청남도 예산군 신양면 죽천리 335번지  ,17
수훈농장,한우,충청남도 예산군 오가면 원천리 729번지 1호  ,43
운호목장,한우,충청남도 예산군 삽교읍 송산리 64번지 1호  ,48
제2클소농장,한우,충청남도 예산군 고덕면 용리 824번지  ,28
화천농장,한우,충청남도 예산군 대술면 화천리 344번지 1호  ,12
희권농장,한우,충청남도 예산군 대술면 시산리 323번지 9호  ,30
방산목장,한우,충청남도 예산군 대술면 방산리 200번지  ,21
영보목장,한우,충청남도 예산군 대술면 상항리 27번지 2호  ,5
꽃바람목장,한우,충청남도 예산군 광시면 하장대리 176번지 외1필지(1754) ,65
밤이농장,한우,충청남도 예산군 대흥면 대률리 649번지  ,84
충의농장,한우,충청남도 예산군 덕산면 사동리 18번지 5호  ,18
대지농장,한우,"충청남도 예산군 봉산면 대지리 394번지 2호 외 7필지(3941, 3943, 3944, 401, 4024, 4541, 86128) ",  
명진농장,한우,충청남도 예산군 봉산면 마교리 146번지 17호 외 1필지(12630) ,13
유일목장,한우,"충청남도 예산군 봉산면 금치리 257번지 외2필지(325,326) ",24
용궁농장,한우,충청남도 예산군 신암면 용궁리 207번지 8호 외 1필지(185) ,19
태양농장,한우,충청남도 예산군 삽교읍 삽교리 16번지 3호  ,29
정웅목장,한우,충청남도 예산군 예산읍 발연리 454번지  ,14
남촌농장,한우,충청남도 예산군 삽교읍 상하리 78번지 6호  ,18
하동목장,한우,충청남도 예산군 고덕면 상궁리 731번지 7호 외 1필지(73120) ,57
태희농장,한우,충청남도 예산군 고덕면 지곡리 산 7번지  ,5
윤종농장,한우,충청남도 예산군 고덕면 상궁리 720번지 1호  ,13
명화축산,한우,충청남도 예산군 덕산면 읍내리 251번지 126호  ,34
건지목장,한우,충청남도 예산군 응봉면 건지화리 344번지 1호  ,30
건지목장,한우,충청남도 예산군 응봉면 건지화리 785번지  ,50
대성축산,한우,"충청남도 예산군 삽교읍 상하리 371번지 2호 외3필지(37120, 37124, 37126) ",27
기태목장,한우,충청남도 예산군 고덕면 몽곡리 250번지 외1필지(2502) ,83
양지목장,한우,충청남도 예산군 광시면 시목리 332번지 2호 외5필지 ,90
신리농장,한우,충청남도 예산군 삽교읍 신리 19번지  ,8
방아농장,한우,충청남도 예산군 삽교읍 방아리 150번지 12호  ,27
은성목장,한우,충청남도 예산군 광시면 장신리 85번지 2호  ,24
해균농장,한우,충청남도 예산군 신양면 죽천리 288번지  ,10
택수목장,한우,"충청남도 예산군 삽교읍 신가리 581번지 142호 외2필지(581143, 581181) ",50
성호농장,한우,충청남도 예산군 삽교읍 수촌리 57번지  ,17
처음농장,한우,충청남도 예산군 신양면 연리 347번지  ,32
윤범축산,한우,"충청남도 예산군 신양면 연리 172번지 1호 외 2필지(1731, 4035) ",70
광암목장,젖소,충청남도 예산군 예산읍 발연리 316번지 3호 외 1필지(산성리 270) ,12
우애농장,한우,충청남도 예산군 예산읍 간양리 174번지 1호  ,32
효목장,한우,"충청남도 예산군 덕산면 읍내리 3번지 8호 외2필지(39, 317) ",22
준탁농장,한우,충청남도 예산군 덕산면 사천리 145번지  ,30
풍경목장,한우,충청남도 예산군 봉산면 효교리 36번지 1호  ,45
원철농장,한우,충청남도 예산군 신양면 대덕리 798번지 1호  ,21
조송농장,한우,충청남도 예산군 신양면 대덕리 149번지  ,11
가전농장,한우,충청남도 예산군 광시면 가덕리 337번지  ,16
진수농장,한우,충청남도 예산군 오가면 내량리 25번지 154호 외 1필지(2586) ,30
신광농장2,한우,충청남도 예산군 오가면 오촌리 475번지 1호  ,43
현선농장,한우,충청남도 예산군 오가면 오촌리 107번지 4호  ,20
용배농장,한우,충청남도 예산군 덕산면 대치리  ,8
경남목장,젖소,"충청남도 예산군 고덕면 상몽리 89번지 5호 외3필지 (1111, 1123, 1132) ",142
부흥농장,한우,"충청남도 예산군 오가면 오촌리 10번지 외5필지(102, 1016, 1074, 103, 81) ",160
종찬목장,한우,충청남도 예산군 오가면 오촌리  ,15
한근농장,한우,충청남도 예산군 오가면 오촌리 335번지 8호 외 1필지(33510) ,14
채경농장,한우,충청남도 예산군 오가면 오촌리 393번지 6호 외 1필지(9) ,  
병호농장,한우,충청남도 예산군 오가면 오촌리 361번지 1호  ,9
일흥농장,한우,충청남도 예산군 대술면 산정리 371번지 외 1필지 (372) ,36
금한농장,한우,충청남도 예산군 신암면 조곡리 1번지 23호  ,70
현대목장,한우,충청남도 예산군 응봉면 입침리 54번지  ,30
동일농장,한우,충청남도 예산군 신양면 연리 125번지 1호  ,31
연호농장,한우,충청남도 예산군 덕산면 복당리 3번지 3호  ,111
용구농장,한우,충청남도 예산군 봉산면 봉림리 산 73번지  ,8
성복농장,한우,충청남도 예산군 봉산면 봉림리 548번지  ,15
진원농장2,한우,충청남도 예산군 삽교읍 이리 183번지 35호 외 1필지(평촌리 10912) ,  
환희농장,한우,충청남도 예산군 대흥면 지곡리 84번지  ,31
인환농장,한우,충청남도 예산군 봉산면 마교리 114번지  ,4
예당농장,한우,충청남도 예산군 대흥면 노동리 457번지 4호  ,10
성부농장,한우,충청남도 예산군 신암면 예림리 420번지 1호  ,8
희배농장,한우,"충청남도 예산군 오가면 양막리 51번지 5호 외3필지(4,521,541) ",75
조광목장,한우,충청남도 예산군 오가면 분천리 144번지 20호 외1필지(33) ,88
고운목장,젖소,충청남도 예산군 대술면 화천리 340번지 2호 외1필지(3401) ,85
성훈농장,한우,충청남도 예산군 고덕면 용리 109번지 3호 외 1필지(752) ,30
태우농장,한우,충청남도 예산군 오가면 원평리 62번지 5호  ,3
봉신농장,한우,충청남도 예산군 오가면 원천리 440번지  ,13
미림농장,한우,충청남도 예산군 삽교읍 용동리 58번지 3호  ,6
경환농장,한우,충청남도 예산군 삽교읍 수촌리 111번지 4호  ,38
교산농장,한우,충청남도 예산군 대술면 화산리 282번지 외 1필지(286) ,40
연화농장,한우,충청남도 예산군 신양면 연리 390번지 2호 외1필지(3907) ,19
세일목장,한우,충청남도 예산군 삽교읍 이리 670번지  ,14
기러기농장,한우,충청남도 예산군 삽교읍 안치리 296번지 21호  ,21
이티농장,한우,충청남도 예산군 대술면 이티리 824번지 9호  ,70
성호농장,한우,"충청남도 예산군 대술면 이티리 763번지 1호 외2필지(7633, 766) ",32
이티농장,한우,충청남도 예산군 대술면 이티리 571번지 외 1필지(5702) ,45
배티농장,한우,충청남도 예산군 대술면 이티리 401번지 2호  ,30
백헌농장,한우,충청남도 예산군 대흥면 갈신리 124번지 3호  ,30
박**,한우,충청남도 예산군 고덕면 상몽리 284번지  ,40
기창농장,한우,충청남도 예산군 삽교읍 상하리 108번지  ,35
가희축사,한우,충청남도 예산군 삽교읍 방아리 85번지  ,28
종영농장,한우,충청남도 예산군 오가면 원천리  ,20
종숙농장,한우,충청남도 예산군 덕산면 사천리 2663 ,14
현설농장,한우,충청남도 예산군 오가면 내량리 26번지 7호  ,30
조원,한우,충청남도 예산군 오가면 분천리 166번지 16호  ,15
경석농장,한우,충청남도 예산군 고덕면 오추리 585번지 1호  ,16
남안농장,한우,충청남도 예산군 고덕면 상몽리 214번지 1호  ,26
한수농장,한우,충청남도 예산군 고덕면 석곡리 475번지  ,20
석곡농장,한우,충청남도 예산군 고덕면 석곡리 178번지  ,30
자원목장,한우,충청남도 예산군 고덕면 대천리 486번지 8호 외1필지(16) ,35
인규농장,한우,충청남도 예산군 고덕면 대천리 404번지 2호  ,24
수억목장,한우,"충청남도 예산군 고덕면 대천리 601번지 3호 외 2필지(6014, 60116) ",24
민이농장,한우,충청남도 예산군 고덕면 호음리 392번지 4호 외5필지 ,110
