사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 이인면 산의리 ,소,3,660,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,53,903,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,15,320,2026-06-08
충청남도 공주시 정안면 정안면 ,소,72,1012,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,21,600,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,30,654,2026-06-08
충청남도 공주시 이인면 이인면 ,소,44,2391,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,45,1637,2026-06-08
충청남도 공주시 우성면 상서리 ,소,9,216,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,0,330,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,120,2210,2026-06-08
충청남도 공주시 신풍면 봉갑리 ,소,10,139.4,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,4,35,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,0,43.5,2026-06-08
충청남도 공주시 우성면 내산리 ,소,79,500,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,15,350,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,123,1325.7,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,67,1400,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,38,1080,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,26,325,2026-06-08
충청남도 공주시 우성면 내산리 ,소,36,300,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,14,426,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,23,115.6,2026-06-08
충청남도 공주시 정안면 북계리 ,소,52,500,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,12,240,2026-06-08
충청남도 공주시 이인면 발양리 ,소,5,910,2026-06-08
충청남도 공주시 우성면 도천리 ,소,6,1032,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,18,672,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,47,939,2026-06-08
충청남도 공주시 사곡면 신영리 ,소,0,200,2026-06-08
충청남도 공주시 사곡면 부곡리 ,소,24,689.1,2026-06-08
