시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,데이터기준일자
여주시,장원농장,한우,15,경기도 여주시 대신면 풍양3길 4,경기도 여주시 대신면 당산리 174번지  ,2026-06-18
여주시,명인축산,한우,70,경기도 여주시 점동면 성주로 721-15,"경기도 여주시 점동면 성신리 269번지 3호 외2필지(269-9,269-10) ",2026-06-18
여주시,오성목장,한우,25,경기도 여주시 흥천면 종다람길 46 (외1필지),경기도 여주시 흥천면 신근리 244번지 23호 외1필지 ,2026-06-18
여주시,장풍농장,한우,9,,경기도 여주시 대신면 장풍리 98번지  ,2026-06-18
여주시,스마트2농장,한우,42,경기도 여주시 흥천면 신율로 143,경기도 여주시 흥천면 신근리 36번지 10호  ,2026-06-18
여주시,박가네오산목장,한우,400,경기도 여주시 가남읍 오산2길 54,"경기도 여주시 가남읍 오산리 160번지 외 10필지(161, 162, 162-1, 164-8, -9, -13, -14, -15, -16, -17) ",2026-06-18
여주시,병수목장,한우,104,경기도 여주시 흥천면 남산로 428-27,"경기도 여주시 흥천면 하다리 299번지 2호 외 2필지(294, 296) ",2026-06-18
여주시,세원농장,한우,3,경기도 여주시 흥천면 동이점길 66,경기도 여주시 흥천면 계신리 357번지 1호  ,2026-06-18
여주시,다흥농축산,한우,15,경기도 여주시 흥천면 효자로 252 (외1필지),경기도 여주시 흥천면 하다리 247번지 1호 외1필지 ,2026-06-18
여주시,동양목장,한우,168,경기도 여주시 흥천면 신율로 210-62,경기도 여주시 흥천면 율극리 72번지 외2필지 ,2026-06-18
여주시,태성농장,한우,36,경기도 여주시 대신면 여양1로 177-32,경기도 여주시 대신면 송촌리 50번지  ,2026-06-18
여주시,자영농장,한우,90,경기도 여주시 흥천면 신율로 283,"경기도 여주시 흥천면 율극리 157번지 16호 외 2필지(157-18,157-19) ",2026-06-18
여주시,이레농장,한우,85,경기도 여주시 흥천면 신율로 210-60,"경기도 여주시 흥천면 율극리 72번지 1호 외 4필지(-10, -15, 16, -18) ",2026-06-18
여주시,성원농장,한우,30,경기도 여주시 세종대왕면 중부대로 2266,경기도 여주시 세종대왕면 용은리 11번지 외 2필지 ,2026-06-18
여주시,왕대목장,한우,20,경기도 여주시 세종대왕면 왕터1길 91-48,경기도 여주시 세종대왕면 왕대리 560번지 4호  ,2026-06-18
여주시,보람축산,한우,21,"경기도 여주시 대신면 대신2로 214-26 (외2필지(78-1,79))","경기도 여주시 대신면 도롱리 78번지 외2필지(78-1,79) ",2026-06-18
여주시,우만리농장,한우,6,,경기도 여주시 우만동 56번지 1호  ,2026-06-18
여주시,상신목장,한우,50,경기도 여주시 가남읍 가남로 700-120,경기도 여주시 가남읍 연대리 41번지  ,2026-06-18
여주시,장선목장,한우,32,경기도 여주시 금사면 소유실길 206 (외2필지),경기도 여주시 금사면 소유리 265번지 외2필지 ,2026-06-18
여주시,대경농장,한우,50,경기도 여주시 가남읍 정단길 102-33,경기도 여주시 가남읍 정단리 90번지 1호  ,2026-06-18
여주시,은혜농장,한우,20,,경기도 여주시 단현동 261번지 24호  ,2026-06-18
여주시,장풍농장,한우,12,경기도 여주시 대신면 장봉길 11,경기도 여주시 대신면 장풍리 146번지 외 1필지 ,2026-06-18
여주시,부평농장,한우,40,경기도 여주시 강천면 부평로 478,경기도 여주시 강천면 부평리 84번지 4호  ,2026-06-18
여주시,은지농장,한우,59,경기도 여주시 가남읍 송삼로 416,경기도 여주시 가남읍 금곡리 293번지 15호  ,2026-06-18
여주시,민주농장,한우,114,"경기도 여주시 흥천면 대왕이길 124-65 (외2필지(671-14,671-39))","경기도 여주시 흥천면 신근리 671번지 34호 외2필지(671-14,671-39) ",2026-06-18
여주시,태산농장,한우,21,경기도 여주시 금사면 소유실길 194-9,경기도 여주시 금사면 소유리 154번지 3호  ,2026-06-18
여주시,강부농장,한우,52,경기도 여주시 북내면 여강로 561,경기도 여주시 북내면 장암리 316번지 외1필지(316-3) ,2026-06-18
여주시,신남목장,한우,0,"경기도 여주시 북내면 도예로 361-13, 외 1필지(169-25)",경기도 여주시 북내면 신남리 169번지 2호 외 1필지(169-25) ,2026-06-18
여주시,하늘농장,한우,34,경기도 여주시 점동면 도리길 37-57,경기도 여주시 점동면 도리 264번지 18호  ,2026-06-18
여주시,수호농장,한우,25,경기도 여주시 북내면 상교2길 94,경기도 여주시 북내면 상교리 297번지 4호  ,2026-06-18
여주시,하영농장,한우,37,,경기도 여주시 가업동 213번지 9호  ,2026-06-18
여주시,동호목장,한우,16,경기도 여주시 명성로 114-30 (능현동),경기도 여주시 능현동 159번지 2호  ,2026-06-18
여주시,우신목장,한우,239,경기도 여주시 세종대왕면 중부대로 2259-43,"경기도 여주시 세종대왕면 용은리 35번지 7호 외 3필지(-8, -9, -22) ",2026-06-18
여주시,송촌농장,한우,8,,경기도 여주시 대신면 송촌리 341번지 1호  ,2026-06-18
여주시,주영농장,한우,4,경기도 여주시 대신면 옥촌3길 76-24,경기도 여주시 대신면 옥촌리 303번지 10호  ,2026-06-18
여주시,이레농장2,한우,30,경기도 여주시 상거동 북벌로 174-38,경기도 여주시 상거동 96번지  ,2026-06-18
여주시,일욱농장,한우,99,,경기도 여주시 가남읍 금곡리 265번지 1호  ,2026-06-18
여주시,대성농장,한우,66,경기도 여주시 점동면 가남로 988-23,경기도 여주시 점동면 청안리 542번지 7호  ,2026-06-18
여주시,우리농장,한우,44,경기도 여주시 세종대왕면 중부대로 2268,경기도 여주시 세종대왕면 용은리 34번지 5호  ,2026-06-18
여주시,강화농장,한우,34,경기도 여주시 금사면 윗가마실길 10,"경기도 여주시 금사면 도곡리 195번지 4호 외 2필지(-5, -7) ",2026-06-18
여주시,진백목장,한우,22,경기도 여주시 가남읍 금곡길 71-37,경기도 여주시 가남읍 금곡리 137번지  ,2026-06-18
여주시,용두농장,한우,11,경기도 여주시 북내면 외룡길 72-71,경기도 여주시 북내면 외룡리 46번지 1호  ,2026-06-18
여주시,형은농장,한우,9,,경기도 여주시 단현동 263번지  ,2026-06-18
여주시,수현농장,한우,8,경기도 여주시 상거길 34-24 (상거동),경기도 여주시 상거동 141번지  ,2026-06-18
여주시,수현농장,한우,70,경기도 여주시 흥천면 부흥로 557-11,경기도 여주시 흥천면 효지리 281번지 6호  ,2026-06-18
여주시,승진목장,한우,50,경기도 여주시 흥천면 부흥로 514-24,경기도 여주시 흥천면 효지리 247번지 외 1필지 ,2026-06-18
여주시,찬희농장,한우,19,경기도 여주시 흥천면 부흥로 552,경기도 여주시 흥천면 효지리 4번지 1호  ,2026-06-18
여주시,관우농장,한우,11,경기도 여주시 세종대왕면 중부대로 2545-49,경기도 여주시 세종대왕면 번도리 469번지  ,2026-06-18
여주시,승덕농장,한우,19,경기도 여주시 흥천면 은골길 24-15,경기도 여주시 흥천면 율극리 369번지 30호  ,2026-06-18
여주시,대만농장,한우,9,경기도 여주시 점동면 가남로 988-30,경기도 여주시 점동면 청안리 578번지  ,2026-06-18
여주시,백군농장,한우,12,경기도 여주시 북내면 선돌로 12,경기도 여주시 북내면 장암리 526번지 1호 외 3필지(518-1. 521-1. 521-3) ,2026-06-18
