사업장명칭,주사육업종,사업장소재지(지번),면적
정규농장,한우,전라남도 장성군 삼서면 소룡리 309번지 외1 ,240 
만호농장,한우,전라남도 장성군 삼서면 소룡리 630번지 외1 ,156 
정무농장,한우,전라남도 장성군 장성읍 유탕리 930번지  ,97 
매산농장,한우,전라남도 장성군 황룡면 관동리 66번지 7호  ,252 
범중농장,한우,전라남도 장성군 삼서면 대도리 360번지  ,168 
매실농장,한우,전라남도 장성군 황룡면 맥호리 333번지 6호  ,510 
초록농장,한우,전라남도 장성군 서삼면 금계리 140번지 14호  ,1153 
아계축산,한우,전라남도 장성군 삼계면 내계리 779번지 1호  ,50 
강복농장,한우,전라남도 장성군 장성읍 수산리 366번지 1호 외1 ,350 
옥동농장,한우,전라남도 장성군 진원면 학림리 690번지 외3 ,399 
국원농장,한우,전라남도 장성군 북일면 월계리 595번지 외1 ,56 
재섭농장,한우,전라남도 장성군 북이면 신평리 193번지 1호  ,100 
행복농장,한우,전라남도 장성군 장성읍 유탕리 784번지 외 2필지 ,753 
삼도농장,한우,전라남도 장성군 서삼면 대덕리 230번지  ,146 
응현농장,한우,전라남도 장성군 북이면 백암리 12번지 외1 ,123 
산소한우,한우,전라남도 장성군 장성읍 상오리 427번지 6호 외 2필지 ,1091 
병수농장,한우,전라남도 장성군 황룡면 장산리 559번지 2호  ,32 
성연농장,한우,전라남도 장성군 황룡면 장산리 547번지  ,66 
여울농장,한우,전라남도 장성군 북이면 모현리 181번지 2호  ,430 
태선농장,한우,전라남도 장성군 북일면 월계리 586번지  ,41 
득춘농장,한우,전라남도 장성군 장성읍 유탕리 706번지 20호  ,160 
학임농장,한우,전라남도 장성군 장성읍 유탕리 1480번지 8호  ,396 
윤기농장,한우,전라남도 장성군 장성읍 성산리 64번지 3호  ,192 
명승농장,한우,전라남도 장성군 장성읍 상오리 399-4 ,644 
상수농장,한우,전라남도 장성군 삼계면 내계리 737번지 6호  ,75 
대성농장,한우,전라남도 장성군 서삼면 장산리 599번지 외 1필지 ,625 
원준농장,한우,전라남도 장성군 서삼면 금계리 506번지 외 1필지 ,155 
성룡농장,한우,전라남도 장성군 장성읍 유탕리 1008번지 5호 외 1필지 ,241 
순홍농장,한우,전라남도 장성군 북하면 덕재리 9번지  ,98 
행준농장,한우,전라남도 장성군 북하면 덕재리 8번지 2호  ,300 
래수농장,한우,전라남도 장성군 삼계면 덕산리 483번지  ,220 
수도 한우목장,한우,전라남도 장성군 남면 행정리 196번지 57호  ,1000 
든해솔한우농장,한우,전라남도 장성군 삼서면 금산리 641번지 32호  ,2200 
신씨네마을,한우,전라남도 장성군 북일면 월계리 521번지  ,365 
성산종돈장,돼지,전라남도 장성군 북일면 성산리 261번지 1호  ,3386 
부영농장,한우,전라남도 장성군 서삼면 송현리 71번지 외 1필지 ,532 
달래농장,한우,전라남도 장성군 북하면 성암리 586번지 4호  ,128 
해촌농장,한우,전라남도 장성군 북하면 중평리 297번지  ,92 
동산농장,한우,전라남도 장성군 장성읍 수산리 8번지 2호  ,32 
경암농장,한우,전라남도 장성군 장성읍 장안리 149번지 1호  ,0 
학진농장,한우,전라남도 장성군 황룡면 맥호리 371번지 9호  ,200 
초지농장,한우,전라남도 장성군 황룡면 금호리 151번지 5호  ,202 
점수농장,한우,전라남도 장성군 서삼면 금계리 414번지  ,16 
화 농장,한우,전라남도 장성군 서삼면 모암리 99번지  ,320 
봉연농장,한우,전라남도 장성군 서삼면 금계리 587번지 1호  ,902 
홍길동축산,한우,전라남도 장성군 장성읍 장안리 245번지 11호  ,592 
산정축산,한우,전라남도 장성군 진원면 산정리 31번지  ,165 
우리농장,육계,전라남도 장성군 진원면 학림리 840번지 5호  ,1200 
대덕농장,한우,전라남도 장성군 서삼면 대덕리 521번지  ,154 
용두농장,한우,전라남도 장성군 북하면 용두리 259번지  ,49 
백양축산,한우,전라남도 장성군 북하면 성암리 727번지 5호 외 1필지 ,875 
정수축산,한우,전라남도 장성군 북하면 단전리 403번지  ,100 
형제축산,한우,전라남도 장성군 장성읍 유탕리 333번지 1호  ,396 
영숙축산,한우,전라남도 장성군 북하면 중평리 647번지 13호  ,40 
수산축산,한우,전라남도 장성군 장성읍 수산리 277번지  ,99 
제일축산,한우,전라남도 장성군 장성읍 안평리 675번지  ,135 
임해농장,한우,전라남도 장성군 삼서면 수해리 139번지 1호  ,324 
동성농장,한우,전라남도 장성군 서삼면 송현리 80번지 4호  ,1686 
브니엘농장,돼지,"전라남도 장성군 황룡면 아곡리 252번지 2호 외 7필지(252-11, 252-12, 252-3, 252-6, 252-7, 252-8, 252-13) ",2217 
정신농장,한우,전라남도 장성군 진원면 선적리 439번지 1호  ,128 
현대축산,한우,전라남도 장성군 서삼면 추암리 1080번지 5호  ,1380 
