사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
김강동 농장,한우,"경상북도 안동시 북후면 장기리 334번지 , 장기리 54번지 ",,2025-11-25
갈라산 사슴농장,사슴,경상북도 안동시 남선면 도로리 31번지 3호  ,경상북도 안동시 남선면 갈라산길 157-26,2025-11-25
넘버원농장,돼지,경상북도 안동시 와룡면 서현리 250번지외 1필지(248) ,,2025-11-25
종수농장,한우,경상북도 안동시 풍천면 하회리 213번지  ,,2025-11-25
하회리 농장,한우,경상북도 안동시 풍천면 하회리 941번지  ,경상북도 안동시 풍천면 밀골길 112,2025-11-25
해성농장,한우,경상북도 안동시 풍천면 하회리 1053번지 42호  ,,2025-11-25
왕성농장,한우,"경상북도 안동시 와룡면 이하리 688번지 , 이하리 687-4 ",경상북도 안동시 와룡면 금통골길 49-1,2025-11-25
원일농장,육계,경상북도 안동시 북후면 연곡리 546번지  ,경상북도 안동시 북후면 산약길 603,2025-11-25
창운농장,한우,경상북도 안동시 녹전면 원천리 692번지 1호  ,"경상북도 안동시 녹전면 예봉로 846-36, (예봉로 846-38)",2025-11-25
송어농장,한우,경상북도 안동시 도산면 가송리 463번지 1호  ,경상북도 안동시 도산면 가송길 93,2025-11-25
오택민농장,한우,경상북도 안동시 남후면 단호리 726번지 1호  ,경상북도 안동시 남후면 대곡길 25,2025-11-25
양지농장,한우,경상북도 안동시 풍천면 구호리 461-1번지외1필지(461-3) ,,2025-11-25
수박골농장,한우,경상북도 안동시 풍산읍 괴정리 676번지  ,,2025-11-25
손일농장,한우,경상북도 안동시 서후면 대두서리 793번지 3호  ,경상북도 안동시 서후면 대두서3길 8,2025-11-25
두배로농장,한우,경상북도 안동시 서후면 재품리 652번지 1호  ,"경상북도 안동시 서후면 광흥사길 25, (재품리 652-8)",2025-11-25
새골농장,한우,경상북도 안동시 서후면 광평리 833번지  ,경상북도 안동시 서후면 개목사길 97,2025-11-25
설매농장,한우,    ,경상북도 안동시 일직면 조탑본길 18-69,2025-11-25
도화농장,한우,경상북도 안동시 일직면 국곡리 945번지  ,경상북도 안동시 일직면 간평길 139,2025-11-25
오경농장,한우,    ,경상북도 안동시 풍천면 풍일로 1121,2025-11-25
오천농장,한우,경상북도 안동시 와룡면 오천리 582번지외 1필지(583) ,경상북도 안동시 와룡면 퇴계로 1563-15,2025-11-25
광신농장,한우,경상북도 안동시 서후면 저전리 119번지 3호  ,경상북도 안동시 서후면 저전오산길 63-22,2025-11-25
현애농장,한우,경상북도 안동시 풍산읍 현애리 336번지  ,경상북도 안동시 풍산읍 감애길 48-1,2025-11-25
송가농장,한우,경상북도 안동시 풍산읍 상리리 143번지 1호  ,경상북도 안동시 풍산읍 권산정길 30-8,2025-11-25
이웅농장,한우,경상북도 안동시 풍산읍 상리리 500번지 54호  ,경상북도 안동시 풍산읍 상리중앙길 12-3,2025-11-25
지현농장,한우,경상북도 안동시 일직면 용각리 801번지  ,경상북도 안동시 일직면 상용각길 10-6,2025-11-25
의성축산농협(권기호농장),한우,경상북도 안동시 와룡면 태리 706번지  ,,2025-11-25
송사농장,한우,경상북도 안동시 길안면 송사리 578번지 2호  ,,2025-11-25
영숙농장,한우,경상북도 안동시 남선면 원림리 74번지  ,경상북도 안동시 남선면 토갓길 457-1,2025-11-25
석호농장,한우,경상북도 안동시 와룡면 서지리 315번지 7호  ,경상북도 안동시 와룡면 가수내길 32-4,2025-11-25
옥이농장,한우,경상북도 안동시 와룡면 이하리 792번지  ,경상북도 안동시 와룡면 왕상골길 10-9,2025-11-25
덕산농장,한우,"경상북도 안동시 와룡면 감애리 669번지 1호 ,665-1 ",경상북도 안동시 와룡면 통골길 48,2025-11-25
규학농장,한우,경상북도 안동시 와룡면 오천리 597번지 1호  ,경상북도 안동시 와룡면 퇴계로 1563-42,2025-11-25
도리농장,한우,경상북도 안동시 와룡면 가야리 200번지 1호  ,경상북도 안동시 와룡면 가야길 342-18,2025-11-25
순덕농장,한우,경상북도 안동시 와룡면 가야리 841번지  ,경상북도 안동시 와룡면 퇴계로 1434-38,2025-11-25
용두농장,한우,경상북도 안동시 와룡면 주계리 456번지  ,경상북도 안동시 와룡면 용두길 60-31,2025-11-25
절골농장,한우,경상북도 안동시 와룡면 이하리 709번지  ,경상북도 안동시 와룡면 이하오산로 128-64,2025-11-25
준호농장,한우,경상북도 안동시 서후면 이개리 803번지 2호  ,경상북도 안동시 서후면 백현길 23-50,2025-11-25
오치농장,한우,경상북도 안동시 북후면 오산리 325번지  ,경상북도 안동시 북후면 산약길 64-12,2025-11-25
월성농원,한우,경상북도 안동시 와룡면 가구리 187번지  ,"경상북도 안동시 와룡면 미두골길 61, (가구리 187, 187-2)",2025-11-25
영달농장,한우,경상북도 안동시 북후면 오산리 590번지  ,경상북도 안동시 북후면 잣밭길 30,2025-11-25
이성희 농장 2,한우,경상북도 안동시 풍산읍 신양리 401번지  ,경상북도 안동시 풍산읍 신양로 502,2025-11-25
상걸농장,한우,경상북도 안동시 풍천면 광덕리 937번지 1호  ,경상북도 안동시 풍천면 광디길 107-6,2025-11-25
천등산사슴농장,사슴,경상북도 안동시 북후면 오산리 395번지  ,경상북도 안동시 북후면 새나길 27,2025-11-25
마애농장,한우,경상북도 안동시 풍산읍 마애리 685번지 4호  ,경상북도 안동시 풍산읍 마애길 65-17,2025-11-25
고향염소농장,산양,경상북도 안동시 와룡면 라소리 347번지 1호  ,경상북도 안동시 와룡면 미남길 52,2025-11-25
양반농장,한우,경상북도 안동시 풍천면 광덕리 780번지  ,경상북도 안동시 풍천면 건지길 27,2025-11-25
작산농장,한우,"경상북도 안동시 북후면 물한리 161번지 , 161-1 ","경상북도 안동시 북후면 저전물한길 134-11, 134-9",2025-11-25
상원농장,한우,경상북도 안동시 풍산읍 소산리 786번지  ,,2025-11-25
진수농장,한우,경상북도 안동시 풍산읍 오미리 980번지 2호  ,경상북도 안동시 풍산읍 새랄1길 7-5,2025-11-25
복성농장,한우,경상북도 안동시 서후면 성곡리 845번지  ,경상북도 안동시 서후면 봉림사지길 45,2025-11-25
오복농장,한우,경상북도 안동시 북후면 연곡리 576번지  ,,2025-11-25
죽전농장,한우,경상북도 안동시 풍산읍 죽전리  ,경상북도 안동시 풍산읍 죽전길 246,2025-11-25
도정농장,한우,경상북도 안동시 서후면 저전리 17번지 3호  ,경상북도 안동시 서후면 저전물한길 46,2025-11-25
영선농장,한우,경상북도 안동시 남후면 광음리 402번지 1호 외 1필(402-2) ,경상북도 안동시 남후면 감재길 47-7,2025-11-25
김종박농장,한우,경상북도 안동시 일직면 귀미리 543번지 3호  ,경상북도 안동시 일직면 구천길 352-12,2025-11-25
수진농장,한우,경상북도 안동시 와룡면 가구리 52번지 외1필지(53-1) ,경상북도 안동시 와룡면 농암로 237-10 (외1필지(53-1)),2025-11-25
명성농장,한우,경상북도 안동시 북후면 물한리 182번지  ,경상북도 안동시 북후면 저전물한길 92,2025-11-25
기흥농장,한우,경상북도 안동시 일직면 운산리 357번지  ,경상북도 안동시 일직면 관사길 77-12,2025-11-25
행복농장,젖소,경상북도 안동시 남선면 구미리 4번지  ,경상북도 안동시 남선면 충효로 3809-61,2025-11-25
고센염소농장,산양,"경상북도 안동시 일직면 국곡리 957번지 1호 ,3 ",경상북도 안동시 일직면 간평길 152,2025-11-25
안동민속한우 영농조합법인(권순우1농장위탁),한우,경상북도 안동시 서후면 이개리 797번지 4호  ,경상북도 안동시 서후면 백현길 23-42,2025-11-25
하회마을농장,한우,"경상북도 안동시 녹전면 서삼리 726번지 외2필지(727, 727-1) ","경상북도 안동시 녹전면 녹지로 291-14 (외2필지(727, 727-1))",2025-11-25
금우농장,한우,경상북도 안동시 임하면 금소리 685번지 외1필지(686) ,경상북도 안동시 임하면 금소길 427-50 (외1필지(686)),2025-11-25
가마솥농장,육계,경상북도 안동시 와룡면 태리 520번지 1호  ,경상북도 안동시 와룡면 매구네길 520-1,2025-11-25
재익농장,한우,경상북도 안동시 정하동 112번지  ,경상북도 안동시 아늑길 342-39 (정하동),2025-11-25
투갑스농장,한우,경상북도 안동시 길안면 현하리 327번지 1호  ,경상북도 안동시 길안면 골삽실길 203,2025-11-25
이개농장,한우,경상북도 안동시 서후면 이개리 362번지  ,경상북도 안동시 서후면 귀여리길 350-10,2025-11-25
푸레실농장,한우,경상북도 안동시 임하면 임하리 229번지  ,경상북도 안동시 임하면 푸레실길 62-27,2025-11-25
순옥농장,한우,경상북도 안동시 이천동 194번지 1호  ,경상북도 안동시 덕고개길 194 (이천동),2025-11-25
해성농장,한우,경상북도 안동시 풍천면 도양리 1117번지  ,경상북도 안동시 풍천면 운골길 112-28,2025-11-25
조산농장,한우,"경상북도 안동시 일직면 조탑리 367번지 ,367-2 ","경상북도 안동시 일직면 긴대골길 33, 조탑본길 17-10",2025-11-25
한우리농장,한우,경상북도 안동시 와룡면 오천리 458번지  ,경상북도 안동시 와룡면 배실길 12-20,2025-11-25
가야농장,한우,경상북도 안동시 북후면 대현리 740번지  ,경상북도 안동시 북후면 현삼길 238-1,2025-11-25
두금농장,육계,경상북도 안동시 북후면 옹천리 322번지 1호 322-2 ,,2025-11-25
오미농장,산양,경상북도 안동시 풍산읍 오미리 947번지  ,경상북도 안동시 풍산읍 풍산태사로 273-45,2025-11-25
연곡농장,한우,경상북도 안동시 북후면 연곡리 591번지 3호  ,,2025-11-25
흠실농장,한우,경상북도 안동시 일직면 조탑리 585번지 외 1필지(산72-7) ,경상북도 안동시 일직면 풍일로 2092-140 (외 1필지(산72-7)),2025-11-25
회곡농장,한우,경상북도 안동시 풍산읍 회곡리 106번지 7호  ,경상북도 안동시 풍산읍 딱지골길 5-6,2025-11-25
기학농장,산양,경상북도 안동시 성곡동 924번지 10호  ,경상북도 안동시 성곡3길 93 (성곡동),2025-11-25
우리농장,한우,경상북도 안동시 예안면 기사리 503번지  ,경상북도 안동시 예안면 기사정산길 132-92,2025-11-25
장기인 농장,한우,경상북도 안동시 서후면 성곡리 473번지 3호  ,경상북도 안동시 서후면 성곡제일길 217,2025-11-25
흑염소 농장,염소,경상북도 안동시 임동면 대곡리 1157번지  ,경상북도 안동시 임동면 대곡큰길 268,2025-11-25
권영순 농장,한우,경상북도 안동시 임동면 고천리 84번지  ,경상북도 안동시 임동면 모시길 28-27,2025-11-25
김광한농장,한우,경상북도 안동시 임동면 박곡리 223번지  ,경상북도 안동시 임동면 수곡용계로 1258-30,2025-11-25
두마농원,한우,경상북도 안동시 북후면 두산리 59번지 2호  ,,2025-11-25
이종기 농장,한우,경상북도 안동시 이천동 242번지 1호  ,경상북도 안동시 연미원길 261-8 (이천동),2025-11-25
미녀농장,한우,경상북도 안동시 와룡면 가구리 10번지  ,경상북도 안동시 와룡면 산야길 77-27,2025-11-25
조영식 농장,한우,경상북도 안동시 북후면 석탑리 711번지 3호  ,,2025-11-25
오백 2 농장,한우,경상북도 안동시 북후면 연곡리 244번지  ,"경상북도 안동시 북후면 용수골길 50-66, (연곡리 244, 246)",2025-11-25
유영농장,한우,"경상북도 안동시 서후면 저전리 335번지 , 335-1 ",경상북도 안동시 서후면 북평로 396-27,2025-11-25
직모농장,한우,경상북도 안동시 와룡면 주계리 773번지  ,경상북도 안동시 와룡면 장수골길 217-42,2025-11-25
신완철 농장,한우,경상북도 안동시 녹전면 매정리 846번지 1호  ,,2025-11-25
영풍농장,돼지,경상북도 안동시 풍산읍 막곡리 640번지  ,경상북도 안동시 풍산읍 청회길 302-18,2025-11-25
사신농장,한우,경상북도 안동시 녹전면 사신리 816번지  ,경상북도 안동시 녹전면 사신길 69-11,2025-11-25
오부자농장,염소,경상북도 안동시 임동면 고천리 707번지  ,경상북도 안동시 임동면 경동로 3073-26,2025-11-25
최형림 농장,육계,경상북도 안동시 녹전면 갈현리 154번지 6호  ,,2025-11-25
호크밸리1,한우,경상북도 안동시 녹전면 원천리 149번지 1호  ,경상북도 안동시 녹전면 고정길 6-11,2025-11-25
팽동성 농장,한우,경상북도 안동시 길안면 배방리 286번지 1호  ,,2025-11-25
진석농장,한우,"경상북도 안동시 서후면 광평리 1067번지 2호 , 1067-3 ",경상북도 안동시 서후면 개목사길 45-86,2025-11-25
박종현 농장,한우,경상북도 안동시 일직면 원호리 903번지  ,경상북도 안동시 일직면 경북대로 7591,2025-11-25
시화농장,육계,경상북도 안동시 와룡면 태리 830번지  ,경상북도 안동시 와룡면 태리금산로 135-33,2025-11-25
계림농장,육계,경상북도 안동시 와룡면 가구리 546번지 4호  ,경상북도 안동시 와룡면 선돌길 90-7,2025-11-25
계명산 염소,염소,경상북도 안동시 길안면 고란리 86번지  ,경상북도 안동시 길안면 고란길 311-12,2025-11-25
백두농장(북후),육계,경상북도 안동시 북후면 장기리 403번지  ,경상북도 안동시 북후면 토골길 119-13,2025-11-25
서미육계농장,육계,경상북도 안동시 풍산읍 서미리 415번지  ,경상북도 안동시 풍산읍 조파길 255,2025-11-25
위탁이동환1농장,한우,"경상북도 안동시 녹전면 원천리 290번지 1호 , 226, 290-4, 224-1, 225-5, 225-7, 226-1 ","경상북도 안동시 녹전면 등지길 46, 50, 64",2025-11-25
안동민속한우영농조합법인(권기수위탁),한우,"경상북도 안동시 북후면 장기리 51번지 3호 외 3필지(51-7,52-1,53) ","경상북도 안동시 북후면 와북로 130, ,140-20",2025-11-25
묵사발농장,한우,경상북도 안동시 북후면 오산리 279번지 1호  ,경상북도 안동시 북후면 이하오산로 63,2025-11-25
신평농장,한우,경상북도 안동시 녹전면 신평리 773번지 1호  ,경상북도 안동시 녹전면 온천로 19-48,2025-11-25
운골농장,한우,경상북도 안동시 풍천면 광덕리 1096번지 3호  ,,2025-11-25
점마을농장,한우,경상북도 안동시 서후면 광평리 1057번지  ,,2025-11-25
종덕농장,한우,경상북도 안동시 북후면 월전리 424번지 7호  ,,2025-11-25
마승락 농장,한우,경상북도 안동시 일직면 평팔리 329번지 1호  ,경상북도 안동시 일직면 평팔명진길 24,2025-11-25
김하규 농장,한우,경상북도 안동시 서후면 이개리 178번지 5호  ,,2025-11-25
지도식 농장,한우,경상북도 안동시 와룡면 가구리 320번지 1호  ,경상북도 안동시 와룡면 가메기길 100-60,2025-11-25
금당농장,돼지,경상북도 안동시 풍산읍 수곡리 66번지 1호  ,경상북도 안동시 풍산읍 금당길 152-24,2025-11-25
영걸농장,한우,경상북도 안동시 서후면 금계리 647번지  ,경상북도 안동시 서후면 금계1길 213,2025-11-25
성호농장,한우,경상북도 안동시 풍산읍 계평리 61번지  ,경상북도 안동시 풍산읍 풍산태사로 2127-6,2025-11-25
황병선 농장,한우,경상북도 안동시 풍천면 어담리 837번지 3호  ,경상북도 안동시 풍천면 풍일로 1362-2,2025-11-25
박주삼농장,한우,경상북도 안동시 남선면 현내리 985번지  ,경상북도 안동시 남선면 현내중앙길 5,2025-11-25
영도농장,한우,경상북도 안동시 길안면 현하리 600번지  ,경상북도 안동시 길안면 의성길안로 2183,2025-11-25
임부규 농장,한우,경상북도 안동시 북후면 두산리 575번지  ,경상북도 안동시 북후면 산북로 1257-52,2025-11-25
중락 농장,한우,경상북도 안동시 북후면 월전리 417번지 2호  ,경상북도 안동시 북후면 월전큰마길 152-17,2025-11-25
김기일 농장,한우,경상북도 안동시 북후면 물한리 254번지 1호  ,경상북도 안동시 북후면 저전물한길 221,2025-11-25
김금련 농장,한우,경상북도 안동시 서후면 광평리 728번지 2호  ,경상북도 안동시 서후면 광평2길 171,2025-11-25
황종인 농장,한우,경상북도 안동시 서후면 교리 423번지 1호  ,경상북도 안동시 서후면 교리평촌길 75,2025-11-25
대규농장,염소,경상북도 안동시 남선면 이천리 584번지  ,경상북도 안동시 남선면 샘들길 31-5,2025-11-25
광평농장,한우,경상북도 안동시 서후면 광평리 240번지  ,"경상북도 안동시 서후면 광평2길 3-32, (광평리240,240-3)",2025-11-25
이정애 농장,한우,경상북도 안동시 예안면 계곡리 424번지 2호  ,,2025-11-25
제2덕부한우 농장,한우,경상북도 안동시 서후면 성곡리 807번지  ,경상북도 안동시 서후면 봉림사지길 111-17,2025-11-25
참길팜,돼지,"경상북도 안동시 북후면 도진리 97번지 이외(96-3,97-1,96-3,97,96,98) ",경상북도 안동시 북후면 태리금산로 395 (외(385호)),2025-11-25
선우농장,한우,경상북도 안동시 서후면 대두서리 104번지 1호  ,경상북도 안동시 서후면 백현길 177,2025-11-25
예인농장,육계,경상북도 안동시 와룡면 라소리 842번지  ,경상북도 안동시 와룡면 토치골길 155-26,2025-11-25
대덕농장,오리,경상북도 안동시 녹전면 서삼리 301번지  ,경상북도 안동시 녹전면 서삼길 320-42 (외 2필지),2025-11-25
와룡염소농장,한우,경상북도 안동시 와룡면 이하리 681번지 1호  ,경상북도 안동시 와룡면 금통골길 58,2025-11-25
참길팜 비육농장,돼지,경상북도 안동시 남후면 고하리 225번지 1호  ,경상북도 안동시 남후면 남일로 805-16,2025-11-25
이송우 농장,한우,경상북도 안동시 와룡면 태리 651번지  ,경상북도 안동시 와룡면 금학길 71,2025-11-25
김건현 농장,한우,경상북도 안동시 이천동 611번지 1호  ,경상북도 안동시 두우티길 149 (이천동),2025-11-25
권종훈 2농장,한우,경상북도 안동시 일직면 망호리 190번지  ,경상북도 안동시 일직면 지실들길 26-27,2025-11-25
한우리 농장,한우,경상북도 안동시 북후면 물한리 169번지  ,경상북도 안동시 북후면 저전물한길 96-36,2025-11-25
박현식 농장,한우,경상북도 안동시 서후면 금계리 470번지 1호  ,경상북도 안동시 서후면 부루골길 34,2025-11-25
이익복 농장,한우,경상북도 안동시 일직면 망호리 694번지 외 1필지(695번지) ,경상북도 안동시 일직면 소호헌길 32-6,2025-11-25
영은농장,한우,"경상북도 안동시 와룡면 가야리 975번지 ,974 ","경상북도 안동시 와룡면 가야길 150-130, 150-132",2025-11-25
김삼기 농장,한우,경상북도 안동시 북후면 물한리 143번지 5호  ,경상북도 안동시 북후면 저전물한길 154,2025-11-25
와룡농산,한우,경상북도 안동시 북후면 연곡리 298번지 3호  ,경상북도 안동시 북후면 종실길 80-114,2025-11-25
김성재 농장,한우,경상북도 안동시 녹전면 원천리 317번지  ,,2025-11-25
유동대농장,한우,경상북도 안동시 서후면 광평리 1213번지 2호  ,경상북도 안동시 서후면 광평2길 176-7,2025-11-25
권혁상 농장,한우,경상북도 안동시 녹전면 신평리 232번지  ,경상북도 안동시 녹전면 신매로 28-2,2025-11-25
수미농장,한우,경상북도 안동시 풍산읍 매곡리 252번지 5호  ,경상북도 안동시 풍산읍 신양로 167,2025-11-25
안동민속한우영농조합법인(권순우2농장),한우,경상북도 안동시 서후면 이개리 818번지  ,경상북도 안동시 서후면 백현길 23-64,2025-11-25
배영한 농장,염소,경상북도 안동시 서후면 대두서리 203번지  ,경상북도 안동시 서후면 생명의콩길 156-120,2025-11-25
사남매농장,한우,경상북도 안동시 일직면 원호리 898번지  ,경상북도 안동시 일직면 경북대로 7601,2025-11-25
고하농장,한우,경상북도 안동시 남후면 고하리 286번지  ,경상북도 안동시 남후면 남일로 728-46,2025-11-25
덕인농장,한우,경상북도 안동시 와룡면 가야리 744번지 1호  ,경상북도 안동시 와룡면 가야길 150-48,2025-11-25
최춘석 농장,한우,    ,경상북도 안동시 풍산읍 현애길 122-51,2025-11-25
김성동 농장,한우,경상북도 안동시 북후면 물한리 121번지  ,경상북도 안동시 북후면 저전물한길 189-31,2025-11-25
김기련 농장,한우,경상북도 안동시 예안면 정산리 748번지  ,경상북도 안동시 예안면 농암로 1429-32,2025-11-25
이상호 농장,한우,경상북도 안동시 이천동 308번지  ,경상북도 안동시 연미원길 261-51 (이천동),2025-11-25
엔터프라이즈팜 제2농장,한우,경상북도 안동시 북후면 연곡리 95번지  ,경상북도 안동시 북후면 웃마사길 71-28,2025-11-25
한마음 농장,한우,경상북도 안동시 녹전면 원천리 703번지 6호  ,,2025-11-25
남우 농장,한우,경상북도 안동시 풍산읍 매곡리  ,경상북도 안동시 풍산읍 풍산태사로 829-29 (외1필지(829-26)),2025-11-25
영극 농장,한우,경상북도 안동시 녹전면 신평리 432번지  ,,2025-11-25
영달농장,염소,경상북도 안동시 북후면 오산리 590번지  ,경상북도 안동시 북후면 잣밭길 30,2025-11-25
영성축산 안동농장,돼지,경상북도 안동시 풍산읍 현애리 774번지 1호  ,경상북도 안동시 풍산읍 현애길 227-74,2025-11-25
금호농장,돼지,경상북도 안동시 풍산읍 괴정리 877번지  ,"경상북도 안동시 풍산읍 양광1길 15, (괴정리 877)",2025-11-25
밀알 사슴 농장,한우,경상북도 안동시 풍산읍 수곡리 67번지  ,경상북도 안동시 풍산읍 금당길 152-29,2025-11-25
장형도 농장,한우,경상북도 안동시 풍산읍 현애리 742번지  ,경상북도 안동시 풍산읍 현애길 330-4,2025-11-25
점마을2농장,한우,경상북도 안동시 풍산읍 현애리 197번지 8호  ,경상북도 안동시 풍산읍 현애길 137-27,2025-11-25
김강호 농장,한우,경상북도 안동시 와룡면 주계리 160번지  ,경상북도 안동시 와룡면 농암로 519-49,2025-11-25
토계 농원,육계,경상북도 안동시 도산면 토계리 581번지  ,,2025-11-25
토계농원,산양,경상북도 안동시 도산면 토계리 595번지  ,,2025-11-25
금오 농장,한우,경상북도 안동시 와룡면 가야리 878번지 5호  ,경상북도 안동시 와룡면 퇴계로 1362-15,2025-11-25
금난축산,한우,경상북도 안동시 북후면 연곡리 433번지  ,경상북도 안동시 북후면 연곡큰들길 80,2025-11-25
임청기 농장,한우,경상북도 안동시 녹전면 원천리 529번지 1호  ,경상북도 안동시 녹전면 길명길 104-9,2025-11-25
근영농장,한우,"경상북도 안동시 서후면 성곡리 166번지 4호 외 3필지(164-1,165,166-1) ",경상북도 안동시 서후면 학가산온천길 334,2025-11-25
봉근 농장,한우,"경상북도 안동시 서후면 성곡리 202번지 3호 외 5필지(202-4,199-1,199-4,200-1,200-2) ","경상북도 안동시 서후면 학가산온천길 271 (,269)",2025-11-25
성수 농장,한우,경상북도 안동시 상아동 226번지 1호  ,경상북도 안동시 상아길 326 (상아동),2025-11-25
대원농장,한우,경상북도 안동시 와룡면 지내리 756번지 1호  ,경상북도 안동시 와룡면 모산골길 151,2025-11-25
한마음 농장,한우,경상북도 안동시 녹전면 원천리 703번지 7호  ,경상북도 안동시 녹전면 예봉로 790,2025-11-25
삼남매농장,한우,경상북도 안동시 풍산읍 현애리 219번지 19호  ,경상북도 안동시 풍산읍 현애길 152-31,2025-11-25
웅도 축산,돼지,"경상북도 안동시 북후면 장기리 96번지 외 6필지(95,97,99,100-3,101-2,102) ",,2025-11-25
때골농장,한우,경상북도 안동시 서후면 성곡리 304번지 2호  ,경상북도 안동시 서후면 명이개길 124-47,2025-11-25
준호농장,한우,경상북도 안동시 녹전면 원천리 669번지  ,경상북도 안동시 녹전면 예봉로 846-71,2025-11-25
앞차기 김현규 농장,한우,경상북도 안동시 와룡면 주하리 247번지 3호  ,경상북도 안동시 와룡면 서주길 527,2025-11-25
삼영 농장,한우,경상북도 안동시 와룡면 라소리 695번지  ,경상북도 안동시 와룡면 토치골길 45,2025-11-25
최우규 농장,한우,경상북도 안동시 녹전면 죽송리 544번지 4호  ,경상북도 안동시 녹전면 송음길 51,2025-11-25
부광 농장,한우,경상북도 안동시 서후면 대두서리 698번지  ,경상북도 안동시 서후면 대두서3길 19-51,2025-11-25
동교 농장,한우,경상북도 안동시 서후면 태장리 117번지 1호  ,,2025-11-25
대한 농장,한우,경상북도 안동시 풍산읍 노리 568번지 1호  ,경상북도 안동시 풍산읍 본마을길 206-90,2025-11-25
대용 농장,한우,경상북도 안동시 와룡면 감애리 388번지  ,경상북도 안동시 와룡면 감애주하길 3-52,2025-11-25
지훈 농장,한우,경상북도 안동시 북후면 도촌리 212번지  ,경상북도 안동시 북후면 모산미길 53-83,2025-11-25
현재네 농장,한우,경상북도 안동시 남선면 원림리 956번지 3호  ,경상북도 안동시 남선면 토갓길 399,2025-11-25
권순탁 농장,한우,경상북도 안동시 남후면 고하리 707번지  ,경상북도 안동시 남후면 고하서당길 26-1,2025-11-25
웰빙농장,한우,경상북도 안동시 서후면 저전리 323번지  ,경상북도 안동시 서후면 북평로 396-54,2025-11-25
초원농장,한우,경상북도 안동시 북후면 도촌리 464번지  ,경상북도 안동시 북후면 옥산길 21-25,2025-11-25
고은 농장,한우,경상북도 안동시 풍산읍 현애리 251번지  ,경상북도 안동시 풍산읍 현애길 152-68,2025-11-25
여태동 농장,한우,경상북도 안동시 북후면 월전리 770번지  ,경상북도 안동시 북후면 납들고개길 46-8,2025-11-25
소현 농장,한우,경상북도 안동시 서후면 광평리 562번지  ,경상북도 안동시 서후면 개목사길 48-58,2025-11-25
장수농장,한우,"경상북도 안동시 와룡면 라소리 1207번지 8호 ,1126-1 ","경상북도 안동시 와룡면 나소로 190-44, 190-42",2025-11-25
명성농원,한우,경상북도 안동시 와룡면 가구리 652번지 1호  ,경상북도 안동시 와룡면 농암로 77-43,2025-11-25
정이농장,한우,경상북도 안동시 서후면 광평리 250번지  ,경상북도 안동시 서후면 광평2길 29-15,2025-11-25
신암농장,육계,경상북도 안동시 녹전면 매정리 587번지 2호  ,경상북도 안동시 녹전면 신정길 27-8,2025-11-25
태형농장,한우,경상북도 안동시 서후면 광평리 1076번지  ,경상북도 안동시 서후면 개목사길 177-112,2025-11-25
모미농원,육계,경상북도 안동시 서후면 재품리 1022번지  ,,2025-11-25
김임자 농장,한우,경상북도 안동시 임동면 고천리 507번지  ,경상북도 안동시 임동면 고천덕강길 82,2025-11-25
수 농장,한우,경상북도 안동시 서후면 명리 24번지  ,경상북도 안동시 서후면 학가산온천길 214-61,2025-11-25
선희농장,한우,경상북도 안동시 녹전면 원천리 291번지  ,경상북도 안동시 녹전면 등지길 49,2025-11-25
베스트 농장,육계,경상북도 안동시 와룡면 감애리 산 208번지 1호  ,경상북도 안동시 와룡면 감애주하길 51,2025-11-25
김광숙 농장,한우,경상북도 안동시 와룡면 산야리 1354번지 1호  ,경상북도 안동시 와룡면 산야길 187-25,2025-11-25
이중희 농장,한우,"경상북도 안동시 와룡면 감애리 11번지 , 감애리 12번지 ","경상북도 안동시 와룡면 텃골양장길 10-1, 텃골양장길 10-2",2025-11-25
하회각시농원,종계/산란계,경상북도 안동시 풍천면 신성리 90번지  ,"경상북도 안동시 풍천면 봉호로 3333-74, (신성리 90)",2025-11-25
권상오 농장,한우,경상북도 안동시 서후면 금계리 660번지  ,경상북도 안동시 서후면 금계1길 273,2025-11-25
금정희 농장,한우,경상북도 안동시 북후면 연곡리 134번지  ,경상북도 안동시 북후면 웃마사길 39,2025-11-25
권용선 농장,한우,경상북도 안동시 서후면 이개리 9번지  ,경상북도 안동시 서후면 성곡이개길 69,2025-11-25
류운희 농장,한우,경상북도 안동시 임동면 갈전리 219번지 1호  ,경상북도 안동시 임동면 갈밭1길 55-35,2025-11-25
효잠농장,한우,경상북도 안동시 녹전면 신평리 196번지  ,경상북도 안동시 녹전면 온천로 174-1,2025-11-25
임노경 농장,한우,경상북도 안동시 일직면 송리리 673번지  ,경상북도 안동시 일직면 굼치걸길 38,2025-11-25
정은정 농장,한우,경상북도 안동시 북후면 물한리 558번지 1호  ,경상북도 안동시 북후면 물한길 51-33,2025-11-25
한진사슴농원,사슴,경상북도 안동시 임하면 추목리 4번지  ,경상북도 안동시 임하면 추목로 331-19,2025-11-25
강정 백봉오골계 농원,종계/산란계,경상북도 안동시 풍천면 기산리 45번지  ,"경상북도 안동시 풍천면 석방지길 22-67, (기산리 45)",2025-11-25
삼남매,한우,경상북도 안동시 남후면 단호리 1409번지  ,경상북도 안동시 남후면 풍산단호로 553-28,2025-11-25
형제축산,한우,경상북도 안동시 일직면 망호리 137번지  ,경상북도 안동시 일직면 안망실길 33,2025-11-25
