사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
김철해 농장,육계,경상북도 안동시 서후면 금계리 468번지 1호  ,경상북도 안동시 서후면 부루골길 28-1,2025-11-25
영농조합법인괴정양돈,돼지,경상북도 안동시 풍산읍 괴정리 893번지  ,"경상북도 안동시 풍산읍 양광1길 37-27, (괴정리 893)",2025-11-25
김세길 농장,한우,"경상북도 안동시 녹전면 사신리 790번지 , 790-4, 790-5 ","경상북도 안동시 녹전면 사신길 69-25, , 69-27",2025-11-25
농업회사법인주식회사 아담,육계,경상북도 안동시 녹전면 신평리 255번지  ,"경상북도 안동시 녹전면 신매로 101, (신평리 259-2)",2025-11-25
삼계목장,한우,경상북도 안동시 예안면 삼계리 산 110번지 7호  ,경상북도 안동시 예안면 농암로 2409-98,2025-11-25
대운농장,육계,경상북도 안동시 서후면 금계리 519번지  ,경상북도 안동시 서후면 금계1길 61,2025-11-25
창성농장,육계,경상북도 안동시 서후면 금계리 534번지  ,경상북도 안동시 서후면 금계1길 81,2025-11-25
안효창 농장,한우,경상북도 안동시 녹전면 신평리 1033번지  ,경상북도 안동시 녹전면 녹지로 815-30,2025-11-25
정호농장,한우,경상북도 안동시 녹전면 서삼리 898번지  ,경상북도 안동시 녹전면 서삼거인길 9,2025-11-25
신기축산농장,한우,경상북도 안동시 녹전면 신평리 1017번지 2호  ,경상북도 안동시 녹전면 녹전로 743-15,2025-11-25
영원농장,한우,경상북도 안동시 녹전면 매정리 883번지 3호  ,,2025-11-25
권종훈 1농장,한우,경상북도 안동시 일직면 망호리 159번지 180 ,"경상북도 안동시 일직면 안망실길 104, 지실들길 24-1",2025-11-25
현애축산,한우,경상북도 안동시 풍산읍 현애리 200번지  ,,2025-11-25
제락농장,한우,경상북도 안동시 일직면 망호리 758번지  ,경상북도 안동시 일직면 망호한길 62-7,2025-11-25
이유영 농장,한우,경상북도 안동시 녹전면 신평리 215번지 1호  ,,2025-11-25
범앞골 축산,돼지,경상북도 안동시 길안면 만음리 1003번지  ,경상북도 안동시 길안면 만음개골길 152-12,2025-11-25
송현농장,돼지,경상북도 안동시 서후면 성곡리 858번지 2호  ,경상북도 안동시 서후면 봉림사지길 54,2025-11-25
계림농장,돼지,"경상북도 안동시 와룡면 서현리 250번지 외11필지(240외4필지,242외4필지,248) ","경상북도 안동시 와룡면 와북로 659-23 (외11필지(240외4필지,242외4필지,248))",2025-11-25
강경구 농장,한우,경상북도 안동시 녹전면 사천리 488번지  ,경상북도 안동시 녹전면 사천노루목길 32,2025-11-25
권대일 농장,한우,경상북도 안동시 노하동 55번지 3호  ,"경상북도 안동시 노하4길 202, (노하동 54,55-1,55-3,56) (노하동)",2025-11-25
녹전축산,한우,경상북도 안동시 녹전면 신평리 582번지 2호  ,경상북도 안동시 녹전면 온천로 28,2025-11-25
김정연 농장,한우,경상북도 안동시 임동면 대곡리 738번지 2호  ,경상북도 안동시 임동면 금수천길 2-21,2025-11-25
상록수농장,한우,"경상북도 안동시 서후면 이개리 324번지 ,326-3,327,665-1,665-2 ",경상북도 안동시 서후면 백현길 23-7,2025-11-25
안제농장,한우,경상북도 안동시 녹전면 갈현리 173번지 외1필지(171) ,경상북도 안동시 녹전면 신매로 377 (외1필지(171)),2025-11-25
진등농장,돼지,경상북도 안동시 임동면 고천리 40번지 1호 40번지3호 ,경상북도 안동시 임동면 새두들길 95,2025-11-25
상준농장,돼지,경상북도 안동시 임동면 갈전리 354번지 3호  ,경상북도 안동시 임동면 새두들길 83,2025-11-25
우원학 농장,한우,경상북도 안동시 서후면 금계리 45번지 1호  ,"경상북도 안동시 서후면 부루골길 119, (금계리 45, 45-3, 46-1)",2025-11-25
부성농장,한우,경상북도 안동시 와룡면 가야리 577번지  ,,2025-11-25
최현숙농장,한우,"경상북도 안동시 서후면 성곡리 611번지 1호 외2필지(611-2,611-3) ","경상북도 안동시 서후면 성곡이개길 1 (외2필지(611-2,611-3))",2025-11-25
김곡택 농장,한우,경상북도 안동시 녹전면 매정리 872번지  ,,2025-11-25
지곡농장,한우,경상북도 안동시 일직면 망호리 342번지  ,경상북도 안동시 일직면 지실들길 15,2025-11-25
김병진 농장,한우,경상북도 안동시 일직면 국곡리 173번지  ,,2025-11-25
이상열 농장,한우,"경상북도 안동시 일직면 용각리 196번지 , 외1 ",,2025-11-25
김용탁 농장,한우,경상북도 안동시 서후면 대두서리 507번지  ,경상북도 안동시 서후면 대두서4길 40-37,2025-11-25
김성진 농장,한우,경상북도 안동시 도산면 의일리 332번지  ,경상북도 안동시 도산면 효잠안길 12-11,2025-11-25
임성수 농장,한우,경상북도 안동시 녹전면 원천리 484번지 외1필 ,경상북도 안동시 녹전면 길명길 50-9 (외1필),2025-11-25
이성희 농장,한우,경상북도 안동시 풍산읍 신양리 374번지 1호  ,경상북도 안동시 풍산읍 신양로 456-11,2025-11-25
신양농장,육계,"경상북도 안동시 풍산읍 매곡리 339번지 , 외 1필 ",,2025-11-25
박윤용 농장,돼지,경상북도 안동시 풍산읍 현애리 555번지  ,경상북도 안동시 풍산읍 현애길 227-67,2025-11-25
김영습 농장,한우,경상북도 안동시 풍산읍 수곡리 88번지  ,경상북도 안동시 풍산읍 청회길 353,2025-11-25
손성로 농장,돼지,경상북도 안동시 서후면 명리 88번지  ,경상북도 안동시 서후면 학가산온천길 214-29,2025-11-25
풍산 양계농장,종계/산란계,"경상북도 안동시 풍산읍 노리 435번지 2호 ,430, 612 ","경상북도 안동시 풍산읍 본마을길 176-73, 본마을길176-12, 본마을길 233",2025-11-25
김상현농장,한우,경상북도 안동시 풍산읍 노리 659번지  ,경상북도 안동시 풍산읍 제비곡길 45,2025-11-25
권용호 농장,한우,경상북도 안동시 서후면 이개리 774번지  ,,2025-11-25
김기현농장,한우,경상북도 안동시 서후면 태장리 493번지  ,경상북도 안동시 서후면 태장가라골길 80-5,2025-11-25
권봉수 농장,한우,경상북도 안동시 서후면 이개리 47번지  ,경상북도 안동시 서후면 명이개길 166,2025-11-25
임청기 농장,한우,경상북도 안동시 녹전면 원천리 482번지 8호  ,,2025-11-25
권재웅 농장,한우,경상북도 안동시 서후면 이개리 773번지 2호  ,경상북도 안동시 서후면 백현길 23-31,2025-11-25
명성농장,한우,경상북도 안동시 북후면 물한리 283번지  ,경상북도 안동시 북후면 물한길 128-4,2025-11-25
손경호 농장,한우,"경상북도 안동시 서후면 금계리 95번지 1호 ,95-2 ","경상북도 안동시 서후면 금계3길 147, 157",2025-11-25
김용식 농장,한우,경상북도 안동시 서후면 대두서리 828번지  ,경상북도 안동시 서후면 생명의콩길 158-9,2025-11-25
조정석 농장,한우,경상북도 안동시 서후면 광평리 317번지  ,경상북도 안동시 서후면 북평로 459-44,2025-11-25
유홍대 농장,한우,경상북도 안동시 북후면 물한리 176번지  ,경상북도 안동시 북후면 저전물한길 96-20,2025-11-25
추산농장,한우,경상북도 안동시 서후면 광평리 234번지 4호  ,"경상북도 안동시 서후면 광평2길 13-1, (광평리 234-4)",2025-11-25
엄선호 농장,한우,경상북도 안동시 서후면 성곡리 66번지  ,경상북도 안동시 서후면 풍산태사로 3001-8,2025-11-25
진한농장,한우,"경상북도 안동시 서후면 대두서리 298번지 , 298-1, 299 ",경상북도 안동시 서후면 생명의콩길 212-10,2025-11-25
저전농장,한우,경상북도 안동시 서후면 저전리 529번지 1호  ,경상북도 안동시 서후면 저전2길 31,2025-11-25
농업회사법인 (주)장안,돼지,경상북도 안동시 서후면 성곡리 85번지  ,"경상북도 안동시 서후면 풍산태사로 2991-5, (성곡리 85, 85-2)",2025-11-25
김진년 농장,한우,경상북도 안동시 임동면 고천리 579번지  ,경상북도 안동시 임동면 고천덕강길 134-42,2025-11-25
김무성 농장,한우,"경상북도 안동시 서후면 재품리 193번지 외 3필지(190, 192-14, 194-3) ",경상북도 안동시 서후면 백현길 679,2025-11-25
이병구 농장,한우,경상북도 안동시 임동면 고천리 34번지  ,,2025-11-25
권용수 농장,한우,경상북도 안동시 서후면 이개리 17번지  ,경상북도 안동시 서후면 성곡이개길 118-43,2025-11-25
최희정농장,한우,"경상북도 안동시 서후면 이개리 77번지 , 77-2, 78 ",경상북도 안동시 서후면 명이개길 147,2025-11-25
권재복 농장,한우,경상북도 안동시 서후면 이개리 344번지 2호  ,경상북도 안동시 서후면 백현길 3-9,2025-11-25
농업회사법인(주)태율,한우,"경상북도 안동시 북후면 월전리 680번지 1호 외2필지(681-6, 685-1) ","경상북도 안동시 북후면 산북로 877 (외 2필지(681-6, 685-1))",2025-11-25
최금희 농장,한우,경상북도 안동시 북후면 물한리 178번지  ,경상북도 안동시 북후면 저전물한길 96-17,2025-11-25
박익현 농장,한우,"경상북도 안동시 이천동 37번지 2호 , 37-4, 37-5 ",경상북도 안동시 율미골길 195 (이천동),2025-11-25
김두옥 농장,한우,경상북도 안동시 풍산읍 노리 626번지  ,경상북도 안동시 풍산읍 제비곡길 36-41,2025-11-25
영광농장,한우,경상북도 안동시 서후면 광평리 1133번지  ,경상북도 안동시 서후면 개목사길 177-48,2025-11-25
권정호 농장,한우,"경상북도 안동시 남선면 구미리 444번지 ,444-2번지 ",,2025-11-25
권태명 농장,한우,경상북도 안동시 일직면 국곡리 714번지 2호  ,경상북도 안동시 일직면 남일로 181,2025-11-25
이수섭 농장,한우,"경상북도 안동시 와룡면 이하리 675번지 , 676-2 ",경상북도 안동시 와룡면 금통골길 99,2025-11-25
조세영 농장,한우,경상북도 안동시 서후면 광평리 1186번지  ,경상북도 안동시 서후면 개목사길 183-7,2025-11-25
김옥현 농장,한우,경상북도 안동시 이천동 605번지 1호  ,경상북도 안동시 두우티길 162-18 (이천동),2025-11-25
박형환 농장,한우,경상북도 안동시 예안면 주진리 1129번지  ,경상북도 안동시 예안면 농암로 1129,2025-11-25
미래목장,젖소,경상북도 안동시 북후면 도촌리 672번지  ,"경상북도 안동시 북후면 도장길 277, (도촌리 672-2, 673-1)",2025-11-25
태동농장,한우,경상북도 안동시 와룡면 태리 357번지 1호  ,,2025-11-25
두금농장,육계,경상북도 안동시 북후면 옹천리 320번지 6호  ,,2025-11-25
서정란 농장,한우,경상북도 안동시 서후면 이개리 507번지  ,,2025-11-25
다온농장,돼지,경상북도 안동시 와룡면 서현리 245번지  ,경상북도 안동시 와룡면 와북로 659-31,2025-11-25
권길원 농장,한우,경상북도 안동시 북후면 도촌리 164번지 3호  ,경상북도 안동시 북후면 도장길 286-35,2025-11-25
안동봉화축협 남후생축사업장,한우,경상북도 안동시 남후면 광음리 885번지 1호  ,경상북도 안동시 남후면 광음한골길 52-43,2025-11-25
송현농장,돼지,경상북도 안동시 와룡면 서현리 231번지  ,"경상북도 안동시 와룡면 와북로 659-43, 659-37",2025-11-25
유덕우 농장,한우,경상북도 안동시 임동면 고천리 301번지 4호  ,경상북도 안동시 임동면 고천지촌로 240-14,2025-11-25
이헌섭 농장,한우,경상북도 안동시 와룡면 주하리 130번지  ,경상북도 안동시 와룡면 감애주하길 163,2025-11-25
준수 농장,한우,경상북도 안동시 풍산읍 막곡리 597번지  ,경상북도 안동시 풍산읍 청회길 411-26,2025-11-25
신점순 농장,한우,경상북도 안동시 서후면 금계리 730번지 3호  ,경상북도 안동시 서후면 풍산태사로 2902,2025-11-25
김금자 농장,한우,경상북도 안동시 서후면 이개리 25번지 1호  ,경상북도 안동시 서후면 성곡이개길 78-7,2025-11-25
제비골 농장,한우,"경상북도 안동시 풍산읍 노리 662번지 , 663-1 ",경상북도 안동시 풍산읍 제비곡길 72,2025-11-25
이영희 농장,한우,경상북도 안동시 풍산읍 마애리 241번지  ,경상북도 안동시 풍산읍 마애길 85-10,2025-11-25
리라축산,한우,"경상북도 안동시 풍산읍 매곡리 264번지 1호 외2필지(265-2, 3) ","경상북도 안동시 풍산읍 신양로 264-1 (외2필지(265-2, 3))",2025-11-25
마송농장,한우,경상북도 안동시 풍산읍 마애리 305번지  ,경상북도 안동시 풍산읍 마애길 47-25,2025-11-25
서안동한우농장,한우,"경상북도 안동시 풍산읍 노리 691번지 1호 ,691-2번지 ","경상북도 안동시 풍산읍 본마을길 135-17 (,691-2번지)",2025-11-25
대흥농장,돼지,경상북도 안동시 풍산읍 수곡리 331번지  ,경상북도 안동시 풍산읍 산음길 25-8,2025-11-25
소신농장,한우,경상북도 안동시 와룡면 라소리 1039번지 1호  ,경상북도 안동시 와룡면 나소로 147,2025-11-25
은빈농장,한우,경상북도 안동시 임하면 추목리 586번지  ,경상북도 안동시 임하면 추목절골길 95,2025-11-25
김경호 농장,한우,경상북도 안동시 남후면 고하리 946번지  ,경상북도 안동시 남후면 남일로 631-5,2025-11-25
탁제숙 농장,한우,경상북도 안동시 서후면 성곡리 75번지  ,경상북도 안동시 서후면 풍산태사로 3001-26,2025-11-25
널바우 농장,육계,"경상북도 안동시 북후면 대현리 873번지 , 873-2, 858-2, 872 ",경상북도 안동시 북후면 서삼거인길 58-48,2025-11-25
수동농장,한우,경상북도 안동시 풍산읍 수리 453번지 2호  ,경상북도 안동시 풍산읍 수동2길 30,2025-11-25
이화축산영농조합법인,돼지,"경상북도 안동시 일직면 국곡리 123번지 2호 외 5필지(105-1,105-2,105-5,105-7,산156-22) ",경상북도 안동시 일직면 풍일로 1888-32,2025-11-25
오천농장,돼지,경상북도 안동시 와룡면 오천리 1148번지  ,경상북도 안동시 와룡면 외내길 25-46,2025-11-25
권만조 농장,한우,경상북도 안동시 남후면 단호리 69번지  ,경상북도 안동시 남후면 풍산단호로 819-1,2025-11-25
와룡맥설농장,한우,경상북도 안동시 와룡면 태리 580번지 1호  ,경상북도 안동시 와룡면 퇴계로 1049-23,2025-11-25
김종운 농장,한우,경상북도 안동시 북후면 석탑리 711번지 2호  ,경상북도 안동시 북후면 석탑동굴길 128,2025-11-25
미래농장,돼지,"경상북도 안동시 임하면 오대리 1099번지 1호 1099-1 외1필지,1099-5외 5필지, 1099-1외 1필지 ",경상북도 안동시 임하면 금소길 63-25,2025-11-25
푸른농장,한우,경상북도 안동시 풍산읍 죽전리 300번지  ,경상북도 안동시 풍산읍 죽전길 327,2025-11-25
유근식 농장,한우,경상북도 안동시 임동면 고천리 293번지 2호  ,,2025-11-25
류덕화 농장,한우,"경상북도 안동시 임동면 고천리 311번지 , 312 ","경상북도 안동시 임동면 고천지촌로 189-11 (, 312)",2025-11-25
임동 갈전 한우번식회,한우,"경상북도 안동시 임동면 갈전리 590번지 4호 , 590-11 ",경상북도 안동시 임동면 갈전대실길 117,2025-11-25
진곡목장,젖소,경상북도 안동시 풍산읍 수리 1075번지 2호  ,"경상북도 안동시 풍산읍 풍산태사로 1269, (수리 1072, 1075-2)",2025-11-25
