사업장명칭,주사육업종,사업장소재지(지번),사육두수
김수복농장,한우,전남광주통합특별시 해남군 화원면 후산리 189번지 1호  ,22
진상순농장,한우,전남광주통합특별시 해남군 화원면 장춘리 395번지 1호  ,40
홍종현농장,한우,전남광주통합특별시 해남군 화원면 성산리 699번지 외 4필지 ,98
이갑휘농장,한우,전남광주통합특별시 해남군 화원면 성산리 367번지  ,24
임인재농장,한우,전남광주통합특별시 해남군 화원면 성산리 178번지  ,31
박순석농장,한우,전남광주통합특별시 해남군 산이면 금호리 94번지 1호  ,8
강형구농장,한우,전남광주통합특별시 해남군 산이면 금호리 220번지 1호  ,10
정다운농장,한우,전남광주통합특별시 해남군 해남읍 남천리 900번지  ,11
복평농장,한우,"전남광주통합특별시 해남군 해남읍 복평리 560번지 2호 (가동, 마동) ",31
대흥축산2,한우,전남광주통합특별시 해남군 해남읍 복평리 557번지  ,19
88축산,한우,전남광주통합특별시 해남군 해남읍 복평리 1078번지  ,60
강성채농장,한우,전남광주통합특별시 해남군 해남읍 복평리 531번지  ,60
박홍남농장,한우,전남광주통합특별시 해남군 해남읍 복평리 217번지  ,10
배영한농장,한우,"전남광주통합특별시 해남군 해남읍 복평리 136, 137-2, 135-2 ",111
김재철농장,한우,전남광주통합특별시 해남군 해남읍 연동리 804번지 1호  ,20
땅끝농장,한우,전남광주통합특별시 해남군 해남읍 용정리 446번지  ,25
민세영농장,한우,전남광주통합특별시 해남군 해남읍 남천리 307번지  ,97
이상만농장,한우,전남광주통합특별시 해남군 해남읍 안동리 84번지  ,30
김범일농장,한우,전남광주통합특별시 해남군 해남읍 신안리 226번지 외 2필지 ,60
행복 나루터1,한우,"전남광주통합특별시 해남군 해남읍 신안리 303번지 외 3필지(303-1, 303-2, 305-4) ",85
에스비팜 서백,돼지,전남광주통합특별시 해남군 마산면 외호리 652번지  ,6000
농업회사법인그린피그팜(주)자돈,돼지,전남광주통합특별시 해남군 황산면 원호리 341번지 1호  ,5300
복평농장,한우,전남광주통합특별시 해남군 해남읍 복평리 102번지  ,17
박영균농장,한우,전남광주통합특별시 해남군 해남읍 복평리 418번지  ,10
해남진도축협 연동사업장,한우,전남광주통합특별시 해남군 해남읍 연동리 580번지 2호  ,111
해남진도축협 북일사업장,한우,전남광주통합특별시 해남군 북일면 운전리 433번지  ,270
백억농장,한우,전남광주통합특별시 해남군 삼산면 송정리 361번지 외 4필지 ,20
최원영농장,한우,전남광주통합특별시 해남군 북평면 와룡리 247번지  ,4
천태산농원,한우,전남광주통합특별시 해남군 북평면 남창리 598번지 1호  ,120
최수현농장,한우,전남광주통합특별시 해남군 북일면 흥촌리 307번지 3호  ,27
강경오농장,한우,전남광주통합특별시 해남군 현산면 덕흥리 446번지  ,26
고현축산,한우,전남광주통합특별시 해남군 현산면 일평리 196번지 외 1필지(208번지) ,145
현산축산,한우,전남광주통합특별시 해남군 현산면 일평리 747번지 1호  ,15
흥아농장,한우,"전남광주통합특별시 해남군 현산면 읍호리 1021번지 1호 외2필지(1021-2,1023번지) ",50
오용기농장,한우,전남광주통합특별시 해남군 현산면 백포리 122번지 4호  ,30
일종축사,한우,전남광주통합특별시 해남군 현산면 일평리 227번지  ,8
신영주농장,한우,전남광주통합특별시 해남군 현산면 황산리 857번지 1호  ,28
박충해농장,한우,전남광주통합특별시 해남군 현산면 황산리 868번지  ,40
동전농축산,한우,전남광주통합특별시 해남군 현산면 황산리 1020번지 4호 외1필지 ,70
박기남농장,한우,전남광주통합특별시 해남군 현산면 구산리 351번지 1호 외 5필지 ,40
조운목장,한우,전남광주통합특별시 해남군 현산면 조산리 220번지 외 4필지 ,50
하옥자농장,한우,전남광주통합특별시 해남군 현산면 조산리 510번지 1호  ,75
조성록농장,한우,전남광주통합특별시 해남군 현산면 월송리 177번지  ,37
김광석농장,한우,전남광주통합특별시 해남군 현산면 월송리 558번지 5호  ,19
민영축산,한우,전남광주통합특별시 해남군 현산면 월송리 791번지 외2필지 ,65
강영택농장,한우,전남광주통합특별시 해남군 현산면 구산리 343번지 1호 (가동) ,26
이천웅농장,한우,전남광주통합특별시 해남군 현산면 구산리 331번지 외2필지 ,60
정호준농장,한우,전남광주통합특별시 해남군 현산면 월송리 510번지 8호  ,18
정회상농장,한우,전남광주통합특별시 해남군 현산면 만안리 227번지  ,12
달마축산,한우,전남광주통합특별시 해남군 송지면 서정리 441번지 외 8필지 ,206
최승권농장,한우,전남광주통합특별시 해남군 화산면 평호리 220번지 외 2필지 ,13
최재억농장,한우,전남광주통합특별시 해남군 화산면 연정리 234번지 외1필지 ,25
연곡농장,한우,전남광주통합특별시 해남군 화산면 연곡리 419번지  ,63
