제조업체명,사료구분,생산사료명
주식회사 휴먼바이오,보조,"산미제, 비타민제, 혼합제, 미생물제, 향미제, 올리고당"
삼해산업,단미,유도단백질
봉봉,단미,"육포, 혼합성단미사료"
청옥산분말,보조,세피올라이트
야미(YUMMY),단미,혼합성 단미사료
아토맘수제간식카페,단미,단미사료/동물성-단백질류
파피&덕(duck),단미,동물성 단백질류
진성산업,단미,식물성 박류
홍익테크,보조,보조사료/혼합제/혼합성보조사료
라이조프코리아,보조,키토산
주식회사 인리치바이오,단미,혈분
주식회사 슈퍼바이오,보조,미생물제
코리아히록스,보조,"미생물제(유익균,아미노산제제,비타민제합제), 혼합성 보조사료"
냠딱지개,단미,"단미사료(혼합성 혼합제, 동물성 단백질류)"
뚱독스 수제간식,단미,"동물성 단백질류, 식물성 채소류, 혼합성 혼합제"
멍슐리,단미,혼합성 단미사료
펫스미스,단미,혼합성 단미사료
펫스미스,배합,그 밖의 동물어류용 배합사료/애완용 동물
주식회사 서우,보조,혼합성 보조사료
군위군농업기술센터,보조,"보조사료/미생물제-유익균, 유익효모"
헬시펫,단미,혼합성 단미사료
(주)일성케미칼,보조,규산염제 합제
(주)글로벌시스템,단미,"동물성 단백질류, 혼합성 혼합제(애완동물용)"
멍짱,단미,
미코주식회사,단미,
(주)바론바이오,보조,"보조사료/아미노산제,비타민제,미생물제,향미제"
빛남매네 헬시푸드,단미,단미사료(혼합성 혼합제)
제일바이오펫,배합,"배합사료/그 밖의 동물,어류 등의 배합사료"
멍상궁,단미,단미사료(혼합성 혼합제)
도그리니,단미,혼합성 단미사료
(주)씨엔지,단미,혼합성 단미사료
프롬벳,배합,"배합사료/그 밖의 동물,어류 등의 배합사료-애완용동물"
왕짱,단미,혼합성 단미사료
코리아히록스,단미,단미사료(식물성-조류)
얌얌이푸드,단미,단미사료(동물성 단백질류)
펫밀리레스토랑,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
주식회사 휴먼바이오,단미,"혼합성혼합제, 혼합광물질류"
농업회사법인 성진팜 주식회사 칠곡지점,보조,보조사료/보존제 합제
(주)팜스코,배합,양축용 배합사료
동원엔에프,보조,"보조사료/미생물제, 기타"
오복누리,단미,혼합성 단미사료
오복누리,보조,혼합성 보조사료
진성바이오,보조,미생물제(생균제)
(주)티피엘,보조,혼합성 보조사료
(주)올품 상주사료공장,배합,양축용 배합사료
댕댕이푸드,단미,"혼합성 단미사료, 동물성 단백질류"
오슬로우,단미,혼합성 단미사료
농업회사법인 (주)시그널케어,단미,단미사료(혼합성 혼합제)
(주)에코아이엠,단미,혼합성 단미사료
(주)농업회사법인예승,배합,반추동물용섬유질배합사료
농업회사법인 (주)시그널케어,배합,배합사료/그밖의동물어류용 배합사료
