사업장명칭,주사육업종,사업장소재지(도로명),사육두수
주민종농장,한우,충청북도 증평군 증평읍 남하길 101,7
태*농장,염소,충청북도 증평군 증평읍 초정약수로 1310,240
외룡농장,염소,충청북도 증평군 증평읍 광장로 453,29
재*농장,한우,충청북도 증평군 증평읍 외룡길 59,80
종천농장,한우,충청북도 증평군 도안면 탑골길 13,11
좌구산흑염소농장,염소,충청북도 증평군 증평읍 율리휴양로 480-1,50
한내농장,한우,충청북도 증평군 증평읍 한내길 62,15
형*농장,한우,충청북도 증평군 도안면 통미1길 6,8
상길농장,한우,충청북도 증평군 증평읍 원평길 305-3,13
금당사슴농장,사슴,충청북도 증평군 도안면 도당로 46,24
창*농장,한우,충청북도 증평군 증평읍 외룡길 10,5
보*농장,한우,충청북도 증평군 증평읍 초평로 1696,7
재*농장,염소,충청북도 증평군 도안면 금당길 4-13,4
속리산농원,염소,충청북도 증평군 증평읍 증안지길 185,150
윤재농장,한우,충청북도 증평군 도안면 좌실길 10,23
안**농장,한우,충청북도 증평군 도안면 천광길 55,28
좌구산농장,염소,충청북도 증평군 증평읍 율리휴양로 480,50
