기준년,구분,종류,수치,데이터기준일자
2022,거위,수수,163,2025-04-01
2022,꿀벌,호수,221,2025-04-01
2022,꿀벌,군수,37135,2025-04-01
2022,관상조,호수,2,2025-04-01
2022,관상조,수수,80,2025-04-01
2022,타  조,호수,1,2025-04-01
2022,타  조,수수,3,2025-04-01
2022,오소리,호수,1,2025-04-01
2022,오소리,수수,41,2025-04-01
2022,꿩,호수,3,2025-04-01
2022,꿩,수수,2360,2025-04-01
2022,기러기,호수,2,2025-04-01
2022,기러기,수수,7,2025-04-01
2023,소(한우),호수,280,2025-04-01
2023,소(한우),두수,16388,2025-04-01
2023,소(육우),호수,0,2025-04-01
2023,소(육우),두수,84,2025-04-01
2023,소(젖소),호수,3,2025-04-01
2023,소(젖소),두수,379,2025-04-01
2023,돼지,호수,72,2025-04-01
2023,돼지,두수,138708,2025-04-01
2023,재래흙돼지,호수,7,2025-04-01
2023,재래흙돼지,두수,3592,2025-04-01
2023,닭,호수,24,2025-04-01
2023,닭,수수,330635,2025-04-01
2023,재래닭,호수,5,2025-04-01
2023,재래닭,두수,9453,2025-04-01
2023,염소,호수,12,2025-04-01
2023,염소,두수,1857,2025-04-01
2023,면양,호수,2,2025-04-01
2023,면양,두수,5,2025-04-01
2023,사슴,호수,5,2025-04-01
2023,사슴,두수,72,2025-04-01
2023,토끼,호수,4,2025-04-01
2023,토끼,두수,96,2025-04-01
2023,개,호수,13,2025-04-01
2023,개,두수,4771,2025-04-01
2023,오리,호수,4,2025-04-01
2023,오리,수수,107,2025-04-01
2023,칠면조,호수,2,2025-04-01
2023,칠면조,수수,3,2025-04-01
2023,거위,호수,3,2025-04-01
2023,거위,수수,157,2025-04-01
2023,꿀벌,호수,223,2025-04-01
2023,꿀벌,군수,33970,2025-04-01
2023,관상조,호수,2,2025-04-01
2023,관상조,수수,80,2025-04-01
2023,타  조,호수,1,2025-04-01
2023,타  조,수수,4,2025-04-01
2023,오소리,호수,1,2025-04-01
2023,오소리,수수,41,2025-04-01
2023,꿩,호수,3,2025-04-01
2023,꿩,수수,2295,2025-04-01
2023,기러기,호수,2,2025-04-01
2023,기러기,수수,23,2025-04-01
2024,소(한우),호수,267,2025-04-01
2024,소(한우),두수,17582,2025-04-01
2024,소(육우),호수,0,2025-04-01
2024,소(육우),두수,0,2025-04-01
2024,소(젖소),호수,4,2025-04-01
2024,소(젖소),두수,363,2025-04-01
2024,돼지,호수,74,2025-04-01
2024,돼지,두수,141975,2025-04-01
2024,재래흙돼지,호수,9,2025-04-01
2024,재래흙돼지,두수,6437,2025-04-01
2024,닭,호수,17,2025-04-01
2024,닭,수수,208645,2025-04-01
2024,재래닭,호수,5,2025-04-01
2024,재래닭,두수,11962,2025-04-01
2024,염소,호수,17,2025-04-01
2024,염소,두수,2013,2025-04-01
2024,면양,호수,1,2025-04-01
2024,면양,두수,1,2025-04-01
2024,사슴,호수,5,2025-04-01
2024,사슴,두수,74,2025-04-01
2024,토끼,호수,3,2025-04-01
2024,토끼,두수,47,2025-04-01
2024,개,호수,8,2025-04-01
2024,개,두수,2780,2025-04-01
2024,오리,호수,4,2025-04-01
2024,오리,수수,459,2025-04-01
2024,칠면조,호수,1,2025-04-01
2024,칠면조,수수,1,2025-04-01
2024,거위,호수,2,2025-04-01
2024,거위,수수,193,2025-04-01
2024,꿀벌,호수,211,2025-04-01
2024,꿀벌,군수,31826,2025-04-01
2024,관상조,호수,1,2025-04-01
2024,관상조,수수,5,2025-04-01
2024,타  조,호수,1,2025-04-01
2024,타  조,수수,2,2025-04-01
2024,오소리,호수,1,2025-04-01
2024,오소리,수수,41,2025-04-01
2024,꿩,호수,2,2025-04-01
2024,꿩,수수,1080,2025-04-01
2024,기러기,호수,2,2025-04-01
2024,기러기,수수,101,2025-04-01
,,,,
