사업장명칭,주사육업종,사육두수,데이터 기준일자
종덕농장,한우,31,2026-04-17
상록농장,한우,1,2026-04-17
석봉농장,한우,110,2026-04-17
용준농장,한우,30,2026-04-17
한성농장,한우,75,2026-04-17
지산농장,한우,46,2026-04-17
솔밭농장,한우,12,2026-04-17
장선농장,한우,72,2026-04-17
의인농장,염소,25,2026-04-17
진형농장,한우,31,2026-04-17
초록농장,한우,12,2026-04-17
한양목장,한우,20,2026-04-17
운산목장,한우,40,2026-04-17
원금농장,한우,30,2026-04-17
보현목장,한우,25,2026-04-17
한우월드농장,한우,40,2026-04-17
요동목장,한우,48,2026-04-17
서정농장,한우,60,2026-04-17
진달래농장,한우,10,2026-04-17
우리돈영농조합,돼지,2100,2026-04-17
원농장,한우,14,2026-04-17
*호농장,한우,10,2026-04-17
송전농장,한우,30,2026-04-17
해미농장,한우,41,2026-04-17
우수목장,한우,21,2026-04-17
수평농장,한우,33,2026-04-17
태봉농장,한우,18,2026-04-17
장원,한우,10,2026-04-17
산성농장,한우,50,2026-04-17
덕우축산,한우,45,2026-04-17
석가울농장,한우,11,2026-04-17
샛별농장,한우,22,2026-04-17
터꿀농장,한우,10,2026-04-17
선목장,한우,6,2026-04-17
애정농장,한우,15,2026-04-17
도비농장,한우,42,2026-04-17
동육농장,한우,15,2026-04-17
*옥농장,한우,26,2026-04-17
정수축산,한우,40,2026-04-17
주상농장,한우,20,2026-04-17
용암농장,한우,55,2026-04-17
재명농장,한우,50,2026-04-17
창대농장,한우,28,2026-04-17
창포농장,한우,29,2026-04-17
엄나무골농장,한우,10,2026-04-17
용바위농장,한우,30,2026-04-17
*민농장,한우,17,2026-04-17
*현농장,한우,14,2026-04-17
재호농장,한우,12,2026-04-17
삼송축산,한우,18,2026-04-17
삼송목장,한우,176,2026-04-17
웅진농장,한우,2,2026-04-17
저성농장,한우,30,2026-04-17
*준농장,한우,4,2026-04-17
*수우사,한우,2,2026-04-17
기지농장,한우,24,2026-04-17
산수농장,한우,5,2026-04-17
*훈농장,한우,12,2026-04-17
버들농장,한우,10,2026-04-17
하연농장,한우,10,2026-04-17
가구목장,한우,20,2026-04-17
주*농장,한우,14,2026-04-17
수농원,한우,27,2026-04-17
상정축산,한우,30,2026-04-17
절골농장,한우,16,2026-04-17
장호농장,한우,9,2026-04-17
윤농장,한우,27,2026-04-17
장군목장,한우,51,2026-04-17
은비농장,한우,34,2026-04-17
군개농장,한우,5,2026-04-17
삼송농장,한우,40,2026-04-17
상훈목장,한우,2,2026-04-17
재희축산,한우,45,2026-04-17
거야농장,한우,23,2026-04-17
자연목장,한우,14,2026-04-17
한**목장,한우,30,2026-04-17
박달재농장,한우,32,2026-04-17
유송목장,한우,30,2026-04-17
용화농장,한우,9,2026-04-17
삼신농장,한우,30,2026-04-17
가야산농장,한우,3,2026-04-17
종상농장,한우,10,2026-04-17
영호농장,한우,33,2026-04-17
낙농장,한우,11,2026-04-17
영민농장,한우,12,2026-04-17
성욱농장,한우,23,2026-04-17
중광농장,한우,16,2026-04-17
영수농장,한우,23,2026-04-17
용목장,한우,10,2026-04-17
누리목장,한우,19,2026-04-17
대성,한우,15,2026-04-17
김광수농장,한우,4,2026-04-17
어진농장,한우,20,2026-04-17
태양농장,한우,15,2026-04-17
덕흥농장,한우,50,2026-04-17
필농장,한우,15,2026-04-17
성우농장,한우,10,2026-04-17
효세농장,한우,8,2026-04-17
소중목장,한우,31,2026-04-17
우리집농장,한우,23,2026-04-17
민호농장,한우,21,2026-04-17
만택농장,한우,9,2026-04-17
대곡농장,한우,15,2026-04-17
미래축산,한우,8,2026-04-17
진호농장,한우,18,2026-04-17
엄기찬농장,한우,6,2026-04-17
신상목장,한우,21,2026-04-17
장요농장,한우,25,2026-04-17
성룡축산,한우,52,2026-04-17
온석농장,한우,78,2026-04-17
한우농장,한우,36,2026-04-17
강당축산,한우,75,2026-04-17
저수농장,한우,40,2026-04-17
정호농장,한우,28,2026-04-17
삼우축산,한우,28,2026-04-17
부자농장,한우,15,2026-04-17
동오축산,한우,21,2026-04-17
절골농장,한우,161,2026-04-17
문양농장,한우,27,2026-04-17
대성농장,한우,12,2026-04-17
성*농장,한우,15,2026-04-17
민*농장,한우,110,2026-04-17
고남농장,한우,18,2026-04-17
용농장,한우,7,2026-04-17
김교서,한우,66,2026-04-17
*웅농장,한우,11,2026-04-17
주남목장,한우,19,2026-04-17
화상배목장,한우,10,2026-04-17
가남목장,한우,5,2026-04-17
탑곡농장,한우,29,2026-04-17
화목농장,한우,5,2026-04-17
탑골농원,한우,20,2026-04-17
사랑목장,한우,20,2026-04-17
절골농장,한우,25,2026-04-17
순한농장,한우,19,2026-04-17
상구농장,한우,29,2026-04-17
환구농장,한우,12,2026-04-17
도*목장,한우,18,2026-04-17
정**농장,한우,4,2026-04-17
가좌농장,한우,23,2026-04-17
이**농장,한우,11,2026-04-17
영근농장,한우,7,2026-04-17
신창농장,한우,17,2026-04-17
자연농장,한우,10,2026-04-17
궁촌농장,한우,10,2026-04-17
금식농장,한우,8,2026-04-17
내권축산,한우,8,2026-04-17
문수농장,한우,32,2026-04-17
당율농장,한우,18,2026-04-17
애정농장,한우,8,2026-04-17
관용농장,한우,20,2026-04-17
유경농장,한우,5,2026-04-17
