연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
585,전라남도,화순군,한우,"전라남도 화순군 동면 운농리 300번지 4호 , 313-4 ",2026-01-22
586,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 47번지 18호  ,2026-01-22
587,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 612번지 1호  ,2026-01-22
588,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 594번지 1호  ,2026-01-22
589,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 32번지 4호  ,2026-01-22
590,전라남도,화순군,한우,전라남도 화순군 도암면 도장리 491번지 1호  ,2026-01-22
591,전라남도,화순군,한우,전라남도 화순군 동면 언도리 299번지 12호  ,2026-01-22
592,전라남도,화순군,한우,전라남도 화순군 동면 운농리 297번지  ,2026-01-22
593,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 500번지 4호  ,2026-01-22
594,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 614번지  ,2026-01-22
595,전라남도,화순군,한우,"전라남도 화순군 청풍면 백운리 47번지 10호 ,47-11,47-22 ",2026-01-22
596,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 780번지 2호  ,2026-01-22
597,전라남도,화순군,염소,전라남도 화순군 동복면 유천리 513번지  ,2026-01-22
598,전라남도,화순군,한우,"전라남도 화순군 한천면 오음리 331, 332-1, 332-2번지 ",2026-01-22
599,전라남도,화순군,한우,"전라남도 화순군 사평면 장전리 388번지 ,389 ",2026-01-22
600,전라남도,화순군,한우,"전라남도 화순군 백아면 맹리 314-1번지 외 1필지(341-2, 백아로 1949-59) ",2026-01-22
601,전라남도,화순군,한우,"전라남도 화순군 도곡면 대곡리 961번지 9호 , 961-10 ",2026-01-22
602,전라남도,화순군,한우,"전라남도 화순군 도암면 원천리 1255번지 2호 외 3필지(1255-3, 1255-4, 1255-7)(동두산길 65-30) ",2026-01-22
603,전라남도,화순군,한우,전라남도 화순군 백아면 길성리 703번지  ,2026-01-22
604,전라남도,화순군,한우,전라남도 화순군 청풍면 신석리 813번지 4호 (곰치로 1888-8) ,2026-01-22
605,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 488번지 1호 (영동길 77) ,2026-01-22
606,전라남도,화순군,돼지,"전라남도 화순군 동면 오동리 921번지 1호 , 921-4 ",2026-01-22
607,전라남도,화순군,한우,전라남도 화순군 한천면 동가리 215번지  ,2026-01-22
608,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 646번지 3호  ,2026-01-22
609,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 68번지 5호 외 1필지(68-4) ,2026-01-22
610,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 862번지 1호 외1필지(862-2) ,2026-01-22
611,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 827번지 1호  ,2026-01-22
612,전라남도,화순군,한우,전라남도 화순군 능주면 남정리 1144번지 9호  ,2026-01-22
613,전라남도,화순군,한우,"전라남도 화순군 청풍면 대비리 887번지 1호 , 887-2, 887-3, 887-4, 887-5 ",2026-01-22
614,전라남도,화순군,한우,전라남도 화순군 동면 운농리 312번지  ,2026-01-22
615,전라남도,화순군,한우,"전라남도 화순군 춘양면 용곡리 583번지 , 583-2, 584, 602-1. 602-3, 718-9 ",2026-01-22
616,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 136번지 3호  ,2026-01-22
617,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 713번지 16호  ,2026-01-22
618,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 1016번지 3호  ,2026-01-22
619,전라남도,화순군,종계/산란계,전라남도 화순군 청풍면 대비리 160번지  ,2026-01-22
620,전라남도,화순군,한우,전라남도 화순군 도곡면 평리 630번지 1호  ,2026-01-22
621,전라남도,화순군,한우,"전라남도 화순군 춘양면 대신리 473번지 3호 , 산16-8, 산16-12 ",2026-01-22
622,전라남도,화순군,한우,"전라남도 화순군 춘양면 월평리 519번지 2호 ,518,517 ",2026-01-22
623,전라남도,화순군,한우,전라남도 화순군 능주면 원지리 370-10번지(능주종방길 19-25) ,2026-01-22
624,전라남도,화순군,한우,전라남도 화순군 백아면 송단리 427번지 1호  ,2026-01-22
625,전라남도,화순군,돼지,전라남도 화순군 동면 오동리 836번지  ,2026-01-22
626,전라남도,화순군,젖소,"전라남도 화순군 도곡면 대곡리 956번지 3호 , 956-4 ",2026-01-22
627,전라남도,화순군,한우,전라남도 화순군 동면 국동리 185번지  ,2026-01-22
628,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 963번지 15호  ,2026-01-22
629,전라남도,화순군,한우,"전라남도 화순군 도곡면 평리 628번지 1호 , 628-2 ",2026-01-22
630,전라남도,화순군,한우,"전라남도 화순군 이양면 구례리 837번지 5호 ,837-4 ",2026-01-22
631,전라남도,화순군,한우,"전라남도 화순군 이양면 송정리 715-1, 715-2번지 ",2026-01-22
632,전라남도,화순군,한우,전라남도 화순군 춘양면 부곡리 803번지 3호  ,2026-01-22
633,전라남도,화순군,한우,전라남도 화순군 춘양면 부곡리 803번지 3호  ,2026-01-22
634,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1069번지 18호  ,2026-01-22
635,전라남도,화순군,한우,전라남도 화순군 도암면 봉하리 160번지  ,2026-01-22
636,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 1065번지 1호  ,2026-01-22
637,전라남도,화순군,한우,전라남도 화순군 이양면 용반리 187번지 2호 (187) ,2026-01-22
638,전라남도,화순군,한우,전라남도 화순군 동면 무포리 466번지 467-3 ,2026-01-22
639,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 1020번지 3호  ,2026-01-22
640,전라남도,화순군,한우,"전라남도 화순군 춘양면 대신리 473번지 3호 , 산16-8, 산16-12 ",2026-01-22
641,전라남도,화순군,한우,전라남도 화순군 동면 대포리 110번지 6호  ,2026-01-22
642,전라남도,화순군,한우,전라남도 화순군 춘양면 화림리 1040번지 1호  ,2026-01-22
643,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 255-12번지(용회로 393) ,2026-01-22
644,전라남도,화순군,한우,"전라남도 화순군 화순읍 앵남리 847번지 34호 , 847-4, 847-5 ",2026-01-22
645,전라남도,화순군,한우,전라남도 화순군 동복면 독상리 26번지  ,2026-01-22
646,전라남도,화순군,한우,"전라남도 화순군 춘양면 회송리 257번지 3호 ,257-6 ",2026-01-22
647,전라남도,화순군,한우,"전라남도 화순군 춘양면 회송리 518-23, 261번지  ",2026-01-22
648,전라남도,화순군,한우,전라남도 화순군 도암면 천태리 67번지  ,2026-01-22
649,전라남도,화순군,한우,"전라남도 화순군 사평면 검산리 488번지 외 2필지(488-1, 489) ",2026-01-22
650,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 58번지 7호  ,2026-01-22
651,전라남도,화순군,한우,전라남도 화순군 한천면 평리 283번지  ,2026-01-22
652,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 963번지 5호 외 1필지(963-6) ,2026-01-22
653,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 25번지 7호  ,2026-01-22
654,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 825-2번지(지장동길 17) ,2026-01-22
655,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 594번지 3호  ,2026-01-22
656,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 611번지  ,2026-01-22
657,전라남도,화순군,종계/산란계,"전라남도 화순군 이양면 구례리 30번지 1호 외 2필지(30,32) ",2026-01-22
658,전라남도,화순군,한우,전라남도 화순군 동면 국동리 645번지  ,2026-01-22
659,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 648번지 1호  ,2026-01-22
660,전라남도,화순군,한우,전라남도 화순군 청풍면 백운리 47번지 1호  ,2026-01-22
661,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 480번지 8호  ,2026-01-22
662,전라남도,화순군,한우,"전라남도 화순군 춘양면 산간리 41,42,43-2,84-2,85번지  ",2026-01-22
663,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 558번지  ,2026-01-22
664,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 28번지 7호  ,2026-01-22
665,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 710-12번지(백아로134) ,2026-01-22
666,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 56번지 5호  ,2026-01-22
667,전라남도,화순군,한우,전라남도 화순군 청풍면 세청리 56번지 4호  ,2026-01-22
668,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1067번지 2호  ,2026-01-22
669,전라남도,화순군,한우,"전라남도 화순군 춘양면 가봉리 1057-4, 1057-5번지 ",2026-01-22
670,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 288 ,2026-01-22
671,전라남도,화순군,한우,전라남도 화순군 동복면 가수리 557번지 1호  ,2026-01-22
672,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 646번지 7호  ,2026-01-22
673,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 646번지 5호  ,2026-01-22
674,전라남도,화순군,한우,전라남도 화순군 춘양면 우봉리 211번지 2호 211-11 ,2026-01-22
675,전라남도,화순군,한우,"전라남도 화순군 한천면 정리 476번지 ,477 ",2026-01-22
676,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 32번지 7호  ,2026-01-22
677,전라남도,화순군,염소,"전라남도 화순군 이양면 초방리 520번지 ,516-2 ",2026-01-22
678,전라남도,화순군,염소,전라남도 화순군 동복면 읍애리 89번지  ,2026-01-22
679,전라남도,화순군,한우,전라남도 화순군 도곡면 대곡리 961번지 11호  ,2026-01-22
680,전라남도,화순군,염소,전라남도 화순군 이양면 초방리 520번지 나동 ,2026-01-22
681,전라남도,화순군,젖소,전라남도 화순군 도곡면 대곡리 962번지 15호  ,2026-01-22
682,전라남도,화순군,한우,전라남도 화순군 동면 운농리 1097번지 5호  ,2026-01-22
683,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 142번지  ,2026-01-22
684,전라남도,화순군,한우,전라남도 화순군 동면 언도리 295번지 15호  ,2026-01-22
685,전라남도,화순군,육우,전라남도 화순군 백아면 길성리 830번지 1호  ,2026-01-22
686,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 822번지 2호  ,2026-01-22
687,전라남도,화순군,염소,전라남도 화순군 이양면 초방리 555번지 1호  ,2026-01-22
688,전라남도,화순군,염소,전라남도 화순군 화순읍 삼천리 383번지 1호  ,2026-01-22
689,전라남도,화순군,염소,전라남도 화순군 능주면 백암리 862번지 1호 외1필지(862-2) ,2026-01-22
690,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 745번지 1호  ,2026-01-22
691,전라남도,화순군,염소,"전라남도 화순군 춘양면 대신리 1164번지 , 1166 ",2026-01-22
692,전라남도,화순군,염소,전라남도 화순군 이양면 이양리 산 16번지  ,2026-01-22
693,전라남도,화순군,염소,전라남도 화순군 청풍면 이만리 184번지 4호  ,2026-01-22
