연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
156,전라남도,화순군,한우,전라남도 화순군 춘양면 산간리 56번지  ,2026-01-22
157,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 396번지 3호 외 2필지 ,2026-01-22
158,전라남도,화순군,한우,전라남도 화순군 사평면 대곡리 577번지  ,2026-01-22
159,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 501번지  ,2026-01-22
160,전라남도,화순군,한우,전라남도 화순군 춘양면 석정리 457번지 1호  ,2026-01-22
161,전라남도,화순군,한우,전라남도 화순군 동면 국동리 564번지  ,2026-01-22
162,전라남도,화순군,한우,전라남도 화순군 도암면 용강리 282번지  ,2026-01-22
163,전라남도,화순군,한우,전라남도 화순군 동면 국동리 131번지 1호  ,2026-01-22
164,전라남도,화순군,한우,전라남도 화순군 사평면 장전리 30번지 2호  ,2026-01-22
165,전라남도,화순군,한우,전라남도 화순군 백아면 남치리 430번지  ,2026-01-22
166,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 815번지 1호  ,2026-01-22
167,전라남도,화순군,한우,전라남도 화순군 백아면 이천리 749번지  ,2026-01-22
168,전라남도,화순군,한우,전라남도 화순군 백아면 노기리 123번지 1호  ,2026-01-22
169,전라남도,화순군,한우,전라남도 화순군 사평면 내리 813번지 11호  ,2026-01-22
170,전라남도,화순군,한우,전라남도 화순군 사평면 내리 305번지  ,2026-01-22
171,전라남도,화순군,한우,전라남도 화순군 이서면 안심리 582번지  ,2026-01-22
172,전라남도,화순군,한우,전라남도 화순군 백아면 원리 산 38번지  ,2026-01-22
173,전라남도,화순군,한우,전라남도 화순군 도암면 원천리 707번지  ,2026-01-22
174,전라남도,화순군,한우,전라남도 화순군 동면 국동리 222번지  ,2026-01-22
175,전라남도,화순군,한우,전라남도 화순군 이서면 보월리 468번지 1호  ,2026-01-22
176,전라남도,화순군,한우,전라남도 화순군 이서면 보월리 406번지 1호  ,2026-01-22
177,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 669번지  ,2026-01-22
178,전라남도,화순군,한우,전라남도 화순군 능주면 남정리 1106번지 9호  ,2026-01-22
179,전라남도,화순군,한우,"전라남도 화순군 동면 옥호리 395번지 , 394-1번지 ",2026-01-22
180,전라남도,화순군,한우,전라남도 화순군 이양면 초방리 586번지 1호  ,2026-01-22
181,전라남도,화순군,염소,전라남도 화순군 화순읍 수만리 산 189번지 1호  ,2026-01-22
182,전라남도,화순군,한우,전라남도 화순군 도암면 원천리 1196번지  ,2026-01-22
183,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 829번지  ,2026-01-22
184,전라남도,화순군,한우,전라남도 화순군 이양면 용반리 187번지 2호 외 1필지 ,2026-01-22
185,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 1052번지 5호  ,2026-01-22
186,전라남도,화순군,한우,전라남도 화순군 청풍면 어리 431번지  ,2026-01-22
187,전라남도,화순군,한우,전라남도 화순군 백아면 수리 281번지 2호  ,2026-01-22
188,전라남도,화순군,한우,전라남도 화순군 백아면 용곡리 46번지 5호  ,2026-01-22
189,전라남도,화순군,한우,전라남도 화순군 백아면 용곡리 244번지 1호  ,2026-01-22
190,전라남도,화순군,한우,전라남도 화순군 청풍면 청용리 81번지 1호  ,2026-01-22
191,전라남도,화순군,한우,전라남도 화순군 이양면 품평리 457번지 2호  ,2026-01-22
192,전라남도,화순군,한우,전라남도 화순군 백아면 노기리 261번지  ,2026-01-22
193,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 555번지 1호  ,2026-01-22
194,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 754번지  ,2026-01-22
195,전라남도,화순군,한우,전라남도 화순군 도암면 지월리 817번지 1호  ,2026-01-22
196,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 142번지  ,2026-01-22
197,전라남도,화순군,한우,전라남도 화순군 이양면 초방리 245번지  ,2026-01-22
198,전라남도,화순군,돼지,전라남도 화순군 동면 운농리 388번지  ,2026-01-22
199,전라남도,화순군,한우,전라남도 화순군 백아면 노치리 293번지 1호  ,2026-01-22
200,전라남도,화순군,한우,전라남도 화순군 백아면 수리 278번지 1호  ,2026-01-22
201,전라남도,화순군,오리,전라남도 화순군 사평면 원리 35번지 1호  ,2026-01-22
202,전라남도,화순군,한우,전라남도 화순군 춘양면 용곡리 681번지 1호  ,2026-01-22
203,전라남도,화순군,한우,전라남도 화순군 이양면 품평리 469번지 6호  ,2026-01-22
204,전라남도,화순군,종계/산란계,전라남도 화순군 춘양면 월평리 328번지 1호  ,2026-01-22
205,전라남도,화순군,한우,"전라남도 화순군 도암면 지월리 500번지 1호 외 2필지(500-2, 500-3) ",2026-01-22
206,전라남도,화순군,한우,전라남도 화순군 이양면 용반리 102번지 7호  ,2026-01-22
207,전라남도,화순군,한우,전라남도 화순군 이서면 영평리 681번지  ,2026-01-22
208,전라남도,화순군,젖소,전라남도 화순군 도곡면 대곡리 960번지 15호  ,2026-01-22
209,전라남도,화순군,한우,전라남도 화순군 동복면 한천리 347번지 17호  ,2026-01-22
210,전라남도,화순군,한우,"전라남도 화순군 동면 서성리 624번지 625-2, 625-3 ",2026-01-22
211,전라남도,화순군,한우,전라남도 화순군 도암면 운월리 545번지 4호 외 1필지(545-5) ,2026-01-22
212,전라남도,화순군,한우,전라남도 화순군 도곡면 덕곡리 264번지  ,2026-01-22
213,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 1068번지 15호  ,2026-01-22
214,전라남도,화순군,한우,전라남도 화순군 백아면 방리 457번지  ,2026-01-22
215,전라남도,화순군,한우,전라남도 화순군 도곡면 효산리 1246번지 9호  ,2026-01-22
216,전라남도,화순군,한우,전라남도 화순군 도곡면 효산리 803번지 10호  ,2026-01-22
217,전라남도,화순군,한우,전라남도 화순군 도암면 천태리 336번지 1호 외 1필지(334번지) ,2026-01-22
218,전라남도,화순군,한우,전라남도 화순군 도곡면 원화리 410번지  ,2026-01-22
219,전라남도,화순군,한우,전라남도 화순군 백아면 옥리 830번지  ,2026-01-22
220,전라남도,화순군,한우,전라남도 화순군 한천면 반곡리 444번지  ,2026-01-22
221,전라남도,화순군,한우,"전라남도 화순군 도암면 천태리 205번지 205-2번지,207-1번지 ",2026-01-22
222,전라남도,화순군,젖소,"전라남도 화순군 춘양면 월평리 275번지 270,271-1,273,274번지 ",2026-01-22
223,전라남도,화순군,한우,전라남도 화순군 청풍면 대비리 243번지  ,2026-01-22
224,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 48번지 49번지 ,2026-01-22
225,전라남도,화순군,산양,전라남도 화순군 화순읍 수만리 214번지  ,2026-01-22
226,전라남도,화순군,한우,전라남도 화순군 백아면 송단리  ,2026-01-22
227,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 713번지 13호  ,2026-01-22
228,전라남도,화순군,한우,전라남도 화순군 한천면 정리 313번지  ,2026-01-22
229,전라남도,화순군,돼지,전라남도 화순군 백아면 수리 545번지 1호  ,2026-01-22
230,전라남도,화순군,한우,"전라남도 화순군 동복면 안성리 150번지 151,152 ",2026-01-22
231,전라남도,화순군,종계/산란계,"전라남도 화순군 춘양면 월평리 314번지 외 3필지, 310외 3필지 ",2026-01-22
232,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 683번지 4호  ,2026-01-22
233,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 1033번지 3호  ,2026-01-22
