연번,사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적
39,농업회사법인 다온앤팜,종계/산란계,충청남도 아산시 음봉면 쌍암리 147-7,충청남도 아산시 음봉면 연암율금로508번길 98,35000,4,2110.25
40,인광농장,육계,충청남도 아산시 도고면 신통리 91-1,,25000,7,1710
41,대박농장,육계,충청남도 아산시 신창면 황산리 342-15,충청남도 아산시 신창면 창암황산길 205-16,27000,5,2056
42,남성농장,육계,충청남도 아산시 신창면 남성리 561-1 외 1필지(562),,14715,4,1471
43,배미농장,육계,충청남도 아산시 신창면 남성리 69-6,충청남도 아산시 신창면 남성길 220-28,30000,10,1539.74
44,대형농장,돼지,충청남도 아산시 영인면 신봉리 165-10,충청남도 아산시 영인면 윤보선로248번길 17,4000,17,5674.18
45,한일농장,육계,충청남도 아산시 도고면 신통리 95-1,충청남도 아산시 도고면 신통길46번길 46,24480,5,2438
46,이원목장,젖소,충청남도 아산시 염치읍 염성리 248-2외1필지,,80,3,974.68
47,만목장,젖소,충청남도 아산시 염치읍 염성리 246-7,,128,4,1631.61
48,숙이목장,젖소,충청남도 아산시 염치읍 염성리 243-7,충청남도 아산시 염치읍 염성길 109-43,170,3,1772.68
49,영효목장,한우,충청남도 아산시 염치읍 염성리 246-7외 2필지,,15,3,1141
50,다진목장,한우,충청남도 아산시 신창면 남성리 531-24외 2필지,,24,1,1764.67
51,다산목장,젖소,충청남도 아산시 둔포면 운교리 63-1,충청남도 아산시 둔포면 운교길 173-5,183,2,2285.87
52,오목목장,한우,충청남도 아산시 신창면 오목리 886,충청남도 아산시 신창면 오목안길 14,241,2,2562.66
53,신남농장,돼지,충청남도 아산시 둔포면 신남리 743-14,충청남도 아산시 둔포면 윤보선로 365,0,9,1372.42
54,수산나농장,돼지,충청남도 아산시 둔포면 신법리 79-1,,1000,7,1266.84
55,장미목장,젖소,충청남도 아산시 신창면 남성리 49-22,충청남도 아산시 신창면 남성길199번길 38-3,136,2,1715.58
