시도,시군구,농장명,축종,지번주소,도로명주소,읍면,사육두수,동수,면적,위도,경도,기준일자,원본파일
경상북도,의성군,K팜 축산,돼지,경상북도 의성군 단촌면 후평리 378번지,경상북도 의성군 단촌면 후평들길 25-6,,2000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,조은농장,돼지,경상북도 의성군 다인면 삼분리 1724번지,경상북도 의성군 다인면 삼분4길 32-69,,2400,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,강변축산,돼지,경상북도 의성군 구천면 위성리 31번지,경상북도 의성군 구천면 위성1길 124,,600,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,화신농장,돼지,경상북도 의성군 비안면 화신리 553번지,경상북도 의성군 비안면 교화길 1058-46,,1000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,동명축산,돼지,경상북도 의성군 금성면 대리리 988번지,경상북도 의성군 금성면 쌍계천길 224,,1000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,황금농장,돼지,경상북도 의성군 단촌면 장림리 815번지,,,1200,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,골드팜,돼지,경상북도 의성군 금성면 개일리 492번지,경상북도 의성군 금성면 개일길 19,,2000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,서산팜스,돼지,경상북도 의성군 구천면 위성리 199번지,경상북도 의성군 구천면 위성2길 110-9,,600,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,형제농장,돼지,경상북도 의성군 비안면 화신리 554번지,,,5000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,은광2농장,돼지,경상북도 의성군 단촌면 장림리 770번지,,,2000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,강촌스마트팜,돼지,경상북도 의성군 다인면 서릉리 536번지 외 5필지,,,7000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,농업회사법인 삼승스마트팜(주),돼지,경상북도 의성군 다인면 서릉리 536번지,경상북도 의성군 다인면 상주다인로 1046-34,,9000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,농업회사법인(주) 산수골군위 의성지점,돼지,경상북도 의성군 단밀면 낙정리 54번지,,,4000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,농업회사법인 유한회사 한 피그,돼지,경상북도 의성군 단밀면 낙정리 10번지 외 1필지,,,700,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,우성 팜,돼지,경상북도 의성군 금성면 산운리 22-1,경상북도 의성군 금성면 금성산길 163-74,,9000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,우성농업회사법인,돼지,경상북도 의성군 다인면 도암리 989-42,경상북도 의성군 다인면 서부로 2858-36,,5000,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,대성농장,돼지,경상북도 의성군 금성면 탑리리 256-5,경상북도 의성군 금성면 금학산길 40,,3500,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,의성군,농협경제지주(주) 농협종돈개량사업소GGP,돼지,경상북도 의성군 단북면 정안리 552-1,경상북도 의성군 단북면 서부로 2040-31,,4200,,,,,2025-11-05,경상북도 의성군_양돈농가현황_20251105.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 매전면 덕산리,,,917,6,1174,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**조은농장,돼지,경상북도 청도군 이서면 가금리,,,665,2,1479,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**회사법인 강산농장(주),돼지,경상북도 청도군 풍각면 안산리,,,4573,2,3743,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 풍각면 성곡리,,,3325,2,4112,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 풍각면 흑석리,,,2204,8,2379,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장(주),돼지,경상북도 청도군 각남면 구곡리,,,743,2,969,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 매전면 덕산리,,,1778,6,1210,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 청도읍 평양리,,,315,4,942,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 청도읍 내호리,,,4727,15,6253,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 이서면 금촌리,,,1126,5,1386,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 이서면 가금리,,,2249,7,2393,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**학농장,돼지,경상북도 청도군 매전면 장연리,,,3105,5,2248,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**연 농원,돼지,경상북도 청도군 이서면 서원리,,,3201,17,4001,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 이서면 흥선리,,,2000,8,1919,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 금천면 소천리,,,1681,6,2192,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**이농장,돼지,경상북도 청도군 이서면 흥선리,,,4721,1,3898,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 풍각면 덕양리,,,2001,4,2414,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 이서면 대곡리,,,1499,7,2178,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 풍각면 월봉리,,,1325,4,1590,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**농장,돼지,경상북도 청도군 풍각면 현리리,,,190,2,660,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
